frame,fps,latency_ms,cpu_percent,raw_messages,context_messages,decision_messages,priority_scores,priority_levels,final_messages
129,11.7,84.74,57.6,2,0,0,,,
130,11.72,84.62,64.9,2,0,0,,,
131,11.73,84.55,56.2,2,0,0,,,
132,11.75,84.41,63.2,2,0,0,,,
133,11.68,84.9,61.8,2,0,0,,,
134,11.71,84.64,58.8,3,1,0,,,
135,11.76,84.32,62.2,3,0,0,,,
136,11.69,84.78,61.8,3,0,0,,,
137,11.52,86.04,62.2,3,0,0,,,
138,11.59,85.53,57.6,3,0,0,,,
139,11.83,83.83,58.8,3,0,0,,,
140,11.81,83.96,57.6,3,0,0,,,
141,11.79,84.08,60.6,3,0,0,,,
142,11.7,84.74,58.8,3,0,0,,,
143,11.85,83.69,60.0,3,0,0,,,
144,11.76,84.27,60.6,3,0,0,,,
145,11.68,84.93,54.5,3,0,0,,,
146,11.77,84.24,58.8,3,0,0,,,
147,11.79,84.06,58.1,3,0,0,,,
148,11.7,84.71,54.8,3,0,0,,,
149,11.62,85.34,58.8,3,0,0,,,
150,11.77,84.22,57.6,3,0,0,,,
151,11.75,84.4,64.9,2,0,0,,,
152,11.77,84.2,57.6,2,0,0,,,
153,11.78,84.19,56.3,2,0,0,,,
154,11.61,85.37,61.1,3,0,0,,,
155,11.66,85.02,58.1,3,0,0,,,
156,11.71,84.65,62.2,1,0,0,,,
157,11.66,85.02,58.8,3,0,0,,,
158,11.74,84.41,60.0,3,0,0,,,
159,11.62,85.36,58.8,3,0,0,,,
160,11.73,84.54,61.8,3,0,0,,,
161,11.44,86.73,54.8,3,0,0,,,
162,11.65,85.16,60.0,3,0,0,,,
163,11.68,84.92,56.3,3,0,0,,,
164,11.72,84.61,62.2,3,1,1,0.649,MEDIUM,Person very close on your left
165,11.72,84.53,58.1,2,0,0,,,
166,11.79,84.04,58.8,2,0,0,,,
167,11.73,84.53,57.6,2,0,0,,,
168,11.7,84.72,59.4,2,0,0,,,
169,11.69,84.79,61.1,2,0,0,,,
170,11.76,84.32,58.8,2,0,0,,,
171,11.66,85.01,54.8,1,0,0,,,
172,11.62,85.31,59.4,1,0,0,,,
173,11.19,88.64,66.7,1,0,0,,,
174,11.72,84.58,58.8,1,0,0,,,
175,11.76,84.28,57.6,1,0,0,,,
176,11.69,84.8,60.0,1,1,1,0.756,HIGH,Person very close ahead
177,11.8,84.01,59.4,2,1,1,0.576,MEDIUM,Person very close on your left
178,11.66,85.05,58.8,3,0,0,,,
179,11.74,84.46,62.2,2,0,0,,,
180,11.66,85.05,57.6,2,0,0,,,
181,11.74,84.45,62.9,4,1,0,,,
182,11.68,84.86,58.8,4,0,0,,,
183,11.75,84.39,57.6,4,0,0,,,
184,11.45,86.6,63.2,5,1,0,,,
185,11.55,85.87,61.8,4,1,1,0.464,MEDIUM,Person on your right
186,11.76,84.27,56.2,4,0,0,,,
187,11.59,85.52,61.1,4,0,0,,,
188,11.73,84.51,54.8,4,1,0,,,
189,11.61,85.42,63.9,4,1,1,0.75,HIGH,Person very close on your right
190,11.73,84.49,56.2,4,0,0,,,
191,11.67,85.0,58.8,3,0,0,,,
192,11.66,85.02,58.8,3,0,0,,,
193,11.74,84.51,61.1,4,0,0,,,
194,11.7,84.75,59.4,4,0,0,,,
195,11.5,86.22,54.8,3,0,0,,,
196,11.51,86.18,60.6,4,0,0,,,
197,11.73,84.51,58.8,3,0,0,,,
198,11.73,84.5,57.6,3,0,0,,,
199,11.72,84.62,62.9,4,0,0,,,
200,11.67,84.94,57.6,3,0,0,,,
201,11.76,84.32,58.8,3,0,0,,,
202,11.67,84.96,60.0,4,0,0,,,
203,11.75,84.38,54.8,5,1,0,,,
204,11.64,85.14,62.9,4,0,0,,,
205,11.74,84.42,57.6,5,0,0,,,
206,11.63,85.31,60.0,5,1,1,0.511,MEDIUM,surfboard ahead
207,11.58,85.61,54.8,3,0,0,,,
208,11.57,85.7,61.1,3,0,0,,,
209,11.71,84.7,56.2,3,1,1,0.775,HIGH,Person very close on your right
210,11.73,84.53,62.9,4,1,1,0.463,MEDIUM,Person on your right
211,11.35,87.4,58.3,3,0,0,,,
212,11.74,84.47,53.3,4,1,0,,,
213,11.7,84.78,61.8,2,0,0,,,
214,11.78,84.14,56.3,3,0,0,,,
215,11.76,84.33,53.3,2,0,0,,,
216,11.52,86.12,64.9,3,0,0,,,
217,11.73,84.58,54.8,4,0,0,,,
218,11.76,84.18,61.1,3,0,0,,,
219,11.59,85.52,60.6,4,0,0,,,
220,11.73,84.56,61.1,3,0,0,,,
221,11.77,84.28,58.8,3,0,0,,,
222,11.68,84.93,57.6,4,0,0,,,
223,11.79,84.08,61.8,3,0,0,,,
