frame,fps,latency_ms,cpu_percent,raw_messages,context_messages,decision_messages,priority_scores,priority_levels,final_messages
106,11.42,86.99,58.8,3,0,0,,,
107,11.5,86.37,58.8,2,0,0,,,
108,11.18,88.86,55.9,2,0,0,,,
109,11.48,86.49,58.8,3,0,0,,,
110,11.4,87.05,60.0,2,0,0,,,
111,11.44,86.82,58.3,3,0,0,,,
112,11.42,86.95,57.6,3,0,0,,,
113,11.56,85.94,64.1,3,0,0,,,
114,11.37,87.37,62.2,3,0,0,,,
115,11.27,88.12,58.1,3,0,0,,,
116,11.63,85.37,60.0,3,1,1,0.459,MEDIUM,chair on your right
117,11.45,86.73,61.1,2,0,0,,,
118,11.51,86.26,55.9,2,0,0,,,
119,11.56,85.94,61.1,2,0,0,,,
120,11.47,86.61,62.2,3,0,0,,,
121,11.49,86.46,58.8,4,1,1,0.507,MEDIUM,Person on your left
122,11.5,86.38,54.8,4,1,1,0.645,MEDIUM,Person very close on your left
123,11.42,86.95,58.8,5,1,0,,,
124,11.48,86.5,61.1,5,0,0,,,
125,11.39,87.2,60.0,5,1,1,0.685,MEDIUM,Person very close on your left
126,11.33,87.67,56.2,5,0,0,,,
127,11.48,86.51,58.8,4,0,0,,,
128,11.3,87.9,57.1,5,0,0,,,
129,11.54,86.05,60.0,5,1,0,,,
130,11.69,84.94,63.9,2,1,1,0.786,HIGH,Person very close on your left
131,11.61,85.5,57.6,2,0,0,,,
132,11.63,85.36,60.0,2,0,0,,,
133,11.52,86.24,54.8,4,1,1,0.587,MEDIUM,refrigerator on your left
134,11.51,86.24,57.6,3,0,0,,,
135,11.27,88.17,60.6,3,0,0,,,
136,11.4,87.14,57.6,2,0,0,,,
137,11.45,86.73,60.0,2,0,0,,,
138,11.43,86.87,58.8,2,0,0,,,
139,11.68,85.0,58.8,2,0,0,,,
140,11.44,86.8,62.2,2,0,0,,,
141,11.48,86.48,58.8,2,0,0,,,
142,11.51,86.21,58.8,3,2,1,0.899,HIGH,Person very close ahead
143,11.36,87.44,57.6,5,2,0,,,
144,11.54,86.02,58.8,5,1,1,0.52,MEDIUM,Person on your left
145,11.54,86.07,60.0,5,1,1,0.628,MEDIUM,Person on your left
146,11.15,89.04,57.1,5,1,1,0.675,MEDIUM,Person very close on your left
147,11.41,87.01,60.0,5,0,0,,,
148,11.44,86.82,57.6,5,0,0,,,
149,11.52,86.24,62.2,5,0,0,,,
150,11.43,86.88,62.2,5,0,0,,,
151,11.5,86.36,56.2,5,0,0,,,
152,11.51,86.24,57.6,5,0,0,,,
153,11.65,85.26,58.8,4,0,0,,,
154,11.56,85.87,60.0,4,0,0,,,
155,11.35,87.5,56.2,4,0,0,,,
156,11.53,86.15,57.6,4,0,0,,,
157,11.54,86.06,60.0,5,0,0,,,
158,11.58,85.71,60.0,5,0,0,,,
159,11.3,87.93,58.8,4,0,0,,,
160,10.64,93.33,70.7,4,1,1,0.713,HIGH,Person very close on your left
161,11.51,86.22,60.0,4,0,0,,,
162,11.52,86.16,60.0,4,0,0,,,
163,11.54,86.08,61.1,4,0,0,,,
164,11.51,86.24,57.6,4,0,0,,,
165,11.47,86.56,58.8,4,0,0,,,
166,11.58,85.75,57.6,4,0,0,,,
167,11.51,86.27,62.2,5,0,0,,,
168,11.35,87.52,58.8,5,0,0,,,
169,11.49,86.4,61.1,5,0,0,,,
170,11.43,86.88,57.6,5,0,0,,,
171,11.58,85.76,60.0,5,0,0,,,
172,11.31,87.83,60.0,5,0,0,,,
173,11.61,85.53,61.8,5,0,0,,,
174,11.56,85.82,63.2,5,1,1,0.456,MEDIUM,chair on your right
175,11.56,85.89,56.3,5,0,0,,,
176,11.54,86.01,57.6,4,0,0,,,
177,11.42,86.98,58.8,5,0,0,,,
178,11.71,84.81,60.0,5,0,0,,,
179,11.57,85.79,61.1,5,0,0,,,
180,11.57,85.79,62.2,5,0,0,,,
181,11.58,85.74,57.6,5,0,0,,,
182,11.38,87.25,57.6,5,1,1,0.662,MEDIUM,Person very close on your left
183,11.64,85.31,58.8,5,0,0,,,
184,11.51,86.23,61.1,4,1,1,0.876,HIGH,Person very close on your right
185,11.61,85.53,58.1,6,1,1,0.587,MEDIUM,refrigerator on your left
186,11.59,85.68,58.8,5,0,0,,,
187,11.49,86.47,63.2,5,1,1,0.582,MEDIUM,Person on your left
188,11.56,85.88,60.0,5,0,0,,,
189,11.58,85.72,57.6,5,0,0,,,
190,11.63,85.38,63.2,3,0,0,,,
191,11.61,85.54,54.8,3,0,0,,,
192,11.49,86.43,58.8,3,0,0,,,
193,10.11,98.29,60.5,3,0,0,,,
194,11.1,89.5,58.3,4,1,0,,,
195,11.59,85.65,58.8,4,0,0,,,
196,9.86,100.8,52.6,4,0,0,,,
197,11.48,86.5,60.0,4,0,0,,,
198,11.47,86.6,60.0,4,0,0,,,
199,11.51,86.32,60.5,5,2,1,0.663,MEDIUM,Person very close on your left
200,11.45,86.72,62.2,5,1,0,,,
201,11.56,85.93,54.8,5,0,0,,,
202,11.46,86.66,58.8,4,0,0,,,
203,11.68,85.01,58.8,4,0,0,,,
204,11.58,85.72,54.8,4,0,0,,,
205,11.23,88.46,61.1,4,0,0,,,
206,11.56,85.9,57.6,3,0,0,,,
207,11.63,85.4,57.6,4,0,0,,,
208,11.58,85.78,61.1,3,0,0,,,
209,11.62,85.48,56.3,3,0,0,,,
210,11.57,85.85,61.1,3,0,0,,,
211,11.65,85.24,59.4,3,0,0,,,
212,11.65,85.19,57.6,3,0,0,,,
213,11.64,85.28,60.0,4,1,1,0.518,MEDIUM,Person on your left
214,11.58,85.67,60.0,4,0,0,,,
215,11.58,85.78,62.2,4,0,0,,,
216,11.44,86.77,60.0,4,0,0,,,
217,10.84,90.99,65.8,4,0,0,,,
218,11.31,87.74,62.9,3,0,0,,,
219,11.48,86.48,62.2,5,2,1,0.716,HIGH,Person very close on your right
220,11.62,85.48,60.6,4,0,0,,,
221,11.62,85.42,58.8,5,1,0,,,
222,11.64,85.31,58.8,5,0,0,,,
223,11.35,87.33,56.3,4,1,1,0.845,HIGH,Person very close on your right
224,11.55,85.94,58.8,4,0,0,,,
225,11.58,85.72,60.0,5,0,0,,,
226,11.58,85.73,60.0,5,0,0,,,
227,11.62,85.48,57.6,5,0,0,,,
228,11.34,87.6,64.1,4,1,1,0.887,HIGH,Person very close ahead
229,11.37,87.33,60.0,5,0,0,,,
230,11.35,87.51,58.8,4,1,0,,,
231,11.52,86.18,57.6,3,0,0,,,
232,11.52,86.23,62.2,4,1,1,0.456,MEDIUM,chair on your right
233,11.51,86.26,58.8,4,0,0,,,
234,11.5,86.37,57.6,4,0,0,,,
235,10.65,93.31,62.2,4,0,0,,,
236,11.45,86.66,62.2,4,0,0,,,
237,11.58,85.77,58.8,4,0,0,,,
238,11.48,86.45,57.6,4,0,0,,,
239,11.19,88.77,60.0,4,0,0,,,
240,11.58,85.73,57.6,2,0,0,,,
241,11.51,86.27,58.8,2,0,0,,,
242,11.57,85.82,61.1,2,0,0,,,
243,11.56,85.91,60.0,2,0,0,,,
244,11.5,86.3,54.8,2,0,0,,,
245,11.55,86.0,58.8,2,0,0,,,
246,11.48,86.48,61.1,2,0,0,,,
247,11.49,86.45,61.1,2,0,0,,,
