timestamp,model,scenario,run_id,frame,imgsz,fps_instant,latency_ms,cpu_percent,detections_count
1779317307.088,yolo11n,S4_walking_real,1,0,416,5.18,193.16,29.0,1
1779317307.222,yolo11n,S4_walking_real,1,1,416,7.53,132.82,52.9,1
1779317307.356,yolo11n,S4_walking_real,1,2,416,7.54,132.64,53.8,1
1779317307.488,yolo11n,S4_walking_real,1,3,416,7.66,130.54,56.4,0
1779317307.621,yolo11n,S4_walking_real,1,4,416,7.6,131.6,58.2,0
1779317307.754,yolo11n,S4_walking_real,1,5,416,7.59,131.67,52.9,0
1779317307.888,yolo11n,S4_walking_real,1,6,416,7.55,132.49,52.0,0
1779317308.02,yolo11n,S4_walking_real,1,7,416,7.64,130.86,55.6,0
1779317308.152,yolo11n,S4_walking_real,1,8,416,7.66,130.63,52.0,0
1779317308.285,yolo11n,S4_walking_real,1,9,416,7.6,131.58,58.2,0
1779317308.419,yolo11n,S4_walking_real,1,10,416,7.52,133.04,54.7,0
1779317308.551,yolo11n,S4_walking_real,1,11,416,7.67,130.42,56.4,0
1779317308.687,yolo11n,S4_walking_real,1,12,416,7.44,134.43,57.4,1
1779317308.821,yolo11n,S4_walking_real,1,13,416,7.52,133.05,55.8,0
1779317308.953,yolo11n,S4_walking_real,1,14,416,7.64,130.9,54.7,0
1779317309.085,yolo11n,S4_walking_real,1,15,416,7.66,130.52,52.0,0
1779317309.218,yolo11n,S4_walking_real,1,16,416,7.62,131.22,53.1,0
1779317309.359,yolo11n,S4_walking_real,1,17,416,7.14,140.01,53.6,1
1779317309.492,yolo11n,S4_walking_real,1,18,416,7.6,131.57,53.8,0
1779317309.624,yolo11n,S4_walking_real,1,19,416,7.64,130.91,53.8,1
1779317309.756,yolo11n,S4_walking_real,1,20,416,7.62,131.22,55.8,0
1779317309.888,yolo11n,S4_walking_real,1,21,416,7.67,130.4,54.7,0
1779317310.019,yolo11n,S4_walking_real,1,22,416,7.71,129.7,54.9,0
1779317310.151,yolo11n,S4_walking_real,1,23,416,7.67,130.31,53.8,0
1779317310.282,yolo11n,S4_walking_real,1,24,416,7.69,130.08,53.8,0
1779317310.414,yolo11n,S4_walking_real,1,25,416,7.64,130.93,52.0,0
1779317310.546,yolo11n,S4_walking_real,1,26,416,7.68,130.25,54.0,0
1779317310.678,yolo11n,S4_walking_real,1,27,416,7.67,130.32,52.0,0
1779317310.809,yolo11n,S4_walking_real,1,28,416,7.68,130.19,52.9,0
1779317310.94,yolo11n,S4_walking_real,1,29,416,7.7,129.8,54.7,0
1779317311.071,yolo11n,S4_walking_real,1,30,416,7.7,129.94,54.9,0
1779317311.204,yolo11n,S4_walking_real,1,31,416,7.65,130.68,52.9,0
1779317311.35,yolo11n,S4_walking_real,1,32,416,6.87,145.5,53.4,0
1779317311.481,yolo11n,S4_walking_real,1,33,416,7.7,129.84,52.9,0
1779317311.613,yolo11n,S4_walking_real,1,34,416,7.68,130.19,54.7,0
1779317311.744,yolo11n,S4_walking_real,1,35,416,7.71,129.78,54.0,0
1779317311.875,yolo11n,S4_walking_real,1,36,416,7.72,129.51,55.6,0
1779317312.006,yolo11n,S4_walking_real,1,37,416,7.69,129.98,53.8,1
1779317312.139,yolo11n,S4_walking_real,1,38,416,7.66,130.59,54.9,0
1779317312.27,yolo11n,S4_walking_real,1,39,416,7.71,129.64,53.8,0
1779317312.402,yolo11n,S4_walking_real,1,40,416,7.64,130.93,53.8,0
1779317312.534,yolo11n,S4_walking_real,1,41,416,7.67,130.44,52.0,1
1779317312.665,yolo11n,S4_walking_real,1,42,416,7.7,129.83,54.0,0
1779317312.796,yolo11n,S4_walking_real,1,43,416,7.69,129.98,53.8,0
1779317312.928,yolo11n,S4_walking_real,1,44,416,7.69,129.98,56.4,0
1779317313.059,yolo11n,S4_walking_real,1,45,416,7.72,129.6,56.6,0
1779317313.19,yolo11n,S4_walking_real,1,46,416,7.69,130.11,54.7,0
1779317313.323,yolo11n,S4_walking_real,1,47,416,7.6,131.61,54.7,1
1779317313.455,yolo11n,S4_walking_real,1,48,416,7.67,130.41,54.7,1
1779317313.586,yolo11n,S4_walking_real,1,49,416,7.67,130.34,54.9,1
1779317313.722,yolo11n,S4_walking_real,1,50,416,7.44,134.46,59.6,0
1779317313.854,yolo11n,S4_walking_real,1,51,416,7.73,129.32,55.6,0
1779317313.984,yolo11n,S4_walking_real,1,52,416,7.71,129.71,54.0,0
1779317314.115,yolo11n,S4_walking_real,1,53,416,7.71,129.7,56.4,0
1779317314.246,yolo11n,S4_walking_real,1,54,416,7.74,129.13,54.9,0
1779317314.378,yolo11n,S4_walking_real,1,55,416,7.64,130.93,52.9,0
1779317314.509,yolo11n,S4_walking_real,1,56,416,7.72,129.52,53.8,0
1779317314.641,yolo11n,S4_walking_real,1,57,416,7.68,130.15,56.6,0
1779317314.773,yolo11n,S4_walking_real,1,58,416,7.65,130.67,52.9,0
