frame,time_s,latency_ms,fps,cpu_percent,ram_percent,temperature_c,detections
112,20.595,168.9,5.92,54.4,16.2,52.7,1
113,20.767,168.92,5.92,54.9,16.2,53.8,1
114,20.939,168.73,5.93,56.3,16.2,53.2,1
115,21.11,170.88,5.85,54.9,16.2,53.8,1
116,21.284,170.08,5.88,53.7,16.2,53.2,1
117,21.457,173.47,5.76,58.0,16.3,54.3,1
118,21.634,169.97,5.88,54.3,16.3,53.8,1
119,21.807,170.0,5.88,56.3,16.3,53.8,1
120,21.979,169.73,5.89,54.4,16.3,53.8,1
121,22.152,171.69,5.82,53.6,16.3,54.3,1
122,22.327,170.25,5.87,53.7,16.3,53.8,1
123,22.5,171.19,5.84,56.8,16.3,53.2,1
124,22.674,169.37,5.9,55.7,16.3,52.7,1
125,22.847,169.23,5.91,55.1,16.3,53.8,1
126,23.019,170.18,5.88,52.2,16.3,54.3,1
127,23.192,170.36,5.87,54.4,16.2,53.8,1
128,23.366,169.58,5.9,54.9,16.2,54.3,1
129,23.539,169.49,5.9,54.4,16.2,53.8,1
130,23.711,169.19,5.91,54.4,16.2,54.3,1
131,23.883,171.16,5.84,52.9,16.2,54.3,1
132,24.057,169.7,5.89,53.0,16.2,54.3,1
133,24.23,171.67,5.83,54.3,16.0,54.3,1
134,24.406,170.11,5.88,55.1,16.0,53.8,1
135,24.579,169.29,5.91,54.3,16.1,54.3,1
136,24.751,169.34,5.91,53.7,16.1,52.7,1
137,24.923,169.44,5.9,52.3,16.1,54.3,1
138,25.096,171.7,5.82,54.9,16.0,54.9,1
139,25.27,169.69,5.89,55.7,16.1,54.3,1
140,25.444,169.75,5.89,53.6,16.1,53.8,1
141,25.617,170.28,5.87,53.0,16.1,53.2,1
142,25.79,169.81,5.89,55.6,16.1,54.3,1
143,25.963,169.6,5.9,54.4,16.1,55.4,1
144,26.135,171.92,5.82,53.6,16.1,54.9,1
145,26.31,169.3,5.91,57.5,16.1,54.9,1
146,26.482,173.85,5.75,59.2,16.1,54.9,1
147,26.659,169.46,5.9,53.7,16.1,53.8,1
148,26.831,169.16,5.91,54.3,16.1,53.8,1
149,27.003,170.04,5.88,54.4,16.1,54.9,1
150,27.176,171.17,5.84,53.6,16.1,53.2,1
151,27.351,169.94,5.88,57.1,16.1,54.9,1
152,27.523,169.72,5.89,55.7,16.1,54.3,1
153,27.696,168.52,5.93,55.7,16.1,54.9,1
154,27.867,168.72,5.93,52.9,16.1,54.3,1
155,28.039,168.7,5.93,51.6,16.1,54.9,1
156,28.211,169.25,5.91,52.3,16.1,54.9,1
157,28.383,168.96,5.92,51.5,16.1,53.8,2
158,28.555,168.19,5.95,54.4,16.1,55.4,1
159,28.726,168.82,5.92,56.9,16.1,54.9,1
160,28.898,168.25,5.94,54.4,16.1,53.2,1
161,29.069,169.78,5.89,55.1,16.1,55.4,1
162,29.242,169.56,5.9,55.6,16.1,53.8,1
163,29.414,168.95,5.92,55.7,16.1,54.3,1
164,29.586,168.48,5.94,57.5,16.1,54.9,1
165,29.757,168.88,5.92,54.4,16.1,53.8,2
166,29.929,168.54,5.93,50.8,16.1,54.9,2
167,30.101,170.27,5.87,52.9,16.0,55.4,1
168,30.274,169.61,5.9,56.9,16.0,54.3,1
169,30.446,168.47,5.94,56.9,16.0,54.3,2
170,30.618,169.02,5.92,55.7,16.0,55.4,2
171,30.79,169.22,5.91,57.5,16.0,54.3,2
172,30.962,168.46,5.94,54.9,16.0,54.3,2
173,31.133,169.62,5.9,53.0,16.0,53.8,2
174,31.306,169.6,5.9,53.8,16.0,54.9,2
175,31.478,172.53,5.8,58.0,16.1,55.4,2
176,31.654,169.05,5.92,56.2,16.1,55.4,2
177,31.826,168.83,5.92,56.9,16.1,54.9,2
178,31.998,168.99,5.92,56.9,16.1,54.9,3
179,32.17,170.32,5.87,52.9,16.1,55.4,2
180,32.343,168.85,5.92,53.0,16.1,54.9,2
181,32.515,170.99,5.85,53.0,16.1,54.9,2
182,32.689,169.07,5.91,51.6,16.1,54.9,2
183,32.861,168.64,5.93,52.3,16.1,55.4,2
184,33.032,169.04,5.92,54.3,16.1,55.4,3
185,33.204,170.68,5.86,56.3,16.1,54.9,2
186,33.378,169.59,5.9,54.3,16.1,54.9,2
187,33.55,168.93,5.92,55.1,16.1,54.3,2
188,33.722,168.66,5.93,54.9,16.1,55.4,2
189,33.894,168.84,5.92,57.5,16.1,55.4,2
190,34.066,169.57,5.9,56.9,16.0,56.0,2
191,34.238,171.67,5.82,54.4,16.1,55.4,2
192,34.413,169.94,5.88,52.9,16.1,54.9,2
193,34.586,169.52,5.9,57.5,16.1,56.5,2
194,34.758,169.22,5.91,55.1,16.1,55.4,2
195,34.93,168.9,5.92,56.2,16.0,54.9,2
196,35.102,170.76,5.86,55.7,16.0,55.4,2
197,35.276,169.98,5.88,53.0,16.1,54.3,2
198,35.449,169.4,5.9,50.0,16.1,55.4,2
199,35.621,169.87,5.89,53.7,16.1,56.0,2
200,35.794,170.14,5.88,56.3,16.1,56.0,2
201,35.967,169.56,5.9,52.9,16.1,54.9,2
202,36.14,170.89,5.85,53.0,16.0,55.4,2
203,36.313,169.72,5.89,55.7,16.0,56.0,2
204,36.486,173.91,5.75,59.7,16.1,56.5,3
205,36.663,169.32,5.91,51.6,16.1,56.0,2
206,36.835,168.95,5.92,51.5,16.1,55.4,2
207,37.007,169.89,5.89,53.7,16.1,56.5,2
208,37.18,170.77,5.86,55.1,16.1,54.9,3
209,37.454,170.89,5.85,36.6,16.1,55.4,2
210,37.628,169.87,5.89,54.9,16.1,56.0,2
211,37.802,170.08,5.88,55.7,16.1,54.9,2
212,37.975,169.72,5.89,52.2,16.1,54.9,2
213,38.148,170.8,5.85,54.4,16.1,56.0,2
214,38.321,169.92,5.88,54.3,16.1,54.9,2
215,38.494,169.92,5.88,53.7,16.1,56.0,2
216,38.667,169.39,5.9,52.2,16.1,54.3,2
217,38.84,169.68,5.89,51.6,16.1,56.0,2
218,39.013,170.06,5.88,52.2,16.1,55.4,2
219,39.186,171.57,5.83,55.7,16.1,54.9,2
220,39.362,170.89,5.85,54.3,16.1,55.4,2
221,39.536,169.81,5.89,54.4,16.1,56.5,2
222,39.709,169.19,5.91,51.6,16.1,55.4,3
223,39.882,169.71,5.89,55.6,16.1,54.9,3
224,40.055,169.83,5.89,55.1,16.1,56.0,2
225,40.228,171.97,5.81,54.3,16.1,55.4,3
226,40.402,170.32,5.87,54.4,16.1,55.4,2
227,40.576,169.65,5.89,55.6,16.1,56.0,2
228,40.748,169.51,5.9,56.3,16.1,56.5,3
229,40.922,168.71,5.93,54.3,16.1,56.0,2
230,41.093,171.16,5.84,50.0,16.1,56.5,3
231,41.267,169.4,5.9,54.4,16.1,55.4,3
232,41.44,188.53,5.3,53.9,16.1,54.9,2
233,41.631,169.1,5.91,53.0,16.1,56.0,2
234,41.803,168.57,5.93,50.8,16.1,55.4,2
235,41.976,168.62,5.93,53.0,16.1,56.5,3
236,42.148,171.52,5.83,50.8,16.1,56.0,3
237,42.322,168.36,5.94,50.8,16.1,55.4,2
238,42.493,169.31,5.91,52.3,16.1,55.4,2
239,42.665,168.68,5.93,50.8,16.1,55.4,3
240,42.837,168.66,5.93,51.5,16.1,56.0,2
241,43.01,169.17,5.91,51.6,16.1,56.0,3
242,43.182,170.86,5.85,54.3,16.1,56.0,3
243,43.356,169.4,5.9,53.0,16.1,56.5,2
244,43.528,168.42,5.94,51.6,16.1,56.0,3
245,43.699,168.49,5.94,53.6,16.1,56.0,3
246,43.871,169.13,5.91,55.1,16.1,56.5,2
247,44.044,169.14,5.91,53.0,16.1,56.0,3
248,44.216,170.88,5.85,52.2,16.1,56.5,3
249,44.39,169.44,5.9,54.4,16.1,56.5,2
250,44.562,169.41,5.9,57.5,16.1,56.0,2
251,44.734,169.26,5.91,55.6,16.1,56.5,2
252,44.907,169.43,5.9,53.7,16.1,56.5,2
253,45.08,169.93,5.88,54.9,16.1,55.4,2
254,45.253,169.42,5.9,52.3,16.1,56.5,2
255,45.426,169.41,5.9,53.7,16.1,56.5,2
256,45.598,169.5,5.9,56.9,16.1,56.5,2
257,45.77,169.05,5.92,58.1,16.1,56.0,2
258,45.942,169.18,5.91,54.9,16.1,57.1,3
259,46.116,170.07,5.88,53.7,16.1,57.1,2
260,46.289,169.23,5.91,54.3,16.1,56.5,2
261,46.461,173.59,5.76,56.1,16.1,56.5,2
262,46.637,169.0,5.92,49.2,16.1,56.0,2
263,46.809,169.43,5.9,52.3,16.1,56.5,2
264,46.981,169.22,5.91,52.3,16.1,57.1,2
265,47.155,170.62,5.86,55.6,16.1,56.5,2
266,47.328,169.2,5.91,54.3,16.1,56.0,2
267,47.5,169.77,5.89,51.6,16.1,56.0,3
268,47.673,168.6,5.93,53.7,16.1,56.5,2
269,47.844,169.13,5.91,55.1,16.1,56.5,2
270,48.017,168.69,5.93,54.3,16.1,57.1,2
271,48.189,171.06,5.85,52.3,16.1,56.0,2
272,48.363,168.82,5.92,52.3,16.1,57.1,2
273,48.535,168.82,5.92,52.2,16.1,56.0,2
274,48.707,168.31,5.94,56.3,16.1,56.0,2
275,48.878,168.81,5.92,56.9,16.1,55.4,2
276,49.05,169.22,5.91,55.7,16.1,56.5,2
277,49.223,170.3,5.87,52.9,16.1,57.1,2
278,49.396,169.2,5.91,53.0,16.1,56.5,2
279,49.568,168.94,5.92,55.1,16.1,57.1,2
280,49.74,168.81,5.92,52.9,16.1,56.5,2
281,49.912,169.37,5.9,55.7,16.1,57.1,2
282,50.084,171.09,5.85,54.9,16.1,57.1,2
283,50.258,169.1,5.91,58.7,16.1,57.1,2
284,50.43,169.87,5.89,55.2,16.1,57.1,2
285,50.603,169.42,5.9,52.3,16.1,57.1,2
286,50.775,168.6,5.93,53.7,16.1,57.1,2
287,50.947,169.09,5.91,52.2,16.1,56.5,2
288,51.119,169.71,5.89,56.3,16.1,56.5,2
289,51.291,169.46,5.9,52.9,16.1,56.0,2
290,51.564,169.15,5.91,35.5,16.2,56.0,3
291,51.736,168.72,5.93,55.1,16.2,56.5,2
292,51.908,168.94,5.92,53.6,16.2,56.5,2
293,52.08,169.82,5.89,53.0,16.2,57.1,2
294,52.254,168.8,5.92,56.2,16.2,57.6,2
295,52.426,169.71,5.89,56.3,16.2,57.6,2
296,52.599,168.99,5.92,53.7,16.2,56.5,3
297,52.771,168.86,5.92,56.3,16.2,56.0,2
298,52.943,168.28,5.94,56.2,16.2,56.5,2
299,53.114,170.75,5.86,55.7,16.2,57.1,2
300,53.288,169.66,5.89,54.4,16.2,57.1,2
301,53.46,169.57,5.9,54.9,16.2,57.1,2
302,53.633,168.65,5.93,55.7,16.2,56.0,2
303,53.804,169.23,5.91,56.9,16.2,56.5,2
304,53.977,168.44,5.94,55.1,16.2,56.5,2
305,54.148,171.36,5.84,53.6,16.2,56.5,1
306,54.322,169.92,5.89,58.1,16.2,57.1,2
307,54.495,169.9,5.89,54.3,16.2,57.1,2
308,54.668,169.99,5.88,54.4,16.2,57.6,2
309,54.841,170.53,5.86,56.2,16.1,56.5,2
310,55.014,170.95,5.85,54.4,16.1,56.5,2
311,55.188,171.42,5.83,58.7,16.1,57.1,3
312,55.363,170.18,5.88,55.6,16.1,56.0,2
313,55.536,169.82,5.89,56.9,16.1,57.1,2
314,55.709,170.13,5.88,55.6,16.1,56.5,2
315,55.882,170.16,5.88,59.7,16.1,56.5,2
316,56.055,170.24,5.87,56.3,16.1,57.1,2
317,56.228,171.71,5.82,59.5,16.1,56.0,2
318,56.403,180.25,5.55,59.0,16.1,57.6,2
319,56.586,170.74,5.86,56.3,16.1,56.0,2
320,56.76,171.23,5.84,54.9,16.1,56.5,2
321,56.934,170.17,5.88,55.7,16.1,57.1,2
322,57.107,171.88,5.82,52.9,16.1,57.1,2
323,57.282,171.21,5.84,55.1,16.1,57.1,2
