timestamp,phase,scenario,run_id,frame,fps_instant,latency_ms,cpu_percent,detections_count,raw_messages,filtered_messages,decision_messages,mean_priority_score,final_messages
1779116536.187,C3,S3_multi_person,3,0,7.14,140.14,28.6,1,1,1,1,0.63,Person very close on your right
1779116536.272,C3,S3_multi_person,3,1,11.98,83.49,58.1,1,1,0,0,0,
1779116536.356,C3,S3_multi_person,3,2,12.1,82.63,58.3,2,2,1,1,0.656,Person very close on your left
1779116536.441,C3,S3_multi_person,3,3,11.96,83.6,58.8,2,2,0,0,0,
1779116536.524,C3,S3_multi_person,3,4,12.17,82.15,58.8,1,1,0,0,0,
1779116536.607,C3,S3_multi_person,3,5,12.15,82.3,59.4,1,1,0,0,0,
1779116536.691,C3,S3_multi_person,3,6,12.19,82.01,57.6,1,1,0,0,0,
1779116536.775,C3,S3_multi_person,3,7,12.15,82.31,58.8,1,1,0,0,0,
1779116536.858,C3,S3_multi_person,3,8,12.17,82.14,53.3,1,1,0,0,0,
1779116536.941,C3,S3_multi_person,3,9,12.18,82.09,58.8,1,1,0,0,0,
1779116537.025,C3,S3_multi_person,3,10,12.06,82.91,60.0,1,1,0,0,0,
1779116537.109,C3,S3_multi_person,3,11,12.16,82.22,54.8,1,1,0,0,0,
1779116537.193,C3,S3_multi_person,3,12,12.09,82.68,62.2,2,2,0,0,0,
1779116537.276,C3,S3_multi_person,3,13,12.18,82.1,58.8,2,2,0,0,0,
1779116537.36,C3,S3_multi_person,3,14,12.14,82.35,58.8,1,1,0,0,0,
1779116537.445,C3,S3_multi_person,3,15,12.02,83.18,62.2,1,1,0,0,0,
1779116537.528,C3,S3_multi_person,3,16,12.17,82.15,58.8,1,1,0,0,0,
1779116537.611,C3,S3_multi_person,3,17,12.13,82.43,59.4,1,1,0,0,0,
1779116537.695,C3,S3_multi_person,3,18,12.15,82.33,57.6,1,1,0,0,0,
1779116537.779,C3,S3_multi_person,3,19,12.09,82.68,60.0,2,2,1,1,0.683,Person very close ahead
1779116537.863,C3,S3_multi_person,3,20,12.09,82.69,57.6,2,2,0,0,0,
1779116537.947,C3,S3_multi_person,3,21,12.05,82.97,56.3,3,3,1,1,0.748,Person very close ahead
1779116538.038,C3,S3_multi_person,3,22,11.17,89.51,64.9,2,2,0,0,0,
1779116538.122,C3,S3_multi_person,3,23,12.1,82.67,57.6,2,2,1,1,0.743,Person very close on your right
1779116538.206,C3,S3_multi_person,3,24,11.98,83.44,54.8,1,1,0,0,0,
1779116538.292,C3,S3_multi_person,3,25,11.86,84.31,58.8,2,2,0,0,0,
1779116538.377,C3,S3_multi_person,3,26,11.98,83.49,57.1,1,1,0,0,0,
1779116538.464,C3,S3_multi_person,3,27,11.65,85.84,60.0,1,1,0,0,0,
1779116538.549,C3,S3_multi_person,3,28,11.95,83.71,60.0,1,1,0,0,0,
1779116538.634,C3,S3_multi_person,3,29,11.92,83.89,61.1,1,1,0,0,0,
1779116538.719,C3,S3_multi_person,3,30,11.89,84.1,57.6,1,1,0,0,0,
1779116538.806,C3,S3_multi_person,3,31,11.79,84.79,59.5,2,2,1,0,0,
1779116538.891,C3,S3_multi_person,3,32,11.87,84.22,57.6,3,3,1,0,0,
1779116538.976,C3,S3_multi_person,3,33,11.85,84.35,56.3,3,3,0,0,0,
1779116539.064,C3,S3_multi_person,3,34,11.54,86.67,64.1,2,2,0,0,0,
1779116539.15,C3,S3_multi_person,3,35,11.88,84.15,61.1,2,2,0,0,0,
1779116539.235,C3,S3_multi_person,3,36,11.88,84.14,60.0,2,2,0,0,0,
1779116539.32,C3,S3_multi_person,3,37,11.89,84.1,58.8,2,2,0,0,0,
1779116539.407,C3,S3_multi_person,3,38,11.7,85.46,57.1,2,2,0,0,0,
1779116539.492,C3,S3_multi_person,3,39,11.9,84.05,54.8,2,2,0,0,0,
1779116539.578,C3,S3_multi_person,3,40,11.87,84.21,61.1,2,2,0,0,0,
1779116539.662,C3,S3_multi_person,3,41,11.93,83.81,56.3,2,2,0,0,0,
1779116539.748,C3,S3_multi_person,3,42,11.82,84.59,54.5,3,3,0,0,0,
1779116539.834,C3,S3_multi_person,3,43,11.9,84.03,58.8,2,2,0,0,0,
1779116539.919,C3,S3_multi_person,3,44,11.89,84.11,57.6,2,2,0,0,0,
1779116540.004,C3,S3_multi_person,3,45,11.84,84.43,54.8,2,2,0,0,0,
1779116540.089,C3,S3_multi_person,3,46,11.88,84.15,62.2,2,2,0,0,0,
1779116540.175,C3,S3_multi_person,3,47,11.88,84.17,57.1,1,1,0,0,0,
1779116540.26,C3,S3_multi_person,3,48,11.86,84.34,54.8,1,1,0,0,0,
1779116540.345,C3,S3_multi_person,3,49,11.91,83.95,60.0,2,2,1,0,0,
1779116540.431,C3,S3_multi_person,3,50,11.84,84.43,58.8,1,1,0,0,0,
1779116540.517,C3,S3_multi_person,3,51,11.9,84.04,58.8,2,2,0,0,0,
1779116540.602,C3,S3_multi_person,3,52,11.9,84.02,62.2,2,2,0,0,0,
1779116540.686,C3,S3_multi_person,3,53,11.97,83.56,54.8,2,2,0,0,0,
1779116540.772,C3,S3_multi_person,3,54,11.85,84.41,60.0,2,2,0,0,0,
1779116540.857,C3,S3_multi_person,3,55,11.92,83.86,58.8,5,5,2,2,0.546,Person very close on your right | Person on your right
1779116540.941,C3,S3_multi_person,3,56,12.02,83.16,62.2,3,3,0,0,0,
1779116541.026,C3,S3_multi_person,3,57,11.97,83.53,61.1,3,3,0,0,0,
1779116541.11,C3,S3_multi_person,3,58,12.01,83.28,57.6,3,3,0,0,0,
1779116541.196,C3,S3_multi_person,3,59,11.96,83.64,57.1,2,2,1,0,0,
1779116541.28,C3,S3_multi_person,3,60,11.95,83.71,58.8,3,3,0,0,0,
1779116541.365,C3,S3_multi_person,3,61,11.9,84.06,63.2,3,3,0,0,0,
1779116541.451,C3,S3_multi_person,3,62,11.79,84.8,56.3,3,3,0,0,0,
1779116541.536,C3,S3_multi_person,3,63,11.99,83.43,58.8,3,3,0,0,0,
