timestamp,tracker,scenario,run_id,frame,fps_instant,latency_ms,cpu_percent,detections_count,objects_count,unique_ids,raw_messages,filtered_messages,decision_messages,mean_priority_score,final_messages
1779294247.252,old,S4_walking_real,1,56,11.71,85.38,60.0,0,1,5,0,0,0,0,
1779294247.337,old,S4_walking_real,1,57,11.96,83.6,56.3,0,1,5,0,0,0,0,
1779294247.421,old,S4_walking_real,1,58,12.06,82.95,58.8,0,1,5,0,0,0,0,
1779294247.506,old,S4_walking_real,1,59,12.05,83.01,61.1,0,0,5,0,0,0,0,
1779294247.59,old,S4_walking_real,1,60,12.01,83.24,62.2,1,1,6,1,1,0,0,
1779294247.675,old,S4_walking_real,1,61,11.9,84.04,54.8,0,1,6,0,0,0,0,
1779294247.76,old,S4_walking_real,1,62,12.03,83.12,57.6,0,1,6,0,0,0,0,
1779294247.844,old,S4_walking_real,1,63,12.06,82.9,50.0,0,1,6,0,0,0,0,
1779294247.928,old,S4_walking_real,1,64,12.06,82.94,58.8,0,1,6,0,0,0,0,
1779294248.012,old,S4_walking_real,1,65,12.08,82.79,58.8,0,1,6,0,0,0,0,
1779294248.097,old,S4_walking_real,1,66,12.05,82.96,56.3,0,1,6,0,0,0,0,
1779294248.181,old,S4_walking_real,1,67,12.05,82.99,57.6,0,1,6,0,0,0,0,
1779294248.266,old,S4_walking_real,1,68,11.94,83.73,57.6,0,1,6,0,0,0,0,
1779294248.35,old,S4_walking_real,1,69,12.05,83.01,60.0,0,1,6,0,0,0,0,
1779294248.434,old,S4_walking_real,1,70,12.1,82.67,61.1,0,1,6,0,0,0,0,
1779294248.518,old,S4_walking_real,1,71,12.06,82.89,58.8,0,0,6,0,0,0,0,
1779294248.602,old,S4_walking_real,1,72,12.11,82.54,58.8,0,0,6,0,0,0,0,
1779294248.686,old,S4_walking_real,1,73,12.06,82.95,61.1,0,0,6,0,0,0,0,
1779294248.771,old,S4_walking_real,1,74,12.01,83.29,58.8,1,1,7,1,1,0,0,
1779294248.855,old,S4_walking_real,1,75,12.07,82.86,53.3,0,1,7,0,0,0,0,
1779294248.94,old,S4_walking_real,1,76,11.99,83.42,57.6,1,1,7,1,0,0,0,
1779294249.024,old,S4_walking_real,1,77,12.1,82.63,54.8,0,1,7,0,0,0,0,
1779294249.108,old,S4_walking_real,1,78,12.05,83.01,56.3,0,1,7,0,0,0,0,
1779294249.192,old,S4_walking_real,1,79,12.07,82.85,54.8,0,1,7,0,0,0,0,
1779294249.278,old,S4_walking_real,1,80,11.84,84.43,57.6,0,1,7,0,0,0,0,
1779294249.362,old,S4_walking_real,1,81,12.02,83.22,60.0,0,1,7,0,0,0,0,
1779294249.446,old,S4_walking_real,1,82,12.13,82.45,61.1,0,1,7,0,0,0,0,
1779294249.537,old,S4_walking_real,1,83,11.08,90.23,66.7,0,1,7,0,0,0,0,
1779294249.622,old,S4_walking_real,1,84,11.97,83.52,57.6,0,1,7,0,0,0,0,
1779294249.706,old,S4_walking_real,1,85,12.04,83.08,61.1,0,1,7,0,0,0,0,
1779294249.791,old,S4_walking_real,1,86,12.06,82.88,58.8,1,2,8,1,1,0,0,
1779294249.875,old,S4_walking_real,1,87,12.07,82.85,58.8,0,1,8,0,0,0,0,
1779294249.959,old,S4_walking_real,1,88,12.08,82.75,57.6,0,1,8,0,0,0,0,
1779294250.043,old,S4_walking_real,1,89,12.1,82.63,57.6,0,1,8,0,0,0,0,
1779294250.127,old,S4_walking_real,1,90,12.06,82.91,56.3,0,1,8,0,0,0,0,
1779294250.216,old,S4_walking_real,1,91,11.44,87.41,54.5,0,1,8,0,0,0,0,
1779294250.304,old,S4_walking_real,1,92,11.63,86.0,59.5,0,1,8,0,0,0,0,
1779294250.39,old,S4_walking_real,1,93,11.76,85.04,54.8,0,1,8,0,0,0,0,
1779294250.477,old,S4_walking_real,1,94,11.75,85.09,54.5,0,1,8,0,0,0,0,
1779294250.564,old,S4_walking_real,1,95,11.58,86.34,58.8,0,1,8,0,0,0,0,
1779294250.648,old,S4_walking_real,1,96,12.07,82.86,58.8,0,1,8,0,0,0,0,
1779294250.732,old,S4_walking_real,1,97,12.09,82.7,56.3,0,0,8,0,0,0,0,
1779294250.817,old,S4_walking_real,1,98,12.05,82.99,57.6,0,0,8,0,0,0,0,
1779294250.901,old,S4_walking_real,1,99,12.06,82.9,57.6,0,0,8,0,0,0,0,
1779294250.985,old,S4_walking_real,1,100,12.05,82.96,57.6,0,0,8,0,0,0,0,
1779294251.07,old,S4_walking_real,1,101,12.05,83.01,61.1,0,0,8,0,0,0,0,
1779294251.154,old,S4_walking_real,1,102,12.03,83.13,61.1,0,0,8,0,0,0,0,
1779294251.24,old,S4_walking_real,1,103,11.72,85.3,57.1,0,0,8,0,0,0,0,
1779294251.325,old,S4_walking_real,1,104,12.0,83.32,57.6,0,0,8,0,0,0,0,
1779294251.41,old,S4_walking_real,1,105,12.05,82.99,60.0,0,0,8,0,0,0,0,
1779294251.494,old,S4_walking_real,1,106,12.06,82.9,61.1,0,0,8,0,0,0,0,
1779294251.578,old,S4_walking_real,1,107,12.04,83.05,61.1,0,0,8,0,0,0,0,
1779294251.662,old,S4_walking_real,1,108,12.05,82.98,61.1,0,0,8,0,0,0,0,
1779294251.747,old,S4_walking_real,1,109,12.02,83.16,60.0,0,0,8,0,0,0,0,
1779294251.832,old,S4_walking_real,1,110,11.91,83.98,57.6,0,0,8,0,0,0,0,
1779294251.916,old,S4_walking_real,1,111,12.0,83.31,54.8,0,0,8,0,0,0,0,
1779294252.0,old,S4_walking_real,1,112,12.04,83.07,58.8,0,0,8,0,0,0,0,
1779294252.085,old,S4_walking_real,1,113,12.06,82.94,57.6,0,0,8,0,0,0,0,
1779294252.169,old,S4_walking_real,1,114,12.05,83.0,57.6,0,0,8,0,0,0,0,
1779294252.256,old,S4_walking_real,1,115,11.66,85.79,57.6,0,0,8,0,0,0,0,
1779294252.34,old,S4_walking_real,1,116,12.05,82.98,58.8,0,0,8,0,0,0,0,
1779294252.425,old,S4_walking_real,1,117,12.05,82.96,57.6,0,0,8,0,0,0,0,
1779294252.509,old,S4_walking_real,1,118,12.03,83.13,57.6,0,0,8,0,0,0,0,
1779294252.593,old,S4_walking_real,1,119,12.04,83.03,60.0,0,0,8,0,0,0,0,
1779294252.678,old,S4_walking_real,1,120,11.98,83.48,58.8,1,1,9,1,1,1,0.456,Person on your right
1779294252.763,old,S4_walking_real,1,121,11.98,83.46,53.1,1,1,9,1,0,0,0,
1779294252.849,old,S4_walking_real,1,122,11.99,83.41,60.0,1,1,9,1,1,1,0.642,Person approaching on your right
1779294252.933,old,S4_walking_real,1,123,12.0,83.32,58.8,1,1,9,1,0,0,0,
1779294253.018,old,S4_walking_real,1,124,12.01,83.24,58.8,2,2,10,2,1,0,0,
1779294253.102,old,S4_walking_real,1,125,12.02,83.21,61.1,4,4,12,4,2,0,0,
1779294253.187,old,S4_walking_real,1,126,12.03,83.1,60.0,1,4,12,1,1,1,0.783,Person very close on your right
1779294253.272,old,S4_walking_real,1,127,11.85,84.37,61.1,1,4,12,1,0,0,0,
1779294253.357,old,S4_walking_real,1,128,11.94,83.76,56.3,6,7,15,6,5,2,0.519,Person on your right | Person on your right
1779294253.442,old,S4_walking_real,1,129,11.99,83.43,59.5,5,8,16,5,2,1,0.546,Person on your right
1779294253.528,old,S4_walking_real,1,130,11.96,83.61,53.3,4,8,16,4,0,0,0,
1779294253.613,old,S4_walking_real,1,131,11.83,84.53,54.8,3,8,16,3,0,0,0,
1779294253.699,old,S4_walking_real,1,132,11.81,84.68,60.5,3,8,16,3,1,1,0.758,Person approaching on your right
1779294253.786,old,S4_walking_real,1,133,11.67,85.71,58.8,6,10,18,6,3,1,0.575,Person on your right
1779294253.872,old,S4_walking_real,1,134,11.85,84.41,55.9,5,10,18,5,1,1,0.573,Person ahead
1779294253.957,old,S4_walking_real,1,135,11.98,83.49,57.6,3,10,18,3,1,1,0.751,Person approaching on your right
1779294254.042,old,S4_walking_real,1,136,11.98,83.47,57.6,3,9,18,3,0,0,0,
1779294254.127,old,S4_walking_real,1,137,11.95,83.64,62.2,5,9,18,5,0,0,0,
1779294254.212,old,S4_walking_real,1,138,11.85,84.4,58.8,2,9,18,2,0,0,0,
1779294254.298,old,S4_walking_real,1,139,11.85,84.38,58.8,3,9,19,3,1,0,0,
1779294254.383,old,S4_walking_real,1,140,11.97,83.51,59.5,3,9,19,3,0,0,0,
1779294254.467,old,S4_walking_real,1,141,12.05,82.99,58.8,2,9,19,2,0,0,0,
1779294254.557,old,S4_walking_real,1,142,11.28,88.64,65.7,2,9,19,2,0,0,0,
1779294254.641,old,S4_walking_real,1,143,12.02,83.21,57.6,2,9,19,2,1,0,0,
1779294254.726,old,S4_walking_real,1,144,11.98,83.5,58.8,1,8,19,1,0,0,0,
1779294254.81,old,S4_walking_real,1,145,12.04,83.08,62.2,1,7,19,1,0,0,0,
1779294254.894,old,S4_walking_real,1,146,12.05,82.99,60.0,1,6,19,1,0,0,0,
1779294254.979,old,S4_walking_real,1,147,12.04,83.09,58.8,1,6,19,1,0,0,0,
1779294255.063,old,S4_walking_real,1,148,12.04,83.03,57.6,2,3,19,2,0,0,0,
1779294255.147,old,S4_walking_real,1,149,12.01,83.23,57.6,2,3,19,2,0,0,0,
1779294255.234,old,S4_walking_real,1,150,11.76,85.06,54.5,2,3,19,2,0,0,0,
1779294255.32,old,S4_walking_real,1,151,11.84,84.48,57.6,2,2,19,2,0,0,0,
1779294255.404,old,S4_walking_real,1,152,12.0,83.32,54.8,2,2,19,2,1,0,0,
1779294255.489,old,S4_walking_real,1,153,12.0,83.32,57.6,2,2,19,2,0,0,0,
1779294255.574,old,S4_walking_real,1,154,11.84,84.46,60.0,1,2,19,1,0,0,0,
1779294255.658,old,S4_walking_real,1,155,12.09,82.73,60.0,1,2,19,1,1,0,0,
1779294255.742,old,S4_walking_real,1,156,12.05,82.99,60.0,1,2,19,1,0,0,0,
1779294255.827,old,S4_walking_real,1,157,12.05,83.0,62.2,1,2,19,1,0,0,0,
1779294255.911,old,S4_walking_real,1,158,12.04,83.02,60.0,1,2,19,1,0,0,0,
1779294255.995,old,S4_walking_real,1,159,12.03,83.14,56.2,1,2,19,1,0,0,0,
1779294256.08,old,S4_walking_real,1,160,12.01,83.26,57.6,1,2,19,1,0,0,0,
1779294256.164,old,S4_walking_real,1,161,11.96,83.62,56.3,2,3,20,2,1,0,0,
1779294256.25,old,S4_walking_real,1,162,11.83,84.52,60.0,1,3,20,1,0,0,0,
1779294256.336,old,S4_walking_real,1,163,11.84,84.47,61.1,1,3,20,1,0,0,0,
1779294256.422,old,S4_walking_real,1,164,11.79,84.8,55.9,1,2,20,1,0,0,0,
1779294256.507,old,S4_walking_real,1,165,11.88,84.18,58.8,1,2,20,1,0,0,0,
1779294256.593,old,S4_walking_real,1,166,11.86,84.3,57.6,1,2,20,1,0,0,0,
1779294256.678,old,S4_walking_real,1,167,11.93,83.82,57.1,1,2,20,1,0,0,0,
1779294256.764,old,S4_walking_real,1,168,11.8,84.74,61.1,1,2,20,1,0,0,0,
1779294256.848,old,S4_walking_real,1,169,12.02,83.18,58.8,1,2,20,1,0,0,0,
1779294256.933,old,S4_walking_real,1,170,11.94,83.78,57.6,1,2,20,1,0,0,0,
1779294257.018,old,S4_walking_real,1,171,12.04,83.04,60.0,1,2,20,1,0,0,0,
1779294257.102,old,S4_walking_real,1,172,12.03,83.14,61.1,1,1,20,1,0,0,0,
1779294257.187,old,S4_walking_real,1,173,11.98,83.44,58.8,1,1,20,1,0,0,0,
1779294257.272,old,S4_walking_real,1,174,11.81,84.69,58.8,1,1,20,1,0,0,0,
1779294257.357,old,S4_walking_real,1,175,11.98,83.49,57.6,1,1,20,1,0,0,0,
1779294257.441,old,S4_walking_real,1,176,12.02,83.16,54.8,1,1,20,1,0,0,0,
1779294257.526,old,S4_walking_real,1,177,12.03,83.13,60.0,1,1,20,1,0,0,0,
1779294257.61,old,S4_walking_real,1,178,11.97,83.54,63.2,1,1,20,1,0,0,0,
1779294257.696,old,S4_walking_real,1,179,11.98,83.48,57.1,1,1,20,1,0,0,0,
1779294257.78,old,S4_walking_real,1,180,11.98,83.47,54.8,1,1,20,1,0,0,0,
1779294257.865,old,S4_walking_real,1,181,11.94,83.78,54.8,1,1,20,1,0,0,0,
1779294257.95,old,S4_walking_real,1,182,11.95,83.71,60.0,1,1,20,1,0,0,0,
1779294258.035,old,S4_walking_real,1,183,12.02,83.19,61.1,1,1,20,1,0,0,0,
1779294258.119,old,S4_walking_real,1,184,11.99,83.41,58.8,1,1,20,1,0,0,0,
1779294258.203,old,S4_walking_real,1,185,11.97,83.51,56.3,1,1,20,1,0,0,0,
1779294258.294,old,S4_walking_real,1,186,11.18,89.47,56.8,1,1,20,1,0,0,0,
1779294258.381,old,S4_walking_real,1,187,11.61,86.1,58.8,1,1,20,1,0,0,0,
1779294258.468,old,S4_walking_real,1,188,11.68,85.63,58.3,1,1,20,1,0,0,0,
1779294258.555,old,S4_walking_real,1,189,11.64,85.92,57.6,1,1,20,1,0,0,0,
1779294258.642,old,S4_walking_real,1,190,11.66,85.77,53.1,1,1,20,1,0,0,0,
1779294258.729,old,S4_walking_real,1,191,11.63,85.99,61.1,1,1,20,1,0,0,0,
1779294258.816,old,S4_walking_real,1,192,11.64,85.91,55.9,1,1,20,1,0,0,0,
1779294258.903,old,S4_walking_real,1,193,11.65,85.81,56.3,1,1,20,1,0,0,0,
1779294258.99,old,S4_walking_real,1,194,11.63,85.98,58.3,1,1,20,1,0,0,0,
1779294259.077,old,S4_walking_real,1,195,11.63,85.95,60.0,1,1,20,1,0,0,0,
1779294259.164,old,S4_walking_real,1,196,11.65,85.86,60.5,1,1,20,1,0,0,0,
1779294259.254,old,S4_walking_real,1,197,11.37,87.94,55.9,1,1,20,1,0,0,0,
1779294259.341,old,S4_walking_real,1,198,11.59,86.26,57.6,1,1,20,1,0,0,0,
1779294259.428,old,S4_walking_real,1,199,11.68,85.64,60.5,1,1,20,1,0,0,0,
1779294259.528,old,S4_walking_real,1,200,10.09,99.11,59.0,0,1,20,0,0,0,0,
1779294259.614,old,S4_walking_real,1,201,11.76,85.05,56.3,0,1,20,0,0,0,0,
1779294259.7,old,S4_walking_real,1,202,11.75,85.13,58.3,0,1,20,0,0,0,0,
1779294259.787,old,S4_walking_real,1,203,11.65,85.8,53.3,0,1,20,0,0,0,0,
1779294259.874,old,S4_walking_real,1,204,11.66,85.74,55.9,0,1,20,0,0,0,0,
1779294259.961,old,S4_walking_real,1,205,11.66,85.74,57.6,0,1,20,0,0,0,0,
1779294260.048,old,S4_walking_real,1,206,11.71,85.43,58.3,0,1,20,0,0,0,0,
1779294260.134,old,S4_walking_real,1,207,11.69,85.57,56.3,0,1,20,0,0,0,0,
1779294260.223,old,S4_walking_real,1,208,11.49,87.06,56.3,0,1,20,0,0,0,0,
1779294260.31,old,S4_walking_real,1,209,11.68,85.62,55.9,0,1,20,0,0,0,0,
1779294260.396,old,S4_walking_real,1,210,11.7,85.45,61.1,0,0,20,0,0,0,0,
1779294260.483,old,S4_walking_real,1,211,11.65,85.85,55.9,0,0,20,0,0,0,0,
1779294260.571,old,S4_walking_real,1,212,11.54,86.62,58.8,0,0,20,0,0,0,0,
1779294260.658,old,S4_walking_real,1,213,11.64,85.91,56.3,0,0,20,0,0,0,0,
1779294260.745,old,S4_walking_real,1,214,11.68,85.65,54.5,0,0,20,0,0,0,0,
