frame,time_s,latency_ms,fps,cpu_percent,ram_percent,temperature_c,detections,tracks,raw_messages,context_messages,message,reason
85,10.436,105.55,9.47,55.8,16.3,49.9,2,4,4,1,cup ahead,new_object
86,10.545,105.44,9.48,55.8,16.3,49.9,1,4,4,0,,
87,10.653,105.74,9.46,54.8,16.3,50.5,1,4,4,0,,
88,10.761,105.39,9.49,53.7,16.3,49.9,1,3,3,0,,
89,10.869,107.54,9.3,57.8,16.3,49.9,1,3,3,0,,
90,10.979,106.75,9.37,57.8,16.3,51.0,1,3,3,0,,
91,11.089,106.49,9.39,58.7,16.3,50.5,1,3,3,0,,
92,11.198,105.88,9.44,51.3,16.3,51.0,2,4,4,0,,
93,11.307,105.52,9.48,56.8,16.3,50.5,1,4,4,0,,
94,11.415,105.96,9.44,56.8,16.3,50.5,1,4,4,1,person ahead,cooldown
95,11.523,105.09,9.52,54.8,16.3,49.9,1,4,4,0,,
96,11.631,105.63,9.47,52.5,16.3,50.5,1,3,3,0,,
97,11.739,109.71,9.12,61.4,16.3,50.5,1,3,3,0,,
98,11.852,106.83,9.36,54.8,16.3,50.5,1,3,3,0,,
99,11.961,106.13,9.42,54.8,16.3,49.9,0,3,3,0,,
100,12.07,106.22,9.41,58.7,16.3,50.5,2,4,4,1,bird ahead,new_object
101,12.179,107.32,9.32,53.7,16.3,51.0,1,4,4,0,,
102,12.289,106.72,9.37,53.7,16.3,50.5,2,5,5,0,,
103,12.399,106.28,9.41,54.8,16.3,51.0,1,4,4,0,,
104,12.508,106.95,9.35,54.8,16.3,51.0,1,4,4,0,,
105,12.617,106.63,9.38,54.8,16.3,50.5,1,4,4,0,,
106,12.727,106.4,9.4,55.8,16.3,50.5,1,4,4,0,,
107,12.836,108.2,9.24,56.8,16.3,51.0,1,4,4,0,,
108,12.947,106.75,9.37,54.8,16.3,50.5,1,4,4,0,,
109,13.056,106.29,9.41,55.8,16.3,51.0,1,3,3,0,,
110,13.165,105.47,9.48,54.8,16.3,51.0,1,3,3,0,,
111,13.273,106.83,9.36,56.8,16.3,51.0,1,2,2,0,,
112,13.383,106.05,9.43,58.7,16.3,50.5,1,2,2,0,,
113,13.491,105.85,9.45,55.8,16.3,51.0,1,1,1,0,,
114,13.6,106.27,9.41,53.7,16.3,51.6,2,2,2,0,,
115,13.709,106.24,9.41,58.7,16.3,51.6,1,2,2,0,,
116,13.818,107.6,9.29,53.7,16.3,51.0,2,2,2,0,,
117,13.929,106.23,9.41,57.4,16.3,51.6,1,2,2,0,,
118,14.038,105.7,9.46,51.3,16.3,51.0,2,2,2,0,,
119,14.146,106.15,9.42,57.8,16.3,51.6,1,2,2,0,,
120,14.255,106.12,9.42,54.8,16.3,51.6,1,2,2,0,,
121,14.364,106.61,9.38,53.7,16.3,51.6,1,2,2,0,,
122,14.473,106.58,9.38,52.5,16.3,49.9,1,2,2,0,,
123,14.583,106.37,9.4,56.8,16.3,50.5,1,2,2,0,,
124,14.692,106.59,9.38,54.8,16.3,51.0,1,2,2,0,,
125,14.801,106.1,9.42,57.8,16.3,51.0,1,2,2,0,,
126,14.91,107.11,9.34,52.5,16.3,51.6,1,2,2,0,,
127,15.02,105.91,9.44,54.5,16.3,51.0,1,2,2,0,,
128,15.129,105.92,9.44,57.8,16.3,51.0,1,2,2,0,,
129,15.238,106.19,9.42,54.8,16.3,51.6,1,1,1,0,,
130,15.346,105.98,9.44,55.8,16.3,52.1,1,1,1,0,,
131,15.455,107.12,9.34,56.8,16.3,51.6,1,1,1,0,,
132,15.565,105.92,9.44,56.8,16.3,51.6,2,2,2,0,,
133,15.674,105.96,9.44,58.7,16.2,51.6,2,2,2,0,,
134,15.782,106.44,9.4,57.8,16.2,51.6,2,3,3,0,,
135,15.891,107.23,9.33,55.8,16.2,51.6,2,3,3,0,,
136,16.002,106.4,9.4,58.7,16.2,52.7,1,3,3,0,,
137,16.111,105.67,9.46,55.8,16.2,51.6,1,3,3,0,,
138,16.22,106.63,9.38,55.8,16.2,52.1,1,3,3,0,,
139,16.329,105.76,9.46,57.8,16.2,52.1,1,3,3,0,,
140,16.438,106.14,9.42,57.8,16.2,52.7,1,3,3,1,person ahead,cooldown
141,16.546,106.59,9.38,54.8,16.2,51.0,1,3,3,0,,
142,16.656,105.78,9.45,55.8,16.2,51.0,1,3,3,0,,
143,16.764,109.76,9.11,60.0,16.3,52.1,2,4,4,0,,
144,16.877,107.21,9.33,52.5,16.3,51.6,2,3,3,0,,
145,16.987,106.22,9.41,58.7,16.3,51.6,2,3,3,0,,
146,17.095,105.65,9.47,56.8,16.3,51.6,2,2,2,0,,
147,17.204,105.49,9.48,56.8,16.3,52.7,3,3,3,0,,
148,17.312,106.78,9.37,52.5,16.3,52.1,2,3,3,0,,
149,17.421,105.59,9.47,58.7,16.3,52.7,2,3,3,0,,
150,17.53,105.36,9.49,59.6,16.3,52.1,1,3,3,0,,
151,17.638,106.78,9.37,56.8,16.3,52.1,1,3,3,0,,
152,17.747,106.65,9.38,51.3,16.3,52.1,1,3,3,0,,
153,17.857,107.48,9.3,59.6,16.3,52.7,1,3,3,0,,
154,17.967,106.68,9.37,53.7,16.3,52.7,1,3,3,0,,
155,18.076,106.37,9.4,55.8,16.3,51.6,1,3,3,0,,
156,18.185,105.82,9.45,57.8,16.3,52.7,1,3,3,0,,
157,18.294,106.06,9.43,52.5,16.3,52.1,1,3,3,0,,
158,18.403,106.14,9.42,57.8,16.3,52.1,1,2,2,0,,
159,18.511,105.92,9.44,54.8,16.3,52.1,2,3,3,0,,
160,18.62,106.31,9.41,52.5,16.3,52.7,3,3,3,0,,
161,18.729,106.75,9.37,58.7,16.3,51.0,3,3,3,0,,
162,18.839,107.79,9.28,56.8,16.3,52.7,3,3,3,1,person on the left,position_changed
163,18.949,106.8,9.36,57.8,16.3,52.1,3,3,3,0,,
164,19.06,106.21,9.42,55.8,16.3,52.7,3,3,3,0,,
165,19.168,106.37,9.4,54.8,16.3,52.1,2,3,3,0,,
166,19.278,106.19,9.42,56.8,16.3,53.2,5,5,5,0,,
167,19.386,106.11,9.42,57.8,16.3,52.7,4,6,6,0,,
168,19.495,106.13,9.42,52.5,16.3,52.1,3,6,6,0,,
169,19.604,105.53,9.48,53.5,16.3,52.1,5,7,7,0,,
170,19.712,106.15,9.42,51.3,16.3,52.7,4,7,7,0,,
171,19.821,107.68,9.29,59.6,16.3,53.2,6,7,7,0,,
172,19.931,106.1,9.42,54.8,16.3,53.2,5,7,7,0,,
173,20.04,106.57,9.38,53.7,16.3,52.1,5,7,7,0,,
174,20.15,106.29,9.41,53.7,16.3,53.2,3,7,7,0,,
175,20.258,106.03,9.43,57.8,16.3,52.7,3,7,7,0,,
176,20.367,106.26,9.41,52.5,16.3,52.1,3,7,7,0,,
177,20.476,106.71,9.37,55.8,16.3,53.2,3,6,6,0,,
178,20.586,105.77,9.45,58.7,16.3,53.8,4,7,7,0,,
179,20.694,105.71,9.46,50.0,16.2,52.7,4,7,7,1,person ahead,position_changed
180,20.802,106.1,9.42,57.8,16.2,53.8,4,7,7,0,,
181,20.913,106.82,9.36,53.5,16.2,53.2,1,7,7,0,,
182,21.023,106.1,9.43,53.7,16.2,52.7,1,7,7,0,,
183,21.132,105.66,9.46,56.8,16.2,52.1,2,8,8,0,,
184,21.24,105.69,9.46,55.8,16.2,52.7,4,7,7,0,,
185,21.348,106.61,9.38,54.8,16.2,53.2,4,7,7,0,,
186,21.458,106.37,9.4,56.8,16.2,53.2,3,7,7,0,,
187,21.567,105.8,9.45,55.8,16.2,53.8,2,7,7,0,,
188,21.675,106.7,9.37,56.8,16.2,53.8,3,7,7,0,,
189,21.785,112.31,8.9,61.7,16.2,53.8,2,7,7,1,person on the right,position_changed
190,21.9,107.37,9.31,54.8,16.2,52.7,2,7,7,0,,
191,22.01,107.12,9.34,56.8,16.2,52.7,3,5,5,0,,
192,22.22,106.74,9.37,27.2,16.2,52.7,7,9,9,0,,
193,22.329,106.96,9.35,54.8,16.2,53.2,6,10,10,0,,
194,22.439,106.68,9.37,54.8,16.2,52.1,6,10,10,0,,
195,22.548,106.77,9.37,56.8,16.2,52.1,4,10,10,0,,
196,22.658,106.45,9.39,57.8,16.2,53.2,4,9,9,0,,
197,22.767,107.15,9.33,53.7,16.2,52.7,4,9,9,0,,
198,22.877,107.55,9.3,56.8,16.2,52.7,5,10,10,0,,
199,22.987,106.34,9.4,53.7,16.2,53.8,4,9,9,0,,
200,23.096,105.37,9.49,53.7,16.2,53.2,5,9,9,0,,
201,23.204,106.59,9.38,56.8,16.2,53.2,4,9,9,0,,
202,23.314,105.45,9.48,57.8,16.2,52.7,4,9,9,0,,
203,23.422,105.78,9.45,56.8,16.2,53.8,5,8,8,0,,
204,23.53,105.46,9.48,54.8,16.2,52.7,5,7,7,0,,
205,23.638,105.75,9.46,53.7,16.2,53.2,6,7,7,0,,
206,23.747,105.5,9.48,57.8,16.2,53.2,5,7,7,0,,
207,23.855,106.99,9.35,57.8,16.2,53.8,5,7,7,0,,
208,23.965,106.18,9.42,55.8,16.2,53.2,5,7,7,0,,
209,24.073,105.97,9.44,58.7,16.2,53.2,4,6,6,0,,
210,24.182,105.78,9.45,52.5,16.2,53.8,4,6,6,0,,
211,24.291,107.46,9.31,53.5,16.2,53.2,4,6,6,0,,
212,24.401,105.83,9.45,54.8,16.2,53.8,4,6,6,0,,
