timestamp,phase,scenario,run_id,frame,fps_instant,latency_ms,cpu_percent,detections_count,raw_messages,filtered_messages,decision_messages,mean_priority_score,final_messages
1779142862.899,C1,S3_multi_person,2,0,6.97,143.4,28.7,1,0,0,0,0,
1779142862.986,C1,S3_multi_person,2,1,11.72,85.29,61.1,1,0,0,0,0,
1779142863.071,C1,S3_multi_person,2,2,11.9,84.03,56.2,2,0,0,0,0,
1779142863.155,C1,S3_multi_person,2,3,11.96,83.58,57.6,2,0,0,0,0,
1779142863.24,C1,S3_multi_person,2,4,11.94,83.78,60.0,1,0,0,0,0,
1779142863.327,C1,S3_multi_person,2,5,11.65,85.8,62.2,1,0,0,0,0,
1779142863.412,C1,S3_multi_person,2,6,11.95,83.65,58.8,1,0,0,0,0,
1779142863.513,C1,S3_multi_person,2,7,10.06,99.4,61.9,1,0,0,0,0,
1779142863.597,C1,S3_multi_person,2,8,11.97,83.57,61.1,1,0,0,0,0,
1779142863.682,C1,S3_multi_person,2,9,11.92,83.86,58.8,1,0,0,0,0,
1779142863.767,C1,S3_multi_person,2,10,11.93,83.79,54.8,1,0,0,0,0,
1779142863.852,C1,S3_multi_person,2,11,11.96,83.59,54.8,1,0,0,0,0,
1779142863.937,C1,S3_multi_person,2,12,11.92,83.92,58.8,2,0,0,0,0,
1779142864.022,C1,S3_multi_person,2,13,11.94,83.78,61.1,2,0,0,0,0,
1779142864.106,C1,S3_multi_person,2,14,11.98,83.45,54.8,1,0,0,0,0,
1779142864.191,C1,S3_multi_person,2,15,11.94,83.72,57.6,1,0,0,0,0,
1779142864.276,C1,S3_multi_person,2,16,11.92,83.92,57.6,1,0,0,0,0,
1779142864.363,C1,S3_multi_person,2,17,11.62,86.08,60.5,1,0,0,0,0,
1779142864.449,C1,S3_multi_person,2,18,11.89,84.14,60.0,1,0,0,0,0,
1779142864.535,C1,S3_multi_person,2,19,11.8,84.72,58.8,2,0,0,0,0,
1779142864.619,C1,S3_multi_person,2,20,11.95,83.71,58.8,2,0,0,0,0,
1779142864.704,C1,S3_multi_person,2,21,11.9,84.0,56.3,3,0,0,0,0,
1779142864.79,C1,S3_multi_person,2,22,11.95,83.66,62.2,2,0,0,0,0,
1779142864.875,C1,S3_multi_person,2,23,11.87,84.22,58.8,2,0,0,0,0,
1779142864.96,C1,S3_multi_person,2,24,11.83,84.56,56.3,1,0,0,0,0,
1779142865.046,C1,S3_multi_person,2,25,11.79,84.82,60.0,2,0,0,0,0,
1779142865.132,C1,S3_multi_person,2,26,11.91,83.97,53.1,1,0,0,0,0,
1779142865.217,C1,S3_multi_person,2,27,11.8,84.71,60.0,1,0,0,0,0,
1779142865.303,C1,S3_multi_person,2,28,11.79,84.78,58.8,1,0,0,0,0,
1779142865.39,C1,S3_multi_person,2,29,11.59,86.27,58.8,1,0,0,0,0,
1779142865.477,C1,S3_multi_person,2,30,11.76,85.0,61.1,1,0,0,0,0,
1779142865.563,C1,S3_multi_person,2,31,11.74,85.2,61.1,2,0,0,0,0,
1779142865.65,C1,S3_multi_person,2,32,11.71,85.43,58.3,3,0,0,0,0,
1779142865.736,C1,S3_multi_person,2,33,11.73,85.24,60.0,3,0,0,0,0,
1779142865.822,C1,S3_multi_person,2,34,11.77,84.97,61.1,2,0,0,0,0,
