frame,time_s,latency_ms,fps,cpu_percent,ram_percent,temperature_c,detections,tracks,raw_messages,context_messages,message,reason
85,10.426,103.84,9.63,60.0,16.7,50.5,1,2,2,0,,
86,10.533,105.0,9.52,52.5,16.7,50.5,1,2,2,0,,
87,10.641,104.93,9.53,52.5,16.7,49.4,1,2,2,0,,
88,10.748,105.25,9.5,55.8,16.7,49.4,1,2,2,0,,
89,10.856,105.13,9.51,52.5,16.7,49.9,1,2,2,0,,
90,10.964,105.1,9.52,57.1,16.7,50.5,2,2,2,1,person on the left,position_changed
91,11.072,105.32,9.49,55.8,16.6,49.9,2,2,2,0,,
92,11.18,105.8,9.45,50.0,16.6,49.4,2,2,2,0,,
93,11.288,104.83,9.54,55.8,16.6,49.4,2,2,2,0,,
94,11.496,105.11,9.51,29.3,16.6,49.4,4,4,4,2,bottle ahead | bottle ahead,new_object | new_object
95,11.604,104.77,9.54,55.8,16.6,49.9,4,4,4,0,,
96,11.712,104.83,9.54,53.7,16.6,50.5,4,4,4,0,,
97,11.819,116.28,8.6,58.7,16.7,49.9,4,4,4,0,,
98,11.938,105.67,9.46,55.8,16.7,49.9,3,4,4,0,,
99,12.047,105.18,9.51,53.7,16.6,49.9,2,4,4,0,,
100,12.154,106.59,9.38,56.8,16.6,49.9,2,4,4,1,person ahead,position_changed
101,12.264,105.63,9.47,53.7,16.6,50.5,1,4,4,0,,
102,12.372,105.05,9.52,54.8,16.6,51.0,1,4,4,0,,
103,12.48,105.38,9.49,55.8,16.6,50.5,1,4,4,0,,
104,12.588,104.83,9.54,56.8,16.6,51.0,1,4,4,0,,
105,12.695,105.27,9.5,55.8,16.6,49.9,1,4,4,0,,
106,12.803,106.33,9.4,56.8,16.6,50.5,1,4,4,1,microwave ahead,cooldown
107,12.912,105.07,9.52,57.1,16.6,50.5,1,4,4,0,,
108,13.02,105.53,9.48,53.7,16.6,49.9,1,3,3,0,,
109,13.128,106.7,9.37,55.6,16.6,50.5,1,2,2,0,,
110,13.238,105.19,9.51,53.7,16.6,51.0,1,2,2,0,,
111,13.346,106.15,9.42,56.8,16.6,51.0,1,1,1,0,,
112,13.455,105.41,9.49,53.7,16.6,49.4,1,1,1,0,,
113,13.563,105.24,9.5,54.8,16.6,50.5,1,1,1,0,,
114,13.671,105.3,9.5,58.1,16.6,50.5,1,1,1,0,,
115,13.779,105.06,9.52,53.7,16.6,51.0,1,1,1,0,,
116,13.887,105.31,9.5,53.7,16.6,51.6,1,1,1,0,,
117,13.995,105.02,9.52,54.8,16.5,51.0,1,1,1,0,,
118,14.102,106.11,9.42,59.6,16.5,51.0,1,1,1,0,,
119,14.211,105.02,9.52,53.7,16.5,51.6,1,1,1,0,,
120,14.319,104.99,9.53,52.5,16.5,51.6,1,1,1,0,,
121,14.427,105.43,9.48,54.8,16.5,51.0,1,1,1,0,,
122,14.535,105.61,9.47,58.7,16.5,50.5,1,1,1,0,,
123,14.643,105.31,9.5,53.7,16.5,52.1,1,1,1,0,,
124,14.751,105.12,9.51,55.8,16.5,51.6,1,1,1,0,,
125,14.859,105.41,9.49,56.1,16.5,51.0,1,1,1,0,,
126,14.967,105.25,9.5,56.8,16.5,51.6,1,1,1,0,,
127,15.075,106.41,9.4,54.8,16.4,52.1,1,1,1,0,,
128,15.186,105.08,9.52,53.5,16.4,50.5,1,1,1,0,,
129,15.294,106.04,9.43,53.7,16.4,51.0,1,1,1,0,,
130,15.403,105.61,9.47,55.8,16.4,51.6,1,1,1,0,,
131,15.511,106.32,9.41,55.8,16.4,51.6,1,1,1,0,,
132,15.62,105.56,9.47,56.8,16.4,51.0,1,1,1,0,,
133,15.728,106.14,9.42,55.8,16.4,51.0,1,1,1,0,,
134,15.837,105.51,9.48,56.8,16.4,51.0,1,1,1,0,,
135,15.945,105.82,9.45,56.8,16.4,51.6,1,1,1,0,,
136,16.054,105.64,9.47,57.8,16.4,51.0,1,1,1,0,,
137,16.162,106.24,9.41,56.8,16.4,51.6,1,1,1,0,,
138,16.271,105.74,9.46,56.8,16.4,52.1,1,1,1,0,,
139,16.379,105.69,9.46,52.5,16.3,51.0,1,1,1,0,,
140,16.488,105.5,9.48,52.5,16.3,52.1,1,1,1,0,,
141,16.596,106.32,9.41,56.8,16.3,51.0,1,1,1,0,,
142,16.705,105.74,9.46,54.8,16.3,52.7,1,1,1,0,,
143,16.813,110.87,9.02,58.1,16.4,52.1,1,1,1,0,,
144,16.927,105.61,9.47,57.8,16.4,52.1,1,1,1,0,,
145,17.035,105.7,9.46,56.8,16.3,51.0,1,1,1,0,,
146,17.144,107.43,9.31,56.8,16.3,52.7,1,1,1,0,,
147,17.254,105.27,9.5,55.8,16.3,52.1,1,1,1,1,person ahead,cooldown
148,17.362,105.32,9.5,57.8,16.3,52.1,1,1,1,0,,
149,17.47,105.69,9.46,57.8,16.3,51.6,1,1,1,0,,
150,17.578,106.29,9.41,54.8,16.3,52.1,1,1,1,0,,
151,17.687,106.21,9.42,55.8,16.3,52.1,1,1,1,0,,
152,17.796,108.01,9.26,56.8,16.3,52.7,1,1,1,0,,
153,17.906,105.73,9.46,55.8,16.3,52.7,1,1,1,0,,
154,18.015,105.47,9.48,57.8,16.3,52.1,1,1,1,0,,
155,18.123,106.92,9.35,54.8,16.3,52.7,1,1,1,0,,
156,18.233,106.06,9.43,55.8,16.3,52.1,1,1,1,0,,
157,18.341,105.66,9.46,56.8,16.3,52.7,1,1,1,0,,
158,18.45,105.77,9.45,57.8,16.3,52.1,1,1,1,0,,
159,18.558,106.19,9.42,53.7,16.3,52.7,1,1,1,0,,
160,18.667,105.48,9.48,57.8,16.3,52.7,1,1,1,0,,
161,18.775,106.45,9.39,52.5,16.3,52.7,1,1,1,0,,
162,18.884,105.56,9.47,55.8,16.3,51.6,1,1,1,0,,
163,18.993,106.9,9.35,52.5,16.3,52.1,1,1,1,0,,
164,19.102,106.99,9.35,55.8,16.3,52.1,1,1,1,0,,
165,19.212,105.49,9.48,54.8,16.3,52.7,1,1,1,0,,
166,19.321,106.02,9.43,51.2,16.3,52.1,1,1,1,0,,
167,19.43,105.58,9.47,57.8,16.3,52.7,1,1,1,0,,
168,19.538,106.27,9.41,52.5,16.3,52.7,1,1,1,0,,
169,19.647,105.7,9.46,58.7,16.3,51.6,1,1,1,0,,
170,19.755,105.27,9.5,56.8,16.3,52.1,1,1,1,0,,
171,19.863,106.42,9.4,52.5,16.3,52.7,1,1,1,0,,
172,19.972,105.66,9.46,57.8,16.2,52.7,1,1,1,0,,
173,20.081,106.12,9.42,60.4,16.2,51.6,1,1,1,0,,
174,20.283,106.56,9.38,29.1,16.2,52.1,1,1,1,0,,
175,20.393,106.0,9.43,54.8,16.2,51.6,1,1,1,0,,
176,20.502,105.72,9.46,57.8,16.2,51.6,1,1,1,0,,
177,20.61,105.32,9.5,57.8,16.2,52.1,1,1,1,0,,
178,20.718,105.32,9.5,57.8,16.2,53.2,1,1,1,0,,
179,20.826,105.73,9.46,56.5,16.2,52.7,1,1,1,0,,
180,20.934,106.33,9.41,56.8,16.2,52.1,2,2,2,1,microwave ahead,new_object
181,21.043,106.42,9.4,55.8,16.2,52.7,2,2,2,0,,
182,21.152,107.28,9.32,58.7,16.2,52.1,2,2,2,0,,
183,21.262,105.3,9.5,54.8,16.2,52.7,2,2,2,0,,
184,21.37,105.87,9.45,52.5,16.2,52.7,2,2,2,0,,
185,21.479,105.74,9.46,56.8,16.2,52.1,2,2,2,0,,
186,21.587,105.29,9.5,54.8,16.2,53.2,2,2,2,0,,
187,21.695,105.62,9.47,54.8,16.2,52.7,2,2,2,0,,
188,21.804,110.82,9.02,63.8,16.2,52.7,2,2,2,0,,
189,21.917,105.59,9.47,53.7,16.2,53.2,2,2,2,0,,
190,22.025,105.2,9.51,51.2,16.2,53.2,1,2,2,0,,
191,22.133,107.85,9.27,57.8,16.2,53.8,1,2,2,0,,
192,22.244,105.23,9.5,56.1,16.2,54.3,1,2,2,0,,
193,22.352,105.31,9.5,53.7,16.2,52.7,1,2,2,1,person ahead,cooldown
194,22.46,105.55,9.47,53.7,16.2,52.7,2,2,2,0,,
195,22.568,106.0,9.43,54.5,16.2,53.2,2,2,2,0,,
196,22.677,105.37,9.49,56.8,16.2,52.7,2,2,2,0,,
197,22.785,107.25,9.32,56.1,16.2,53.2,2,2,2,0,,
198,22.894,106.13,9.42,52.4,16.2,53.2,2,2,2,0,,
199,23.003,105.45,9.48,57.8,16.2,53.2,2,2,2,0,,
200,23.111,106.41,9.4,54.8,16.2,53.8,2,2,2,0,,
201,23.221,106.51,9.39,54.8,16.2,52.7,2,2,2,0,,
202,23.33,105.62,9.47,59.1,16.2,53.8,2,2,2,0,,
203,23.438,105.41,9.49,57.8,16.2,53.2,2,2,2,0,,
204,23.546,105.02,9.52,57.8,16.2,53.2,1,2,2,0,,
205,23.654,105.44,9.48,57.8,16.2,53.8,1,2,2,0,,
206,23.762,105.33,9.49,56.8,16.2,53.2,1,2,2,0,,
207,23.87,105.35,9.49,58.7,16.2,53.2,1,2,2,0,,
208,23.978,105.42,9.49,57.8,16.2,53.2,1,2,2,0,,
209,24.086,107.25,9.32,58.7,16.1,53.2,1,2,2,0,,
210,24.196,105.24,9.5,53.7,16.1,53.2,1,2,2,0,,
211,24.304,105.73,9.46,56.8,16.1,53.8,1,2,2,0,,
212,24.412,105.56,9.47,53.7,16.1,53.2,1,2,2,0,,
213,24.52,105.7,9.46,56.8,16.1,53.8,1,2,2,0,,
214,24.629,105.74,9.46,53.7,16.1,53.8,1,1,1,0,,
215,24.737,105.95,9.44,57.8,16.1,53.8,1,1,1,0,,
