frame,time_s,latency_ms,fps,cpu_percent,ram_percent,temperature_c,detections,active_tracks,track_ids
85,10.618,115.94,8.63,59.2,16.4,49.4,2,3,"[1, 3, 5]"
86,10.739,107.39,9.31,53.5,16.4,49.9,2,3,"[1, 3, 5]"
87,10.849,107.38,9.31,55.6,16.4,49.9,2,3,"[1, 3, 5]"
88,10.959,107.47,9.31,56.8,16.4,49.9,2,3,"[1, 3, 5]"
89,11.069,107.41,9.31,53.5,16.4,51.0,2,3,"[1, 3, 5]"
90,11.18,107.11,9.34,54.5,16.4,50.5,2,3,"[1, 3, 5]"
91,11.289,107.41,9.31,57.8,16.4,49.9,3,3,"[1, 5, 6]"
92,11.4,107.8,9.28,56.5,16.4,51.0,2,3,"[1, 5, 6]"
93,11.511,107.42,9.31,54.5,16.4,50.5,2,3,"[1, 5, 6]"
94,11.621,109.22,9.16,58.3,16.4,50.5,2,3,"[1, 5, 6]"
95,11.733,107.76,9.28,54.5,16.4,49.9,1,3,"[1, 5, 6]"
96,11.844,107.01,9.35,52.5,16.4,51.0,1,3,"[1, 5, 6]"
97,11.953,107.0,9.35,54.5,16.4,51.0,2,4,"[1, 5, 6, 7]"
98,12.063,107.05,9.34,54.8,16.4,50.5,2,4,"[1, 5, 6, 7]"
99,12.173,106.79,9.36,54.5,16.4,50.5,1,4,"[1, 5, 6, 7]"
100,12.282,106.72,9.37,56.5,16.4,49.9,2,4,"[1, 5, 6, 7]"
101,12.392,108.0,9.26,55.8,16.4,51.0,2,4,"[1, 5, 6, 7]"
102,12.502,106.85,9.36,52.4,16.3,51.0,1,3,"[1, 5, 7]"
103,12.612,110.06,9.09,58.3,16.3,51.0,2,3,"[1, 5, 7]"
104,12.725,108.07,9.25,56.5,16.3,49.9,1,3,"[1, 5, 7]"
105,12.936,107.86,9.27,29.4,16.3,50.5,1,2,"[1, 7]"
106,13.047,107.5,9.3,53.7,16.3,50.5,1,2,"[1, 7]"
107,13.157,107.68,9.29,54.5,16.3,50.5,2,2,"[1, 7]"
108,13.267,108.3,9.23,52.4,16.3,51.0,2,2,"[1, 7]"
109,13.378,109.17,9.16,53.5,16.3,49.9,2,2,"[1, 7]"
110,13.49,108.59,9.21,52.4,16.3,49.9,2,2,"[1, 7]"
111,13.602,109.66,9.12,54.5,16.3,51.0,2,2,"[1, 7]"
112,13.714,107.62,9.29,52.4,16.3,49.9,2,2,"[1, 7]"
113,13.824,107.35,9.32,55.6,16.3,51.0,2,2,"[1, 7]"
114,13.934,107.63,9.29,55.8,16.3,51.0,2,2,"[1, 7]"
115,14.045,107.22,9.33,53.5,16.3,51.6,2,2,"[1, 7]"
116,14.155,106.9,9.35,52.4,16.3,50.5,2,2,"[1, 7]"
117,14.264,106.92,9.35,58.7,16.3,51.6,2,2,"[1, 7]"
118,14.374,108.62,9.21,56.5,16.3,52.1,2,2,"[1, 7]"
119,14.485,107.23,9.33,54.5,16.3,50.5,2,2,"[1, 7]"
120,14.595,108.98,9.18,55.6,16.3,51.6,2,2,"[1, 7]"
121,14.707,109.26,9.15,53.5,16.3,51.0,2,2,"[1, 7]"
122,14.819,107.85,9.27,53.5,16.3,51.0,2,2,"[1, 7]"
123,14.93,108.01,9.26,59.6,16.3,51.6,2,2,"[1, 7]"
124,15.04,107.51,9.3,56.5,16.3,51.6,2,2,"[1, 7]"
125,15.151,107.27,9.32,54.5,16.3,51.0,2,2,"[1, 7]"
126,15.261,106.96,9.35,55.6,16.3,51.0,1,2,"[1, 7]"
127,15.37,107.29,9.32,53.7,16.3,52.1,2,2,"[1, 7]"
128,15.48,107.84,9.27,54.5,16.2,51.6,2,2,"[1, 7]"
129,15.591,118.23,8.46,59.6,16.2,50.5,2,2,"[1, 7]"
130,15.712,108.26,9.24,54.5,16.3,52.1,2,2,"[1, 7]"
131,15.823,108.42,9.22,54.5,16.3,51.6,2,2,"[1, 7]"
132,15.934,109.01,9.17,50.0,16.3,51.0,2,2,"[1, 7]"
133,16.046,107.76,9.28,54.8,16.3,52.1,2,2,"[1, 7]"
