timestamp,phase,scenario,run_id,frame,fps_instant,latency_ms,cpu_percent,detections_count,raw_messages,filtered_messages,decision_messages,mean_priority_score,final_messages
1779140863.673,C2,S4_walking_real,2,0,7.02,142.52,28.4,1,1,1,0,0,
1779140863.759,C2,S4_walking_real,2,1,11.95,83.71,57.6,1,1,0,0,0,
1779140863.843,C2,S4_walking_real,2,2,11.96,83.58,56.2,1,1,0,0,0,
1779140863.927,C2,S4_walking_real,2,3,12.07,82.84,56.3,1,1,0,0,0,
1779140864.012,C2,S4_walking_real,2,4,12.13,82.47,61.1,0,0,0,0,0,
1779140864.095,C2,S4_walking_real,2,5,12.14,82.4,54.8,0,0,0,0,0,
1779140864.178,C2,S4_walking_real,2,6,12.11,82.58,60.6,0,0,0,0,0,
1779140864.262,C2,S4_walking_real,2,7,12.16,82.2,56.2,0,0,0,0,0,
1779140864.348,C2,S4_walking_real,2,8,11.9,84.01,58.3,0,0,0,0,0,
1779140864.432,C2,S4_walking_real,2,9,12.04,83.03,61.8,1,1,1,0,0,
1779140864.516,C2,S4_walking_real,2,10,12.11,82.57,57.1,1,1,0,0,0,
1779140864.6,C2,S4_walking_real,2,11,12.09,82.69,58.8,0,0,0,0,0,
1779140864.685,C2,S4_walking_real,2,12,12.0,83.34,60.0,1,1,0,0,0,
1779140864.769,C2,S4_walking_real,2,13,12.07,82.88,61.1,0,0,0,0,0,
1779140864.853,C2,S4_walking_real,2,14,12.09,82.71,57.6,0,0,0,0,0,
1779140864.937,C2,S4_walking_real,2,15,12.08,82.77,57.6,0,0,0,0,0,
1779140865.021,C2,S4_walking_real,2,16,12.04,83.03,60.6,0,0,0,0,0,
1779140865.106,C2,S4_walking_real,2,17,11.93,83.8,54.8,1,1,1,0,0,
1779140865.19,C2,S4_walking_real,2,18,12.1,82.65,56.2,0,0,0,0,0,
1779140865.275,C2,S4_walking_real,2,19,12.02,83.22,57.6,1,1,1,0,0,
1779140865.361,C2,S4_walking_real,2,20,11.75,85.08,54.5,0,0,0,0,0,
1779140865.445,C2,S4_walking_real,2,21,12.05,82.99,58.8,0,0,0,0,0,
1779140865.53,C2,S4_walking_real,2,22,12.08,82.78,56.3,0,0,0,0,0,
1779140865.614,C2,S4_walking_real,2,23,12.08,82.79,54.8,0,0,0,0,0,
1779140865.698,C2,S4_walking_real,2,24,11.96,83.64,56.2,0,0,0,0,0,
1779140865.783,C2,S4_walking_real,2,25,11.96,83.62,57.6,0,0,0,0,0,
1779140865.868,C2,S4_walking_real,2,26,11.9,84.02,60.0,0,0,0,0,0,
1779140865.954,C2,S4_walking_real,2,27,11.88,84.18,60.0,0,0,0,0,0,
1779140866.039,C2,S4_walking_real,2,28,11.89,84.12,58.8,0,0,0,0,0,
1779140866.125,C2,S4_walking_real,2,29,11.89,84.12,61.1,0,0,0,0,0,
1779140866.209,C2,S4_walking_real,2,30,11.94,83.71,61.1,0,0,0,0,0,
1779140866.295,C2,S4_walking_real,2,31,11.91,83.94,56.2,0,0,0,0,0,
1779140866.382,C2,S4_walking_real,2,32,11.67,85.7,58.3,0,0,0,0,0,
1779140866.467,C2,S4_walking_real,2,33,11.9,84.04,58.8,0,0,0,0,0,
1779140866.553,C2,S4_walking_real,2,34,11.9,84.06,61.1,0,0,0,0,0,
1779140866.637,C2,S4_walking_real,2,35,11.94,83.73,61.1,0,0,0,0,0,
1779140866.723,C2,S4_walking_real,2,36,11.93,83.82,56.2,0,0,0,0,0,
1779140866.815,C2,S4_walking_real,2,37,10.94,91.39,61.8,0,0,0,0,0,
1779140866.901,C2,S4_walking_real,2,38,11.9,84.04,58.3,0,0,0,0,0,
1779140866.986,C2,S4_walking_real,2,39,11.86,84.35,58.8,0,0,0,0,0,
1779140867.072,C2,S4_walking_real,2,40,11.83,84.5,54.8,0,0,0,0,0,
