timestamp,phase,scenario,run_id,frame,fps_instant,latency_ms,cpu_percent,detections_count,raw_messages,filtered_messages,decision_messages,mean_priority_score,final_messages,raw_decision_messages
1779289515.353,C3,S4_walking_real_safe_true,1,59,11.98,83.49,58.8,0,0,0,0,0,,0
1779289515.439,C3,S4_walking_real_safe_true,1,60,11.96,83.59,62.2,1,1,1,0,0,,0
1779289515.525,C3,S4_walking_real_safe_true,1,61,11.81,84.68,58.8,0,0,0,0,0,,0
1779289515.609,C3,S4_walking_real_safe_true,1,62,12.01,83.25,57.6,0,0,0,0,0,,0
1779289515.694,C3,S4_walking_real_safe_true,1,63,11.98,83.46,60.0,0,0,0,0,0,,0
1779289515.779,C3,S4_walking_real_safe_true,1,64,11.97,83.51,61.1,0,0,0,0,0,,0
1779289515.863,C3,S4_walking_real_safe_true,1,65,12.0,83.31,56.3,0,0,0,0,0,,0
1779289515.948,C3,S4_walking_real_safe_true,1,66,11.96,83.61,56.3,0,0,0,0,0,,0
1779289516.032,C3,S4_walking_real_safe_true,1,67,11.99,83.4,58.8,0,0,0,0,0,,0
1779289516.117,C3,S4_walking_real_safe_true,1,68,12.0,83.31,54.8,0,0,0,0,0,,0
1779289516.202,C3,S4_walking_real_safe_true,1,69,11.99,83.4,60.5,0,0,0,0,0,,0
1779289516.288,C3,S4_walking_real_safe_true,1,70,11.74,85.2,57.6,0,0,0,0,0,,0
1779289516.373,C3,S4_walking_real_safe_true,1,71,11.88,84.18,57.6,0,0,0,0,0,,0
1779289516.458,C3,S4_walking_real_safe_true,1,72,11.98,83.44,60.0,0,0,0,0,0,,0
1779289516.549,C3,S4_walking_real_safe_true,1,73,11.21,89.23,62.9,0,0,0,0,0,,0
1779289516.634,C3,S4_walking_real_safe_true,1,74,11.91,83.97,57.6,1,1,1,0,0,,0
1779289516.719,C3,S4_walking_real_safe_true,1,75,11.91,83.99,61.1,0,0,0,0,0,,0
1779289516.803,C3,S4_walking_real_safe_true,1,76,12.13,82.43,58.8,1,1,0,0,0,,0
1779289516.887,C3,S4_walking_real_safe_true,1,77,12.0,83.34,57.6,0,0,0,0,0,,0
1779289516.973,C3,S4_walking_real_safe_true,1,78,11.97,83.54,60.0,0,0,0,0,0,,0
1779289517.057,C3,S4_walking_real_safe_true,1,79,11.98,83.45,54.8,0,0,0,0,0,,0
1779289517.142,C3,S4_walking_real_safe_true,1,80,11.98,83.5,58.8,0,0,0,0,0,,0
1779289517.228,C3,S4_walking_real_safe_true,1,81,11.77,84.94,58.8,0,0,0,0,0,,0
1779289517.313,C3,S4_walking_real_safe_true,1,82,11.93,83.81,60.0,0,0,0,0,0,,0
1779289517.398,C3,S4_walking_real_safe_true,1,83,11.98,83.45,58.8,0,0,0,0,0,,0
1779289517.483,C3,S4_walking_real_safe_true,1,84,12.01,83.25,60.0,0,0,0,0,0,,0
1779289517.569,C3,S4_walking_real_safe_true,1,85,11.79,84.85,54.8,0,0,0,0,0,,0
1779289517.655,C3,S4_walking_real_safe_true,1,86,11.92,83.9,62.2,1,1,1,0,0,,0
1779289517.74,C3,S4_walking_real_safe_true,1,87,11.95,83.7,54.5,0,0,0,0,0,,0
1779289517.825,C3,S4_walking_real_safe_true,1,88,12.02,83.22,56.3,0,0,0,0,0,,0
1779289517.909,C3,S4_walking_real_safe_true,1,89,12.0,83.31,56.3,0,0,0,0,0,,0
1779289517.994,C3,S4_walking_real_safe_true,1,90,12.0,83.36,60.0,0,0,0,0,0,,0
1779289518.08,C3,S4_walking_real_safe_true,1,91,11.85,84.39,60.0,0,0,0,0,0,,0
1779289518.164,C3,S4_walking_real_safe_true,1,92,11.97,83.56,57.6,0,0,0,0,0,,0
1779289518.25,C3,S4_walking_real_safe_true,1,93,11.83,84.49,58.8,0,0,0,0,0,,0
1779289518.335,C3,S4_walking_real_safe_true,1,94,11.99,83.42,61.1,0,0,0,0,0,,0
1779289518.42,C3,S4_walking_real_safe_true,1,95,11.96,83.59,56.3,0,0,0,0,0,,0
1779289518.505,C3,S4_walking_real_safe_true,1,96,11.97,83.52,56.3,0,0,0,0,0,,0
1779289518.589,C3,S4_walking_real_safe_true,1,97,12.02,83.22,58.8,0,0,0,0,0,,0
1779289518.674,C3,S4_walking_real_safe_true,1,98,12.0,83.36,60.0,0,0,0,0,0,,0
1779289518.759,C3,S4_walking_real_safe_true,1,99,11.95,83.68,56.2,0,0,0,0,0,,0
1779289518.844,C3,S4_walking_real_safe_true,1,100,11.91,83.99,57.6,0,0,0,0,0,,0
1779289518.929,C3,S4_walking_real_safe_true,1,101,11.91,83.95,54.8,0,0,0,0,0,,0
1779289519.013,C3,S4_walking_real_safe_true,1,102,12.16,82.24,56.3,0,0,0,0,0,,0
1779289519.098,C3,S4_walking_real_safe_true,1,103,11.97,83.53,60.0,0,0,0,0,0,,0
1779289519.183,C3,S4_walking_real_safe_true,1,104,12.01,83.29,58.8,0,0,0,0,0,,0
1779289519.27,C3,S4_walking_real_safe_true,1,105,11.65,85.8,57.1,0,0,0,0,0,,0
1779289519.355,C3,S4_walking_real_safe_true,1,106,11.94,83.76,62.2,0,0,0,0,0,,0
1779289519.44,C3,S4_walking_real_safe_true,1,107,11.96,83.63,56.3,0,0,0,0,0,,0
1779289519.525,C3,S4_walking_real_safe_true,1,108,11.97,83.53,56.3,0,0,0,0,0,,0
1779289519.61,C3,S4_walking_real_safe_true,1,109,11.95,83.71,58.8,0,0,0,0,0,,0
1779289519.695,C3,S4_walking_real_safe_true,1,110,11.97,83.57,62.2,0,0,0,0,0,,0
1779289519.779,C3,S4_walking_real_safe_true,1,111,12.0,83.35,56.3,0,0,0,0,0,,0
1779289519.864,C3,S4_walking_real_safe_true,1,112,11.97,83.53,57.6,0,0,0,0,0,,0
1779289519.948,C3,S4_walking_real_safe_true,1,113,11.97,83.53,56.3,0,0,0,0,0,,0
1779289520.033,C3,S4_walking_real_safe_true,1,114,11.98,83.48,54.8,0,0,0,0,0,,0
1779289520.118,C3,S4_walking_real_safe_true,1,115,11.94,83.76,60.0,0,0,0,0,0,,0
1779289520.202,C3,S4_walking_real_safe_true,1,116,12.02,83.2,58.8,0,0,0,0,0,,0
1779289520.288,C3,S4_walking_real_safe_true,1,117,11.75,85.07,58.8,0,0,0,0,0,,0
1779289520.373,C3,S4_walking_real_safe_true,1,118,11.93,83.83,60.0,0,0,0,0,0,,0
1779289520.458,C3,S4_walking_real_safe_true,1,119,12.02,83.19,60.0,0,0,0,0,0,,0
1779289520.544,C3,S4_walking_real_safe_true,1,120,11.91,84.0,57.6,1,1,1,1,0.456,Person on your right,1
1779289520.627,C3,S4_walking_real_safe_true,1,121,12.14,82.36,56.3,1,1,0,0,0,,0
1779289520.712,C3,S4_walking_real_safe_true,1,122,11.96,83.61,60.0,1,1,1,0,0,,1
1779289520.797,C3,S4_walking_real_safe_true,1,123,11.99,83.43,56.3,1,1,0,0,0,,0
1779289520.881,C3,S4_walking_real_safe_true,1,124,12.04,83.08,58.8,2,2,1,0,0,,0
1779289520.966,C3,S4_walking_real_safe_true,1,125,11.99,83.4,60.0,4,4,2,0,0,,0
1779289521.05,C3,S4_walking_real_safe_true,1,126,12.08,82.76,57.6,1,1,1,0,0,,1
1779289521.134,C3,S4_walking_real_safe_true,1,127,12.05,82.98,62.2,1,1,0,0,0,,0
1779289521.223,C3,S4_walking_real_safe_true,1,128,11.42,87.6,57.1,6,6,5,0,0,,2
1779289521.309,C3,S4_walking_real_safe_true,1,129,11.8,84.75,57.6,5,5,2,0,0,,1
1779289521.394,C3,S4_walking_real_safe_true,1,130,11.88,84.15,62.2,4,4,0,0,0,,0
1779289521.48,C3,S4_walking_real_safe_true,1,131,11.93,83.8,57.6,3,3,0,0,0,,0
1779289521.57,C3,S4_walking_real_safe_true,1,132,11.16,89.57,61.8,3,3,1,0,0,,1
1779289521.655,C3,S4_walking_real_safe_true,1,133,11.95,83.7,60.0,6,6,3,0,0,,1
1779289521.74,C3,S4_walking_real_safe_true,1,134,11.91,83.98,60.0,5,5,1,0,0,,1
1779289521.825,C3,S4_walking_real_safe_true,1,135,11.99,83.4,53.3,3,3,1,0,0,,1
1779289521.91,C3,S4_walking_real_safe_true,1,136,11.92,83.88,58.8,3,3,0,0,0,,0
1779289521.994,C3,S4_walking_real_safe_true,1,137,11.94,83.73,61.1,5,5,0,0,0,,0
1779289522.08,C3,S4_walking_real_safe_true,1,138,11.88,84.15,58.8,2,2,0,0,0,,0
1779289522.165,C3,S4_walking_real_safe_true,1,139,11.83,84.5,58.8,3,3,1,0,0,,0
1779289522.252,C3,S4_walking_real_safe_true,1,140,11.66,85.77,59.5,3,3,0,0,0,,0
1779289522.337,C3,S4_walking_real_safe_true,1,141,11.95,83.7,56.3,2,2,0,0,0,,0
1779289522.421,C3,S4_walking_real_safe_true,1,142,11.97,83.52,56.3,2,2,0,0,0,,0
1779289522.506,C3,S4_walking_real_safe_true,1,143,12.0,83.31,62.2,2,2,1,0,0,,0
1779289522.592,C3,S4_walking_real_safe_true,1,144,11.81,84.68,62.9,1,1,0,0,0,,0
1779289522.676,C3,S4_walking_real_safe_true,1,145,11.97,83.54,56.3,1,1,0,0,0,,0
1779289522.761,C3,S4_walking_real_safe_true,1,146,11.99,83.43,53.3,1,1,0,0,0,,0
1779289522.845,C3,S4_walking_real_safe_true,1,147,12.04,83.07,61.1,1,1,0,0,0,,0
1779289522.93,C3,S4_walking_real_safe_true,1,148,11.98,83.48,58.8,2,2,0,0,0,,0
1779289523.014,C3,S4_walking_real_safe_true,1,149,12.0,83.33,61.1,2,2,0,0,0,,0
1779289523.099,C3,S4_walking_real_safe_true,1,150,11.95,83.67,61.1,2,2,0,0,0,,0
1779289523.185,C3,S4_walking_real_safe_true,1,151,11.85,84.41,54.8,2,2,0,0,0,,0
1779289523.27,C3,S4_walking_real_safe_true,1,152,11.78,84.9,57.6,2,2,1,0,0,,0
1779289523.355,C3,S4_walking_real_safe_true,1,153,12.0,83.35,60.0,2,2,0,0,0,,0
1779289523.439,C3,S4_walking_real_safe_true,1,154,11.99,83.39,56.3,1,1,0,0,0,,0
1779289523.525,C3,S4_walking_real_safe_true,1,155,11.94,83.75,57.6,1,1,1,0,0,,0
1779289523.61,C3,S4_walking_real_safe_true,1,156,11.93,83.82,58.3,1,1,0,0,0,,0
1779289523.695,C3,S4_walking_real_safe_true,1,157,11.92,83.87,64.9,1,1,0,0,0,,0
1779289523.78,C3,S4_walking_real_safe_true,1,158,11.94,83.75,58.3,1,1,0,0,0,,0
1779289523.865,C3,S4_walking_real_safe_true,1,159,11.95,83.67,56.3,1,1,0,0,0,,0
1779289523.95,C3,S4_walking_real_safe_true,1,160,11.91,83.94,60.0,1,1,0,0,0,,0
1779289524.035,C3,S4_walking_real_safe_true,1,161,11.93,83.84,62.2,2,2,1,0,0,,0
1779289524.12,C3,S4_walking_real_safe_true,1,162,11.85,84.36,58.8,1,1,0,0,0,,0
1779289524.205,C3,S4_walking_real_safe_true,1,163,11.96,83.6,56.3,1,1,0,0,0,,0
1779289524.291,C3,S4_walking_real_safe_true,1,164,11.89,84.09,61.1,1,1,0,0,0,,0
1779289524.375,C3,S4_walking_real_safe_true,1,165,11.98,83.49,58.8,1,1,0,0,0,,0
1779289524.46,C3,S4_walking_real_safe_true,1,166,11.95,83.68,58.8,1,1,0,0,0,,0
1779289524.545,C3,S4_walking_real_safe_true,1,167,11.93,83.81,54.8,1,1,0,0,0,,0
1779289524.63,C3,S4_walking_real_safe_true,1,168,11.98,83.48,61.1,1,1,0,0,0,,0
1779289524.715,C3,S4_walking_real_safe_true,1,169,11.93,83.82,60.0,1,1,0,0,0,,0
1779289524.8,C3,S4_walking_real_safe_true,1,170,11.95,83.68,54.8,1,1,0,0,0,,0
