timestamp,model,scenario,run_id,frame,imgsz,fps_instant,latency_ms,cpu_percent,detections_count
1779316739.293,yolo11n,S4_walking_real,1,76,640,3.43,291.86,50.4,2
1779316739.59,yolo11n,S4_walking_real,1,77,640,3.38,295.51,52.5,2
1779316739.884,yolo11n,S4_walking_real,1,78,640,3.42,292.58,53.7,2
1779316740.178,yolo11n,S4_walking_real,1,79,640,3.4,293.78,48.6,1
1779316740.474,yolo11n,S4_walking_real,1,80,640,3.4,294.11,52.1,1
1779316740.769,yolo11n,S4_walking_real,1,81,640,3.4,294.06,52.1,1
1779316741.063,yolo11n,S4_walking_real,1,82,640,3.41,293.1,50.9,1
1779316741.358,yolo11n,S4_walking_real,1,83,640,3.41,293.53,50.9,1
1779316741.651,yolo11n,S4_walking_real,1,84,640,3.42,292.67,52.5,2
1779316741.947,yolo11n,S4_walking_real,1,85,640,3.39,294.56,49.6,2
1779316742.243,yolo11n,S4_walking_real,1,86,640,3.4,294.41,50.0,1
1779316742.538,yolo11n,S4_walking_real,1,87,640,3.4,294.29,50.9,1
1779316742.832,yolo11n,S4_walking_real,1,88,640,3.42,292.64,52.5,2
1779316743.126,yolo11n,S4_walking_real,1,89,640,3.41,292.85,50.4,1
1779316743.421,yolo11n,S4_walking_real,1,90,640,3.41,293.56,53.3,1
1779316743.715,yolo11n,S4_walking_real,1,91,640,3.41,293.27,51.3,0
1779316744.009,yolo11n,S4_walking_real,1,92,640,3.42,292.8,51.3,0
1779316744.304,yolo11n,S4_walking_real,1,93,640,3.4,294.38,49.6,0
1779316744.603,yolo11n,S4_walking_real,1,94,640,3.36,297.79,54.5,1
1779316744.897,yolo11n,S4_walking_real,1,95,640,3.42,292.49,51.3,0
1779316745.189,yolo11n,S4_walking_real,1,96,640,3.43,291.67,50.0,0
1779316745.521,yolo11n,S4_walking_real,1,97,640,3.02,330.88,50.7,1
1779316745.817,yolo11n,S4_walking_real,1,98,640,3.4,293.86,53.3,1
1779316746.11,yolo11n,S4_walking_real,1,99,640,3.42,292.23,50.0,2
1779316746.404,yolo11n,S4_walking_real,1,100,640,3.41,293.48,52.9,0
1779316746.698,yolo11n,S4_walking_real,1,101,640,3.41,293.16,49.1,0
1779316746.994,yolo11n,S4_walking_real,1,102,640,3.4,294.23,48.2,0
