frame,time_s,latency_ms,fps,cpu_percent,ram_percent,temperature_c,detections
0,0.0,162.25,6.16,5.5,16.4,40.6,1
1,1.343,105.2,9.51,54.8,16.4,41.7,1
2,1.451,107.02,9.34,57.8,16.4,42.8,1
3,1.561,109.56,9.13,56.8,16.4,42.8,1
4,1.673,104.87,9.54,57.8,16.4,42.8,1
5,1.781,104.78,9.54,57.8,16.4,42.8,1
6,1.888,105.02,9.52,56.8,16.4,42.2,1
7,1.996,104.78,9.54,55.8,16.4,42.8,1
8,2.103,105.08,9.52,55.8,16.4,43.9,1
9,2.211,105.1,9.51,54.8,16.4,43.9,1
10,2.319,105.15,9.51,53.7,16.4,43.9,1
11,2.427,105.45,9.48,54.8,16.4,43.9,1
12,2.535,105.9,9.44,59.1,16.4,43.3,1
13,2.644,105.02,9.52,56.8,16.4,43.3,1
14,2.751,105.08,9.52,55.8,16.4,43.9,1
15,2.859,104.85,9.54,54.8,16.4,44.4,1
16,2.967,104.9,9.53,55.8,16.4,45.0,1
17,3.074,104.77,9.54,57.8,16.4,43.9,1
18,3.182,105.14,9.51,56.8,16.4,43.3,1
19,3.29,105.13,9.51,55.8,16.4,45.5,1
20,3.397,105.09,9.52,52.5,16.4,44.4,1
21,3.505,106.53,9.39,55.8,16.4,45.5,1
22,3.614,105.34,9.49,56.1,16.4,45.0,1
23,3.723,105.36,9.49,57.8,16.4,46.1,1
24,3.831,105.06,9.52,58.7,16.4,45.5,1
25,3.938,105.51,9.48,58.7,16.4,45.5,1
26,4.046,105.18,9.51,56.8,16.4,45.5,1
27,4.154,105.56,9.47,57.8,16.4,46.1,1
28,4.263,105.12,9.51,57.8,16.4,46.1,1
29,4.37,105.17,9.51,56.8,16.4,46.1,1
30,4.478,106.61,9.38,57.8,16.4,46.1,1
31,4.588,106.15,9.42,58.1,16.4,46.6,1
32,4.696,105.7,9.46,55.8,16.4,45.5,1
33,4.805,105.52,9.48,52.5,16.4,46.6,1
34,4.913,105.47,9.48,52.5,16.4,47.2,1
35,5.021,105.14,9.51,52.5,16.4,46.6,1
36,5.129,105.73,9.46,55.8,16.4,47.7,1
37,5.238,105.28,9.5,54.8,16.4,47.2,1
38,5.345,105.88,9.44,57.8,16.4,47.2,1
39,5.454,106.91,9.35,57.8,16.4,46.1,1
40,5.564,113.23,8.83,60.4,16.4,46.6,1
41,5.68,105.76,9.45,52.5,16.4,47.2,1
42,5.788,105.75,9.46,53.7,16.4,47.2,1
43,5.897,105.3,9.5,56.8,16.4,46.6,1
44,6.005,105.27,9.5,57.8,16.4,47.2,1
45,6.113,104.65,9.56,55.0,16.4,47.7,1
46,6.22,104.53,9.57,55.8,16.4,46.6,1
47,6.327,104.65,9.56,53.7,16.4,47.2,1
48,6.434,104.58,9.56,57.8,16.4,47.7,1
49,6.542,107.56,9.3,60.4,16.4,47.7,1
50,6.652,104.78,9.54,58.1,16.4,47.7,1
51,6.76,105.27,9.5,58.7,16.4,47.7,1
52,6.868,104.55,9.57,56.8,16.4,48.8,1
