frame,time_s,latency_ms,fps,cpu_percent,ram_percent,temperature_c,detections
112,14.299,114.37,8.74,48.9,16.2,49.9,1
113,14.416,114.23,8.75,48.9,16.2,51.6,1
114,14.533,114.57,8.73,51.1,16.2,51.0,1
115,14.65,113.73,8.79,54.0,16.2,50.5,1
116,14.767,114.45,8.74,45.2,16.2,51.0,1
117,14.884,114.26,8.75,47.7,16.2,51.0,1
118,15.001,114.38,8.74,50.0,16.2,51.6,1
119,15.118,113.85,8.78,56.0,16.1,51.0,1
120,15.236,115.28,8.67,46.7,16.1,51.0,1
121,15.354,114.52,8.73,46.5,16.1,51.0,1
122,15.471,114.53,8.73,50.0,16.1,52.1,1
123,15.589,114.07,8.77,53.1,16.1,50.5,1
124,15.705,114.39,8.74,52.1,16.1,49.9,1
125,15.822,114.14,8.76,46.5,16.1,51.0,1
126,15.939,114.13,8.76,50.0,16.1,51.6,1
127,16.056,114.02,8.77,50.0,16.1,50.5,1
128,16.173,115.06,8.69,51.1,16.1,51.0,1
129,16.291,114.73,8.72,47.6,16.1,51.6,1
130,16.408,114.81,8.71,51.1,16.1,51.6,1
131,16.526,119.65,8.36,56.0,16.1,49.9,1
132,16.648,114.19,8.76,48.9,16.2,51.6,1
133,16.765,114.77,8.71,51.1,16.2,52.1,1
134,16.882,113.87,8.78,52.1,16.2,51.0,1
135,16.999,113.83,8.79,43.6,16.2,52.1,1
136,17.116,113.76,8.79,51.1,16.1,51.0,1
137,17.232,114.54,8.73,50.0,16.1,51.6,1
138,17.352,114.27,8.75,45.5,16.1,51.0,1
139,17.469,113.91,8.78,53.1,16.1,51.6,1
140,17.585,116.11,8.61,51.1,16.1,51.6,1
141,17.704,114.51,8.73,53.1,16.1,51.6,1
142,17.821,114.61,8.73,54.0,16.1,51.6,1
143,17.939,113.55,8.81,48.9,16.1,51.6,1
144,18.055,114.31,8.75,48.9,16.1,51.6,1
145,18.172,115.42,8.66,48.9,16.1,52.1,1
146,18.29,113.92,8.78,55.1,16.1,51.6,1
147,18.407,114.92,8.7,50.0,16.1,52.1,1
148,18.524,114.24,8.75,50.0,16.1,51.6,1
149,18.641,114.29,8.75,53.1,16.1,51.6,1
150,18.758,114.0,8.77,50.0,16.1,51.6,1
151,18.875,114.31,8.75,54.2,16.1,52.1,1
152,18.992,114.12,8.76,51.1,16.1,51.0,1
153,19.109,114.25,8.75,53.1,16.1,51.0,1
154,19.226,114.35,8.75,47.7,16.1,51.6,1
155,19.343,114.34,8.75,48.9,16.1,52.7,1
156,19.46,114.18,8.76,51.1,16.1,52.7,1
157,19.577,114.32,8.75,51.1,16.1,52.7,1
158,19.694,114.22,8.76,54.0,16.1,52.7,1
159,19.811,114.3,8.75,51.1,16.1,52.7,1
160,19.928,114.18,8.76,51.1,16.1,52.7,1
161,20.045,115.59,8.65,53.1,16.1,51.6,1
162,20.163,115.19,8.68,51.1,16.1,52.7,1
163,20.282,113.97,8.77,53.1,16.1,51.6,1
164,20.399,114.4,8.74,51.1,16.1,52.7,2
165,20.516,114.43,8.74,53.1,16.1,52.7,1
166,20.633,114.38,8.74,54.0,16.1,52.1,1
167,20.75,113.95,8.78,54.2,16.1,52.1,1
168,20.867,113.76,8.79,47.7,16.1,52.1,1
169,20.983,114.18,8.76,52.1,16.1,52.1,1
170,21.1,114.0,8.77,51.1,16.1,51.6,1
171,21.217,116.7,8.57,54.9,16.0,52.1,1
172,21.338,114.6,8.73,54.9,16.0,51.6,1
173,21.455,114.57,8.73,50.0,16.0,52.1,1
174,21.572,118.69,8.43,58.0,16.1,52.7,1
175,21.694,114.3,8.75,54.0,16.1,51.6,1
176,21.811,114.09,8.76,46.5,16.1,52.1,1
177,21.927,114.14,8.76,53.1,16.1,53.2,1
178,22.044,113.98,8.77,50.0,16.1,52.1,1
179,22.161,115.39,8.67,53.1,16.0,52.1,1
180,22.279,114.0,8.77,51.1,16.0,52.1,1
181,22.396,114.47,8.74,54.2,16.0,51.6,1
182,22.513,114.81,8.71,52.1,16.0,52.1,1
183,22.631,115.38,8.67,48.9,16.0,52.1,1
184,22.749,114.17,8.76,51.1,16.0,52.7,1
185,22.866,114.29,8.75,55.8,16.0,52.7,1
186,22.983,113.95,8.78,45.2,16.0,52.7,1
187,23.099,113.74,8.79,52.2,16.0,52.7,1
188,23.216,115.75,8.64,51.1,16.0,52.7,1
189,23.334,113.71,8.79,51.1,16.0,53.2,1
190,23.451,113.82,8.79,45.2,16.0,52.7,1
191,23.567,114.8,8.71,48.9,16.0,52.7,1
192,23.685,114.11,8.76,51.1,16.0,52.7,1
193,23.802,114.47,8.74,55.8,16.0,53.2,1
194,23.919,114.39,8.74,50.0,16.0,51.6,1
195,24.036,114.66,8.72,52.1,16.0,53.8,1
196,24.153,114.85,8.71,54.9,16.0,52.7,1
197,24.271,114.15,8.76,51.1,16.0,52.1,2
198,24.388,114.35,8.74,47.7,16.0,52.7,2
199,24.505,114.53,8.73,51.1,16.0,53.2,2
200,24.622,114.56,8.73,53.1,16.0,53.2,2
201,24.739,114.63,8.72,47.7,16.0,53.2,2
202,24.857,115.08,8.69,54.9,16.0,52.7,1
203,24.974,114.45,8.74,51.1,16.0,53.2,2
204,25.092,114.76,8.71,50.0,16.0,53.2,1
205,25.209,115.76,8.64,52.1,16.0,53.8,1
206,25.328,114.23,8.75,50.0,16.0,52.7,2
207,25.445,114.77,8.71,51.1,16.0,53.2,2
208,25.562,114.65,8.72,53.1,16.0,52.7,2
209,25.679,114.39,8.74,53.1,16.0,53.2,2
210,25.797,114.1,8.76,50.0,16.0,53.8,2
211,25.913,115.79,8.64,54.9,16.0,53.2,2
212,26.032,114.38,8.74,45.2,16.0,52.1,2
213,26.149,114.8,8.71,48.9,16.0,53.8,2
214,26.267,114.34,8.75,46.5,16.0,53.2,2
215,26.384,114.22,8.75,52.2,16.0,53.2,2
216,26.501,117.87,8.48,53.1,16.0,53.8,2
217,26.621,116.88,8.56,48.9,16.0,52.1,1
218,26.741,113.67,8.8,53.2,16.0,53.8,1
219,26.857,113.21,8.83,48.9,16.0,53.2,1
220,26.973,113.51,8.81,51.1,16.0,53.2,1
221,27.089,114.17,8.76,55.8,16.0,52.7,1
222,27.206,115.05,8.69,51.1,16.0,53.8,1
223,27.324,113.73,8.79,46.5,16.0,54.3,1
224,27.441,113.3,8.83,50.0,16.0,53.8,1
225,27.557,114.36,8.74,54.2,16.0,53.8,1
226,27.674,114.14,8.76,54.0,16.0,53.8,2
227,27.79,113.51,8.81,54.0,16.0,53.8,2
228,27.907,113.27,8.83,45.2,16.0,53.2,2
229,28.023,113.38,8.82,46.3,16.0,54.3,2
230,28.139,113.36,8.82,46.5,16.0,53.8,2
231,28.255,114.07,8.77,50.0,16.0,53.8,2
232,28.372,113.5,8.81,53.2,16.0,54.3,2
233,28.488,113.9,8.78,47.7,16.0,53.8,1
234,28.605,113.2,8.83,51.1,16.0,53.8,1
235,28.721,113.41,8.82,52.1,16.0,53.2,1
236,28.837,113.5,8.81,51.1,16.0,52.7,1
237,28.953,113.65,8.8,51.1,16.0,53.8,1
