frame,timestamp,fps,latency_ms,cpu_percent,detections_count,labels
184,1778952064.41,11.77,84.22,54.8,2,"person,person"
185,1778952064.5,10.93,90.85,58.3,3,"person,chair,person"
186,1778952064.59,11.56,85.76,61.1,2,"person,person"
187,1778952064.67,11.68,84.96,56.3,2,"person,person"
188,1778952064.76,11.6,85.45,61.1,2,"person,person"
189,1778952064.84,11.64,85.2,58.8,2,"person,person"
190,1778952064.93,11.36,87.26,61.1,2,"person,person"
191,1778952065.02,11.12,89.25,57.1,2,"person,person"
192,1778952065.11,11.56,85.76,61.1,2,"person,person"
193,1778952065.19,11.73,84.49,56.7,2,"person,person"
194,1778952065.28,11.66,85.05,62.2,3,"person,person,chair"
195,1778952065.37,11.67,84.99,57.6,2,"person,chair"
196,1778952065.45,11.62,85.38,57.6,2,"person,chair"
197,1778952065.54,11.67,84.98,57.6,2,"person,chair"
198,1778952065.63,11.48,86.32,59.5,2,"person,chair"
199,1778952065.71,11.5,86.2,58.8,2,"person,chair"
200,1778952065.8,11.46,86.49,54.8,2,"person,chair"
201,1778952065.89,11.61,85.4,58.8,1,person
202,1778952065.97,11.7,84.74,63.2,1,person
203,1778952066.06,11.46,86.56,56.3,1,person
204,1778952066.15,11.57,85.64,58.8,1,person
205,1778952066.23,11.62,85.34,60.5,1,person
206,1778952066.32,11.66,85.06,60.0,1,person
207,1778952066.41,11.7,84.76,62.2,1,person
208,1778952066.49,11.61,85.42,58.8,1,person
209,1778952066.58,11.39,87.08,61.1,1,person
210,1778952066.67,11.61,85.38,62.2,1,person
211,1778952066.75,11.63,85.28,56.2,2,"person,chair"
212,1778952066.84,11.52,86.13,61.1,2,"person,chair"
213,1778952066.92,11.73,84.53,58.8,2,"person,chair"
214,1778952067.01,11.47,86.47,56.2,2,"person,chair"
215,1778952067.1,11.6,85.47,60.0,2,"person,chair"
216,1778952067.18,11.78,84.15,58.8,2,"person,chair"
217,1778952067.27,11.54,85.97,61.1,2,"person,chair"
218,1778952067.36,11.82,83.87,54.8,2,"person,chair"
219,1778952067.44,11.71,84.7,60.0,2,"person,chair"
220,1778952067.53,11.62,85.33,58.8,2,"person,chair"
221,1778952067.61,11.63,85.24,60.0,2,"person,chair"
222,1778952067.7,11.47,86.41,54.8,2,"person,chair"
223,1778952067.79,11.49,86.33,60.0,2,"person,chair"
224,1778952067.87,11.63,85.18,60.0,1,person
225,1778952067.96,11.63,85.34,53.3,1,person
226,1778952068.05,11.22,88.31,57.1,2,"person,chair"
227,1778952068.14,11.68,84.9,56.2,2,"person,chair"
228,1778952068.22,11.58,85.64,63.9,2,"person,chair"
229,1778952068.31,11.63,85.3,54.5,2,"person,chair"
230,1778952068.4,11.43,86.7,56.2,2,"person,chair"
231,1778952068.48,11.68,84.95,57.6,2,"person,chair"
232,1778952068.57,11.69,84.8,56.3,2,"person,chair"
233,1778952068.65,11.62,85.33,61.1,2,"person,chair"
234,1778952068.74,11.59,85.56,57.6,2,"person,chair"
235,1778952068.83,11.47,86.48,60.0,2,"person,chair"
236,1778952068.92,11.38,87.08,56.3,2,"person,chair"
237,1778952069.01,10.63,93.36,63.9,1,person
238,1778952069.1,11.45,86.38,61.1,2,"person,chair"
239,1778952069.19,11.49,86.31,56.2,2,"person,chair"
240,1778952069.27,11.48,86.31,57.6,2,"person,bottle"
241,1778952069.36,11.54,85.97,54.5,2,"person,person"
242,1778952069.45,11.69,84.85,63.9,2,"person,bottle"
243,1778952069.53,11.65,85.08,57.6,1,person
244,1778952069.62,11.43,86.75,59.5,3,"person,person,bottle"
245,1778952069.71,11.45,86.58,61.1,3,"person,person,bottle"
246,1778952069.79,11.58,85.6,61.1,3,"person,bottle,person"
247,1778952069.88,11.5,86.24,54.8,3,"person,bottle,person"
248,1778952069.97,11.44,86.69,61.1,3,"person,bottle,person"
249,1778952070.06,10.95,90.61,62.2,3,"person,bottle,person"
250,1778952070.15,11.5,86.2,59.5,3,"person,bottle,person"
251,1778952070.23,11.64,85.2,61.1,4,"person,bottle,person,bottle"
252,1778952070.32,11.56,85.77,57.6,4,"person,bottle,person,bottle"
253,1778952070.41,11.57,85.7,61.1,5,"person,bottle,person,bottle,bottle"
