frame,time_s,latency_ms,fps,cpu_percent,ram_percent,temperature_c,detections
0,0.0,475.17,2.1,12.2,17.2,42.2,1
1,1.682,421.49,2.37,45.3,17.6,42.2,1
2,2.108,424.6,2.36,45.0,17.9,42.2,1
3,2.537,420.44,2.38,43.7,18.3,43.9,1
4,2.962,420.77,2.38,45.6,18.2,44.4,1
5,3.387,421.07,2.37,45.3,18.2,45.0,1
6,3.813,422.0,2.37,43.0,17.9,44.4,1
7,4.24,421.28,2.37,44.4,18.0,45.5,1
8,4.666,421.18,2.37,45.0,17.8,46.1,1
9,5.091,421.6,2.37,43.4,17.7,46.1,2
10,5.518,420.21,2.38,43.0,17.7,46.6,1
11,5.942,428.14,2.34,46.8,17.5,46.1,1
12,6.375,420.46,2.38,44.6,17.6,47.2,1
13,6.8,422.44,2.37,44.0,17.3,47.7,1
14,7.227,421.8,2.37,45.6,17.4,47.7,1
15,7.654,421.93,2.37,44.0,17.3,47.2,1
16,8.08,422.74,2.37,44.7,17.2,48.3,1
17,8.507,419.96,2.38,45.0,17.3,48.3,1
18,8.932,422.67,2.37,46.2,17.1,48.3,1
19,9.359,422.11,2.37,44.4,17.1,48.3,1
20,9.786,421.63,2.37,45.0,17.0,48.3,1
21,10.212,422.1,2.37,44.0,17.0,47.7,1
22,10.74,425.25,2.35,36.8,16.8,49.4,1
23,11.17,421.16,2.37,45.3,16.9,48.3,1
24,11.596,420.98,2.38,45.0,16.8,49.4,1
25,12.021,425.42,2.35,43.4,16.9,49.4,1
26,12.451,423.73,2.36,45.3,16.8,49.9,1
27,12.879,422.98,2.36,44.4,16.7,49.4,1
28,13.307,422.79,2.37,44.4,16.8,49.9,1
29,13.734,425.5,2.35,45.3,16.7,48.8,1
30,14.165,422.26,2.37,43.4,16.7,49.9,1
31,14.591,424.2,2.36,45.3,16.7,50.5,1
32,15.02,422.79,2.37,43.7,16.7,50.5,1
33,15.448,423.32,2.36,46.6,16.7,49.9,1
34,15.876,427.34,2.34,46.8,16.6,49.9,1
35,16.307,423.25,2.36,44.7,16.7,51.0,1
36,16.735,424.55,2.36,46.3,16.6,50.5,1
37,17.164,423.13,2.36,45.9,16.7,49.9,1
38,17.592,423.16,2.36,45.3,16.7,51.0,1
39,18.02,423.65,2.36,45.0,16.6,51.0,1
40,18.448,422.81,2.37,44.7,16.6,51.6,1
41,18.876,424.26,2.36,45.7,16.6,50.5,1
42,19.305,423.56,2.36,44.7,16.7,52.1,1
43,19.733,424.38,2.36,43.0,16.6,51.6,1
44,20.162,425.17,2.35,44.4,16.7,51.6,1
45,20.592,424.4,2.36,45.0,16.6,51.6,1
46,21.021,429.31,2.33,44.6,16.6,52.1,1
47,21.455,425.34,2.35,46.0,16.7,51.6,1
48,21.885,426.71,2.34,45.0,16.6,52.1,1
49,22.316,425.58,2.35,44.8,16.6,51.0,1
50,22.746,422.1,2.37,45.9,16.5,52.1,1
51,23.173,424.01,2.36,43.4,16.6,50.5,1
52,23.602,422.67,2.37,43.7,16.6,52.1,1
53,24.029,425.33,2.35,45.1,16.6,52.7,1
54,24.459,423.45,2.36,44.0,16.6,52.1,1
55,24.887,424.6,2.36,45.3,16.6,52.1,1
56,25.316,423.64,2.36,45.3,16.6,51.6,1
57,25.744,428.8,2.33,45.0,16.5,52.1,1
58,26.178,423.39,2.36,44.0,16.6,52.7,1
59,26.606,421.75,2.37,44.4,16.6,52.1,1
60,27.032,426.15,2.35,46.0,16.5,52.1,1
61,27.463,425.17,2.35,45.7,16.6,52.1,1
