frame,time_s,latency_ms,fps,cpu_percent,ram_percent,temperature_c,detections
112,22.128,190.2,5.26,44.4,16.2,51.6,1
113,22.321,191.31,5.23,48.1,16.2,51.6,2
114,22.516,192.58,5.19,48.7,16.2,52.1,2
115,22.711,188.68,5.3,46.1,16.2,51.6,1
116,22.903,189.19,5.29,48.8,16.2,52.1,1
117,23.095,189.2,5.29,45.9,16.2,52.1,1
118,23.287,189.75,5.27,43.8,16.2,52.1,1
119,23.481,191.0,5.24,48.1,16.2,52.7,1
120,23.675,189.45,5.28,46.8,16.2,52.1,1
121,23.868,190.07,5.26,46.7,16.2,52.7,1
122,24.061,189.55,5.28,46.1,16.2,52.7,1
123,24.253,189.51,5.28,48.1,16.1,52.1,1
124,24.446,191.54,5.22,47.4,16.1,52.1,1
125,24.64,189.26,5.28,44.4,16.1,52.1,1
126,24.833,189.0,5.29,47.4,16.1,52.7,1
127,25.025,189.65,5.27,46.1,16.1,53.2,1
128,25.217,189.99,5.26,49.4,16.1,53.2,1
129,25.41,190.78,5.24,47.4,16.1,52.1,1
130,25.604,190.98,5.24,47.4,16.1,53.2,1
131,25.798,188.72,5.3,50.6,16.1,52.1,1
132,25.99,188.84,5.3,47.4,16.1,52.1,1
133,26.182,188.21,5.31,46.1,16.1,52.7,1
134,26.373,189.98,5.26,50.0,16.1,52.7,1
135,26.566,193.36,5.17,51.3,16.1,52.1,1
136,26.762,189.2,5.29,50.0,16.1,52.1,1
137,26.954,188.29,5.31,49.4,16.1,52.7,1
138,27.146,188.39,5.31,46.1,16.1,52.1,1
139,27.337,188.49,5.31,48.7,16.1,52.7,1
140,27.528,191.34,5.23,47.4,16.1,52.7,1
141,27.723,188.45,5.31,50.6,16.1,52.7,1
142,27.914,188.09,5.32,48.1,16.1,52.7,1
143,28.106,188.56,5.3,45.9,16.1,52.1,1
144,28.297,188.93,5.29,46.8,16.1,52.1,1
145,28.489,189.8,5.27,48.1,16.1,52.7,1
146,28.682,188.29,5.31,48.1,16.1,52.7,1
147,28.873,188.56,5.3,50.0,16.1,53.2,1
148,29.065,187.86,5.32,42.0,16.1,52.7,1
149,29.255,188.44,5.31,48.8,16.1,52.7,1
150,29.447,189.29,5.28,48.7,16.1,52.1,1
151,29.639,188.67,5.3,51.2,16.1,53.2,1
152,29.831,188.36,5.31,51.2,16.1,52.7,1
153,30.022,188.09,5.32,45.9,16.1,52.7,1
154,30.213,188.45,5.31,50.0,16.1,52.7,1
155,30.405,189.63,5.27,46.8,16.0,53.2,1
156,30.598,189.11,5.29,49.4,16.0,52.7,1
157,30.79,189.89,5.27,49.4,16.0,54.3,1
