frame,timestamp,fps,latency_ms,cpu_percent,detections_count,labels
86,1778951307.22,11.41,86.9,58.8,3,"bottle,bottle,bowl"
87,1778951307.31,11.46,86.56,57.1,3,"bottle,microwave,bottle"
88,1778951307.4,11.36,87.28,65.8,3,"bottle,bottle,microwave"
89,1778951307.49,11.49,86.31,61.1,3,"bottle,bottle,microwave"
90,1778951307.57,11.56,85.83,58.8,3,"bottle,bottle,microwave"
91,1778951307.66,11.52,86.13,53.1,4,"bottle,microwave,bottle,bowl"
92,1778951307.75,11.49,86.3,58.8,4,"bottle,bowl,microwave,bottle"
93,1778951307.84,11.43,86.82,56.2,4,"bottle,microwave,bottle,bowl"
94,1778951307.92,11.49,86.35,63.2,4,"bottle,microwave,bottle,bowl"
95,1778951308.01,11.5,86.24,61.1,4,"bottle,microwave,bottle,bowl"
96,1778951308.1,11.39,87.09,54.8,4,"bottle,microwave,bowl,bottle"
97,1778951308.19,11.55,85.85,60.0,4,"bottle,microwave,bowl,bottle"
98,1778951308.27,11.44,86.65,57.1,4,"bottle,microwave,bowl,bottle"
99,1778951308.36,11.48,86.43,58.8,4,"bottle,microwave,bowl,bottle"
100,1778951308.45,11.49,86.28,58.8,4,"bottle,microwave,bowl,bottle"
101,1778951308.53,11.53,86.07,62.2,4,"bottle,microwave,bowl,bottle"
102,1778951308.62,11.58,85.59,53.3,4,"bottle,microwave,bowl,bottle"
103,1778951308.71,11.43,86.8,60.0,3,"bottle,bottle,bowl"
104,1778951308.8,11.55,85.86,58.8,4,"bottle,bowl,microwave,bottle"
105,1778951308.88,11.57,85.72,60.0,4,"bottle,bowl,microwave,bottle"
106,1778951308.97,11.55,85.84,54.5,4,"bottle,bowl,microwave,bottle"
107,1778951309.06,11.45,86.67,60.6,3,"bottle,microwave,bowl"
108,1778951309.14,11.44,86.72,60.5,4,"bottle,bottle,microwave,bowl"
109,1778951309.23,11.58,85.68,61.1,4,"bottle,microwave,bottle,bowl"
110,1778951309.32,11.55,85.89,56.3,4,"bottle,microwave,bowl,bottle"
111,1778951309.4,11.52,86.1,57.6,4,"bottle,microwave,bowl,bottle"
112,1778951309.49,11.58,85.66,61.1,4,"bottle,microwave,bowl,bottle"
113,1778951309.58,11.61,85.46,58.8,4,"bottle,microwave,bottle,bowl"
114,1778951309.66,11.51,86.11,60.0,4,"bottle,microwave,bowl,bottle"
115,1778951309.75,11.45,86.63,57.6,4,"bottle,microwave,bowl,bottle"
116,1778951309.84,11.53,85.99,58.3,4,"bottle,microwave,bottle,bowl"
117,1778951309.93,11.49,86.31,62.2,4,"bottle,microwave,bottle,bowl"
118,1778951310.01,11.32,87.59,57.6,4,"bottle,microwave,bowl,bottle"
119,1778951310.1,11.58,85.66,58.8,3,"bottle,microwave,bottle"
120,1778951310.19,11.57,85.68,57.6,3,"bottle,bottle,bowl"
121,1778951310.27,11.67,84.95,61.1,4,"bottle,microwave,bottle,bowl"
122,1778951310.36,11.63,85.3,53.3,2,"bottle,bowl"
123,1778951310.45,11.47,86.37,58.8,4,"bottle,bottle,bowl,microwave"
124,1778951310.53,11.57,85.71,60.0,3,"bottle,microwave,bowl"
125,1778951310.62,11.6,85.48,56.2,4,"bottle,microwave,bottle,bowl"
126,1778951310.71,11.57,85.73,58.8,3,"bottle,bottle,bowl"
127,1778951310.79,11.71,84.74,58.8,3,"bottle,bottle,bowl"
128,1778951310.88,11.46,86.53,58.8,3,"bottle,bottle,microwave"
129,1778951310.97,11.52,86.1,57.6,4,"bottle,microwave,bowl,bottle"
130,1778951311.06,11.36,87.29,57.6,3,"bottle,bottle,bowl"
131,1778951311.14,11.47,86.45,63.2,4,"bottle,bowl,microwave,bottle"
132,1778951311.23,11.66,85.05,61.1,4,"bottle,bowl,bottle,microwave"
133,1778951311.32,11.51,86.14,58.8,4,"bottle,microwave,bowl,bottle"
134,1778951311.41,10.62,93.4,61.1,4,"bottle,bowl,bottle,microwave"
135,1778951311.51,10.01,99.17,55.0,4,"bottle,microwave,bottle,bowl"
136,1778951311.6,11.55,85.82,60.0,4,"bottle,microwave,bowl,bottle"
137,1778951311.68,11.5,86.21,58.8,4,"bottle,microwave,bowl,bottle"
138,1778951311.77,11.49,86.31,60.0,2,"bottle,bowl"
139,1778951311.86,11.61,85.45,62.2,4,"bottle,microwave,bowl,bottle"
140,1778951311.94,11.59,85.6,58.8,3,"bottle,bottle,microwave"
141,1778951312.03,11.36,87.29,61.1,3,"bottle,bottle,bowl"
142,1778951312.12,11.45,86.64,55.9,3,"bottle,bottle,bowl"
143,1778951312.21,11.52,86.09,57.6,4,"bottle,microwave,bottle,bowl"
144,1778951312.29,11.63,85.27,60.0,2,"bottle,bottle"
145,1778951312.38,11.53,86.04,60.0,2,"bottle,bowl"
146,1778951312.47,11.35,87.4,58.8,4,"bottle,microwave,bottle,bowl"
147,1778951312.56,11.48,86.39,56.3,1,bottle
148,1778951312.64,11.51,86.15,57.6,3,"bottle,bowl,bottle"
149,1778951312.73,11.55,85.9,62.2,4,"bottle,microwave,bottle,bowl"
150,1778951312.82,11.54,85.91,58.8,3,"bottle,microwave,bottle"
151,1778951312.9,11.53,85.99,57.1,4,"bottle,microwave,bowl,bottle"
152,1778951312.99,11.49,86.34,61.1,3,"bottle,microwave,bottle"
153,1778951313.08,11.31,87.39,58.8,4,"bottle,bowl,bottle,microwave"
154,1778951313.17,11.51,86.16,60.0,4,"bottle,bottle,microwave,bowl"
155,1778951313.25,11.46,86.56,59.5,4,"bottle,bottle,microwave,bowl"
156,1778951313.34,11.48,86.41,58.8,4,"bottle,microwave,bowl,bottle"
157,1778951313.43,11.53,86.05,54.8,4,"bottle,bottle,bowl,microwave"
158,1778951313.52,11.42,86.84,57.6,4,"bottle,microwave,bowl,bottle"
159,1778951313.61,11.39,87.1,58.3,4,"bottle,microwave,bowl,bottle"
160,1778951313.69,11.43,86.73,62.2,4,"bottle,bottle,microwave,bowl"
161,1778951313.78,11.36,87.3,57.6,4,"bottle,microwave,bowl,bottle"
162,1778951313.87,11.44,86.73,58.8,3,"bottle,bottle,bowl"
163,1778951313.96,11.44,86.75,59.5,3,"bottle,microwave,bottle"
164,1778951314.04,11.34,87.44,58.8,4,"bottle,bottle,microwave,bowl"
165,1778951314.13,11.35,87.45,60.0,3,"bottle,microwave,bottle"
166,1778951314.22,11.41,86.94,61.1,3,"bottle,microwave,bowl"
167,1778951314.31,11.42,86.89,55.9,4,"bottle,bottle,microwave,bowl"
168,1778951314.4,11.36,87.36,58.8,3,"bottle,microwave,bottle"
169,1778951314.48,11.49,86.31,60.0,3,"bottle,microwave,bottle"
170,1778951314.57,11.52,86.13,60.0,4,"bottle,bottle,bowl,microwave"
171,1778951314.66,11.5,86.27,64.1,4,"bottle,microwave,bottle,bowl"
172,1778951314.75,11.48,86.37,57.1,2,"bottle,bowl"
173,1778951314.83,11.51,86.19,58.8,3,"bottle,microwave,bottle"
174,1778951314.92,11.48,86.41,60.0,4,"bottle,microwave,bottle,bowl"
175,1778951315.01,11.38,87.15,62.2,4,"bottle,bottle,bowl,microwave"
176,1778951315.1,11.45,86.64,57.6,4,"bottle,microwave,bottle,bowl"
177,1778951315.18,11.57,85.77,62.2,4,"bottle,microwave,bottle,bowl"
178,1778951315.27,11.64,85.19,53.3,3,"bottle,microwave,bottle"
179,1778951315.36,11.54,85.95,61.1,4,"bottle,microwave,bottle,bowl"
180,1778951315.44,11.51,86.21,59.5,4,"bottle,microwave,bowl,bottle"
181,1778951315.53,11.48,86.45,58.8,4,"bottle,microwave,bowl,bottle"
182,1778951315.62,11.57,85.69,56.3,3,"bottle,bottle,microwave"
183,1778951315.7,11.47,86.45,57.6,3,"bottle,microwave,bottle"
184,1778951315.79,11.54,85.93,61.1,4,"bottle,microwave,bottle,bowl"
185,1778951315.88,11.46,86.55,61.5,4,"bottle,bottle,microwave,bowl"
186,1778951315.97,11.49,86.33,57.6,4,"bottle,microwave,bottle,bowl"
187,1778951316.05,11.35,87.39,57.6,4,"bottle,microwave,bottle,bowl"
188,1778951316.14,11.52,86.09,58.8,3,"bottle,bottle,microwave"
189,1778951316.23,11.41,86.97,61.1,4,"bottle,microwave,bottle,bowl"
190,1778951316.32,11.42,86.82,58.3,4,"bottle,microwave,bowl,bottle"
191,1778951316.41,10.44,95.04,64.9,4,"bottle,microwave,bottle,bowl"
192,1778951316.5,11.4,87.01,58.3,4,"bottle,microwave,bottle,bowl"
193,1778951316.59,11.44,86.65,58.8,4,"bottle,microwave,bowl,bottle"
194,1778951316.68,11.47,86.47,57.6,4,"bottle,microwave,bottle,bowl"
195,1778951316.76,11.52,86.01,57.6,4,"bottle,bottle,microwave,bowl"
196,1778951316.85,11.5,86.22,61.1,2,"bottle,bottle"
197,1778951316.94,11.41,86.93,55.9,3,"bottle,bottle,microwave"
198,1778951317.03,11.41,86.92,56.3,5,"bottle,bottle,microwave,bottle,sink"
199,1778951317.11,11.45,86.6,56.3,5,"bottle,bottle,microwave,sink,bottle"
200,1778951317.2,11.54,85.93,57.6,3,"bottle,bottle,microwave"
201,1778951317.29,11.53,86.02,58.8,4,"bottle,bottle,microwave,sink"
202,1778951317.37,11.49,86.31,62.2,3,"bottle,bottle,microwave"
203,1778951317.46,11.43,86.79,60.0,3,"bottle,bottle,microwave"
204,1778951317.55,11.62,85.35,56.3,3,"bottle,bottle,bottle"
205,1778951317.64,11.52,86.1,60.0,3,"bottle,microwave,bottle"
206,1778951317.72,11.54,85.93,60.5,3,"bottle,bottle,microwave"
207,1778951317.81,11.54,86.0,56.3,4,"bottle,bottle,microwave,sink"
208,1778951317.9,10.98,90.33,54.5,4,"bottle,bottle,microwave,sink"
209,1778951317.99,11.54,85.97,56.3,4,"bottle,bottle,microwave,bottle"
210,1778951318.08,11.39,87.08,57.6,4,"bottle,bottle,microwave,bottle"
211,1778951318.16,11.48,86.36,63.2,3,"bottle,bottle,microwave"
212,1778951318.25,11.66,85.08,57.6,3,"bottle,bottle,sink"
213,1778951318.34,11.52,86.11,57.1,4,"bottle,bottle,microwave,bottle"
214,1778951318.42,11.6,85.55,63.2,4,"bottle,bottle,microwave,sink"
215,1778951318.51,11.57,85.72,57.6,4,"bottle,microwave,bottle,sink"
216,1778951318.6,11.49,86.32,58.8,2,"bottle,bottle"
217,1778951318.68,11.57,85.73,60.0,3,"bottle,microwave,bottle"
218,1778951318.77,11.56,85.81,58.8,4,"bottle,bottle,microwave,bowl"
219,1778951318.86,11.45,86.62,58.8,4,"bottle,bottle,microwave,bottle"
220,1778951318.94,11.52,86.06,60.0,3,"bottle,bottle,microwave"
221,1778951319.03,11.38,87.14,55.9,3,"bottle,bottle,microwave"
222,1778951319.12,11.46,86.51,56.3,3,"bottle,bottle,microwave"
223,1778951319.21,11.56,85.84,61.1,3,"bottle,microwave,bottle"
224,1778951319.29,11.58,85.65,60.0,2,"bottle,bottle"
225,1778951319.38,11.51,86.16,58.8,3,"bottle,microwave,bottle"
226,1778951319.47,11.55,85.85,58.8,3,"bottle,microwave,bottle"
227,1778951319.55,11.5,86.24,62.2,4,"bottle,bottle,microwave,sink"
228,1778951319.64,11.47,86.5,54.8,4,"bottle,microwave,bottle,sink"
229,1778951319.73,11.58,85.63,56.2,3,"bottle,bottle,microwave"
230,1778951319.82,11.5,86.22,58.8,2,"bottle,bottle"
231,1778951319.9,11.51,86.18,59.5,3,"bottle,microwave,bottle"
232,1778951319.99,11.5,86.23,58.8,2,"bottle,bottle"
233,1778951320.08,11.34,87.51,58.8,4,"bottle,bottle,microwave,bowl"
234,1778951320.17,11.5,86.25,61.1,3,"bottle,bottle,microwave"
235,1778951320.25,11.54,85.94,57.6,2,"bottle,bottle"
236,1778951320.34,11.54,85.93,58.8,3,"bottle,bottle,bottle"
237,1778951320.43,11.5,86.25,61.1,3,"bottle,microwave,bottle"
238,1778951320.51,11.42,86.81,57.6,3,"bottle,microwave,bottle"
239,1778951320.6,11.51,86.17,58.8,3,"bottle,microwave,bottle"
240,1778951320.69,11.4,87.02,57.1,3,"bottle,bottle,microwave"
241,1778951320.78,11.5,86.23,60.0,3,"bottle,bottle,microwave"
242,1778951320.86,11.54,85.89,58.8,3,"bottle,microwave,bottle"
243,1778951320.95,11.53,86.03,62.2,4,"bottle,bottle,sink,bottle"
244,1778951321.04,11.38,87.13,56.3,3,"bottle,bottle,microwave"
245,1778951321.13,11.52,86.09,60.0,3,"bottle,microwave,bottle"
246,1778951321.21,11.47,86.47,58.8,2,"bottle,bottle"
247,1778951321.3,11.48,86.41,59.5,3,"bottle,bottle,sink"
248,1778951321.39,10.67,92.97,65.8,3,"bottle,bottle,microwave"
249,1778951321.48,11.49,86.32,57.6,3,"bottle,bottle,microwave"
250,1778951321.57,11.5,86.24,58.8,2,"bottle,bottle"
251,1778951321.66,11.5,86.29,57.1,3,"bottle,bottle,microwave"
252,1778951321.74,11.49,86.31,63.2,3,"bottle,bottle,microwave"
253,1778951321.83,11.55,85.91,60.0,3,"bottle,bottle,bottle"
254,1778951321.92,11.45,86.6,57.6,3,"bottle,microwave,bottle"
255,1778951322.0,11.57,85.69,58.8,3,"bottle,bottle,microwave"
256,1778951322.09,11.58,85.63,62.2,4,"bottle,bottle,microwave,sink"
257,1778951322.18,11.57,85.74,57.6,2,"bottle,bottle"
258,1778951322.26,11.43,86.72,57.6,3,"bottle,bottle,microwave"
259,1778951322.35,11.72,84.62,58.8,2,"bottle,bottle"
260,1778951322.44,11.3,87.76,60.0,3,"bottle,bottle,microwave"
261,1778951322.53,11.62,85.33,60.0,4,"bottle,bottle,sink,microwave"
262,1778951322.61,11.65,85.12,60.0,3,"bottle,bottle,microwave"
263,1778951322.7,11.61,85.42,62.2,3,"bottle,bottle,microwave"
264,1778951322.79,11.51,86.2,57.6,3,"bottle,bottle,microwave"
265,1778951322.87,11.63,85.31,58.8,4,"bottle,microwave,bottle,sink"
