frame,timestamp,fps,latency_ms,cpu_percent,detections_count,labels
171,1778951904.83,11.7,84.92,58.8,7,"chair,person,microwave,bottle,bottle,bowl,bottle"
172,1778951904.92,11.75,84.51,53.3,6,"chair,microwave,person,bottle,bottle,bowl"
173,1778951905.01,11.58,85.76,62.2,8,"chair,person,microwave,bottle,bottle,bowl,bottle,bottle"
174,1778951905.1,10.89,91.25,63.9,8,"chair,microwave,bottle,bottle,person,bowl,bottle,bottle"
175,1778951905.18,11.81,84.09,53.3,6,"chair,microwave,bottle,bottle,person,bowl"
176,1778951905.27,11.67,85.12,62.2,7,"chair,microwave,bottle,bottle,person,bowl,bottle"
177,1778951905.35,11.75,84.51,58.8,6,"chair,microwave,bottle,person,bottle,bowl"
178,1778951905.44,11.75,84.48,57.6,7,"chair,microwave,bottle,bottle,bowl,person,bottle"
179,1778951905.53,11.71,84.8,61.8,6,"chair,microwave,bottle,bottle,person,bowl"
180,1778951905.61,11.67,85.1,60.0,7,"chair,microwave,person,bottle,bottle,bowl,bottle"
181,1778951905.7,11.78,84.29,58.8,6,"chair,person,microwave,bottle,bottle,bowl"
182,1778951905.78,11.66,85.18,58.8,7,"person,chair,microwave,bottle,bottle,bottle,bowl"
183,1778951905.87,11.59,85.66,60.0,7,"person,chair,microwave,bottle,bottle,bowl,bottle"
184,1778951905.96,11.7,84.82,56.3,8,"person,chair,microwave,bottle,bottle,bowl,bottle,bottle"
185,1778951906.04,11.55,85.97,56.2,8,"person,chair,microwave,bottle,bottle,bowl,bottle,bottle"
186,1778951906.13,11.44,86.82,58.8,8,"person,chair,bottle,microwave,bottle,bowl,bottle,bottle"
187,1778951906.22,11.66,85.13,58.8,8,"person,chair,microwave,bottle,bottle,bottle,bowl,bottle"
188,1778951906.3,11.65,85.21,62.2,7,"person,chair,bottle,bottle,microwave,bottle,bowl"
189,1778951906.39,11.68,85.01,57.6,7,"person,chair,microwave,bottle,bottle,bowl,bottle"
190,1778951906.47,11.65,85.25,58.8,8,"person,chair,microwave,bottle,bottle,bottle,bowl,bottle"
191,1778951906.56,11.69,84.96,60.0,8,"person,chair,microwave,bottle,bottle,bottle,bottle,bowl"
192,1778951906.65,11.58,85.74,60.0,8,"person,chair,microwave,bottle,bottle,bowl,bottle,bottle"
193,1778951906.73,11.71,84.84,59.4,8,"person,chair,microwave,bottle,bottle,bowl,bottle,bottle"
194,1778951906.82,11.64,85.27,63.2,8,"person,chair,microwave,bottle,bottle,bowl,bottle,bottle"
195,1778951906.91,11.46,86.67,57.6,7,"person,chair,microwave,bottle,bottle,bowl,bottle"
196,1778951906.99,11.65,85.23,60.0,7,"person,chair,microwave,bottle,bottle,bottle,bowl"
197,1778951907.08,11.42,86.99,58.8,7,"person,chair,microwave,bottle,bottle,bottle,bowl"
198,1778951907.16,11.67,85.07,61.1,7,"person,chair,microwave,bottle,bowl,bottle,bottle"
199,1778951907.25,11.69,84.97,61.1,6,"person,chair,bottle,bowl,microwave,bottle"
200,1778951907.34,11.69,84.95,54.8,6,"person,chair,microwave,bottle,bowl,bottle"
201,1778951907.42,11.62,85.5,57.6,6,"person,chair,microwave,bottle,bowl,bottle"
202,1778951907.51,11.71,84.8,54.8,6,"person,chair,bottle,microwave,bowl,bottle"
203,1778951907.59,11.88,83.57,58.8,6,"person,chair,bottle,microwave,bowl,bottle"
204,1778951907.68,11.81,84.04,61.1,5,"person,chair,bottle,bowl,bottle"
205,1778951907.76,11.74,84.59,56.3,5,"person,chair,bottle,bottle,bowl"
206,1778951907.85,11.89,83.48,60.6,5,"person,chair,bottle,bowl,bottle"
207,1778951907.93,11.76,84.44,56.3,4,"person,chair,bottle,bowl"
208,1778951908.02,11.72,84.69,60.0,5,"person,chair,bottle,bowl,microwave"
209,1778951908.1,11.7,84.86,57.6,4,"person,chair,bottle,bowl"
210,1778951908.19,11.79,84.21,61.1,4,"person,chair,bottle,microwave"
211,1778951908.27,11.82,84.05,61.8,4,"person,chair,bottle,chair"
212,1778951908.36,11.86,83.71,56.2,3,"person,chair,bottle"
213,1778951908.44,11.84,83.91,56.3,5,"person,chair,bottle,bottle,chair"
214,1778951908.53,11.86,83.72,61.1,4,"person,chair,bottle,chair"
215,1778951908.61,11.87,83.71,56.2,5,"person,chair,bottle,bowl,chair"
216,1778951908.7,11.83,83.96,62.9,3,"person,chair,chair"
217,1778951908.78,11.71,84.82,57.6,2,"person,chair"
218,1778951908.87,11.81,84.04,58.8,3,"person,chair,bottle"
219,1778951908.95,11.85,83.8,58.8,4,"person,chair,bottle,bottle"
220,1778951909.04,11.64,85.32,60.0,4,"person,chair,bottle,bowl"
221,1778951909.12,11.56,85.91,54.8,6,"person,chair,bottle,bottle,bottle,chair"
222,1778951909.21,11.77,84.38,57.6,7,"person,chair,bottle,microwave,bottle,bottle,chair"
223,1778951909.3,11.81,84.12,56.3,6,"person,chair,microwave,bottle,bottle,chair"
224,1778951909.38,11.81,84.06,60.6,8,"person,chair,microwave,bottle,chair,bottle,bottle,bottle"
225,1778951909.46,11.83,83.99,61.1,7,"person,chair,microwave,bottle,bottle,bottle,bottle"
226,1778951909.55,11.83,83.9,62.2,7,"chair,person,bottle,microwave,person,bottle,bottle"
227,1778951909.63,11.89,83.5,54.8,6,"chair,microwave,person,bottle,bottle,bottle"
228,1778951909.72,11.76,84.47,60.0,6,"chair,microwave,bottle,bottle,bottle,bottle"
229,1778951909.8,11.7,84.9,61.8,7,"chair,microwave,bottle,bottle,bottle,bowl,chair"
230,1778951909.89,11.84,83.89,60.0,7,"chair,bottle,microwave,bottle,bottle,chair,bottle"
231,1778951909.98,11.66,85.17,58.8,6,"chair,bottle,microwave,bottle,bottle,bottle"
232,1778951910.07,10.77,92.26,63.9,7,"chair,microwave,bottle,bottle,bottle,chair,bottle"
233,1778951910.16,11.42,86.97,57.6,7,"chair,microwave,bottle,bottle,bottle,bottle,chair"
234,1778951910.24,11.77,84.38,54.8,5,"chair,microwave,bottle,bottle,bottle"
235,1778951910.33,11.68,85.07,57.6,7,"microwave,chair,bottle,bottle,bottle,chair,bottle"
236,1778951910.41,11.72,84.7,60.0,7,"chair,microwave,bottle,bottle,bottle,bottle,bowl"
237,1778951910.5,11.59,85.67,57.6,8,"chair,microwave,bottle,bottle,bowl,bottle,chair,bottle"
238,1778951910.58,11.76,84.41,61.1,7,"chair,microwave,bottle,bottle,bowl,bottle,chair"
