frame,time_s,latency_ms,fps,cpu_percent,ram_percent,temperature_c,detections
0,0.0,163.32,6.12,5.9,16.4,41.1,1
1,1.39,113.05,8.85,51.1,16.4,41.7,1
2,1.506,111.9,8.94,48.8,16.4,42.2,1
3,1.621,112.2,8.91,51.1,16.4,41.7,1
4,1.736,111.59,8.96,52.2,16.4,41.7,1
5,1.85,111.58,8.96,50.0,16.4,41.1,1
6,1.964,112.09,8.92,47.6,16.4,43.3,1
7,2.079,111.78,8.95,53.2,16.4,43.3,1
8,2.194,111.68,8.95,50.0,16.4,43.3,1
9,2.308,111.42,8.98,50.0,16.4,43.3,1
10,2.422,112.02,8.93,47.7,16.4,43.9,1
11,2.537,113.74,8.79,53.2,16.4,43.9,1
12,2.653,111.99,8.93,51.1,16.4,43.3,1
13,2.768,111.49,8.97,51.1,16.4,43.3,1
14,2.882,111.53,8.97,50.0,16.4,43.9,1
15,2.996,111.96,8.93,48.8,16.4,43.9,1
16,3.111,121.41,8.24,56.0,16.5,43.9,1
17,3.235,111.62,8.96,54.2,16.5,43.9,1
18,3.349,111.23,8.99,48.9,16.5,44.4,1
19,3.463,112.87,8.86,51.1,16.5,45.0,1
20,3.579,112.35,8.9,51.1,16.5,45.0,1
21,3.694,112.31,8.9,51.1,16.5,44.4,1
22,3.809,111.45,8.97,51.1,16.5,43.9,1
23,3.923,111.49,8.97,52.2,16.5,45.0,1
24,4.037,111.41,8.98,48.8,16.5,45.5,1
25,4.152,113.82,8.79,54.0,16.5,45.5,1
26,4.268,111.46,8.97,50.0,16.5,45.5,1
27,4.382,111.88,8.94,47.7,16.5,45.5,1
28,4.497,113.35,8.82,54.2,16.5,45.0,1
29,4.613,112.05,8.92,50.0,16.5,45.0,1
30,4.728,111.85,8.94,50.0,16.5,46.1,1
31,4.842,113.1,8.84,51.1,16.5,46.6,1
32,4.958,111.58,8.96,51.1,16.5,46.6,1
33,5.072,112.0,8.93,50.0,16.5,45.5,1
34,5.187,112.26,8.91,51.1,16.5,46.6,1
35,5.302,112.03,8.93,51.1,16.5,46.6,1
36,5.417,112.06,8.92,48.9,16.5,46.6,1
37,5.531,113.25,8.83,51.1,16.5,47.2,1
38,5.647,111.85,8.94,51.1,16.5,46.6,1
39,5.762,111.74,8.95,51.1,16.5,46.6,1
40,5.876,111.65,8.96,48.9,16.5,47.7,1
41,5.991,112.93,8.86,54.2,16.5,46.6,1
42,6.106,111.97,8.93,50.0,16.5,46.6,1
43,6.221,111.83,8.94,51.1,16.5,46.6,1
44,6.335,112.16,8.92,47.7,16.5,47.2,1
45,6.45,112.37,8.9,51.1,16.4,47.7,1
46,6.565,111.95,8.93,48.8,16.4,47.2,1
47,6.68,112.3,8.91,47.7,16.4,47.7,1
48,6.795,111.73,8.95,54.2,16.4,46.6,1
