frame,timestamp,fps,latency_ms,cpu_percent,detections_count,labels
83,1778952348.34,11.13,89.14,55.9,7,"person,bottle,bottle,bottle,person,microwave,bottle"
84,1778952348.43,11.09,89.31,59.5,6,"person,bottle,person,bottle,microwave,bottle"
85,1778952348.52,10.92,90.86,59.5,6,"microwave,person,bottle,bottle,person,bottle"
86,1778952348.61,11.2,88.53,60.5,6,"person,bottle,person,microwave,bottle,bottle"
87,1778952348.7,11.16,88.76,57.1,5,"microwave,person,bottle,bottle,bottle"
88,1778952348.79,11.14,88.93,57.1,5,"person,microwave,bottle,bottle,bottle"
89,1778952348.88,11.16,88.8,58.3,5,"microwave,person,bottle,bottle,bottle"
90,1778952348.97,11.15,88.92,55.9,5,"bottle,microwave,bottle,person,bottle"
91,1778952349.06,10.94,90.7,61.5,5,"bottle,microwave,person,bottle,bottle"
92,1778952349.15,11.08,89.46,60.5,5,"bottle,microwave,person,bottle,bottle"
93,1778952349.24,11.12,89.18,54.5,5,"bottle,microwave,person,bottle,bottle"
94,1778952349.33,11.05,89.59,61.5,5,"microwave,bottle,person,bottle,bottle"
95,1778952349.42,11.08,89.55,58.3,5,"bottle,person,bottle,bottle,microwave"
96,1778952349.52,11.12,89.13,57.1,5,"person,bottle,bottle,bottle,microwave"
97,1778952349.61,11.08,89.54,58.3,5,"person,microwave,bottle,bottle,bottle"
98,1778952349.7,11.13,89.05,57.1,5,"microwave,bottle,bottle,bottle,person"
99,1778952349.79,11.12,89.11,59.0,5,"bottle,person,bottle,bottle,microwave"
100,1778952349.88,11.12,89.11,55.9,5,"person,microwave,bottle,bottle,bottle"
101,1778952349.97,11.2,88.44,59.5,5,"person,microwave,bottle,bottle,bottle"
102,1778952350.06,10.92,90.8,53.1,5,"person,microwave,bottle,bottle,bottle"
103,1778952350.15,11.0,90.14,58.3,5,"person,microwave,bottle,bottle,bottle"
104,1778952350.24,11.04,89.82,57.1,5,"person,bottle,bottle,microwave,bottle"
105,1778952350.33,11.07,89.58,61.5,4,"person,bottle,bottle,bottle"
106,1778952350.42,10.94,90.64,57.1,6,"bottle,person,microwave,bottle,bottle,bottle"
107,1778952350.51,11.06,89.69,58.3,4,"person,bottle,bottle,bottle"
108,1778952350.6,11.06,89.49,56.8,4,"bottle,bottle,person,bottle"
109,1778952350.69,10.98,90.35,58.3,6,"person,bottle,bottle,bottle,microwave,bottle"
110,1778952350.79,11.02,90.0,59.5,6,"person,bottle,bottle,bottle,bottle,microwave"
111,1778952350.88,11.14,89.02,58.3,5,"person,bottle,bottle,bottle,microwave"
112,1778952350.97,11.04,89.76,60.5,5,"person,microwave,bottle,bottle,bottle"
113,1778952351.06,10.79,91.91,57.9,6,"person,bottle,bottle,bottle,microwave,bottle"
114,1778952351.15,11.03,89.87,60.5,5,"person,bottle,bottle,refrigerator,bottle"
115,1778952351.24,10.92,90.84,59.5,4,"person,bottle,bottle,bottle"
116,1778952351.33,11.14,88.93,55.9,4,"person,bottle,bottle,bottle"
117,1778952351.42,11.06,89.59,59.5,3,"person,bottle,bottle"
118,1778952351.51,11.03,89.87,55.9,4,"person,bottle,bowl,bottle"
119,1778952351.6,11.13,89.08,58.3,3,"person,bottle,microwave"
120,1778952351.69,11.03,89.87,58.3,3,"person,person,bottle"
121,1778952351.78,11.07,89.61,56.8,2,"person,person"
122,1778952351.88,11.08,89.45,59.5,3,"person,person,sink"
123,1778952351.97,11.1,89.4,57.1,4,"person,person,sink,bottle"
124,1778952352.06,10.74,92.29,57.1,4,"person,person,bottle,sink"
125,1778952352.15,10.99,90.19,61.5,5,"person,person,bottle,sink,bottle"
126,1778952352.24,11.03,89.86,57.9,6,"person,person,sink,bottle,bowl,bottle"
127,1778952352.33,11.23,88.34,59.5,6,"person,person,bottle,sink,bowl,bottle"
128,1778952352.42,11.1,89.3,57.1,4,"person,person,bottle,bowl"
129,1778952352.52,10.51,94.39,64.1,5,"person,person,bottle,bowl,bottle"
130,1778952352.61,11.08,89.39,58.3,4,"person,bottle,bowl,bottle"
131,1778952352.7,11.08,89.54,59.5,4,"person,bottle,bowl,bottle"
132,1778952352.79,11.08,89.48,55.9,3,"person,bottle,bowl"
133,1778952352.88,11.16,88.91,60.0,3,"person,bottle,bowl"
134,1778952352.97,11.12,89.09,58.3,1,person
135,1778952353.06,10.98,90.34,60.5,1,person
136,1778952353.15,11.13,89.09,55.9,1,person
137,1778952353.24,11.22,88.43,57.1,2,"person,person"
138,1778952353.33,11.19,88.6,55.9,2,"person,person"
139,1778952353.42,11.11,89.2,60.5,2,"person,person"
140,1778952353.51,10.89,91.07,55.9,2,"person,person"
141,1778952353.6,11.18,88.73,58.3,2,"person,bowl"
142,1778952353.69,11.18,88.56,61.5,3,"person,bottle,bowl"
143,1778952353.78,11.19,88.67,61.1,5,"person,bottle,bowl,microwave,sink"
144,1778952353.87,11.15,88.88,55.9,5,"person,bottle,microwave,bowl,bottle"
145,1778952353.96,11.17,88.83,55.9,4,"person,bottle,bottle,bowl"
146,1778952354.05,10.96,90.49,59.5,3,"person,bottle,bottle"
147,1778952354.14,11.2,88.62,59.5,4,"person,bottle,bottle,microwave"
148,1778952354.23,11.16,88.68,59.5,5,"person,bottle,microwave,bottle,bottle"
149,1778952354.32,11.24,88.26,57.1,5,"bottle,bottle,bottle,microwave,bottle"
150,1778952354.41,11.05,89.72,61.5,6,"person,bottle,bottle,bottle,bottle,microwave"
151,1778952354.5,11.22,88.37,55.9,6,"microwave,bottle,bottle,person,bottle,bottle"
152,1778952354.59,11.08,89.45,59.5,4,"bottle,microwave,bottle,bottle"
153,1778952354.68,11.14,89.04,54.5,5,"person,bottle,microwave,bottle,bottle"
154,1778952354.77,11.09,89.4,59.5,6,"bottle,microwave,bowl,bottle,bottle,bottle"
155,1778952354.86,11.06,89.68,58.3,5,"bottle,bowl,microwave,bottle,bottle"
156,1778952354.95,11.06,89.67,58.3,5,"bottle,bowl,microwave,bottle,bottle"
157,1778952355.04,10.93,90.77,59.5,5,"bottle,microwave,bowl,bottle,bottle"
158,1778952355.13,10.99,90.18,58.3,5,"bottle,microwave,bowl,bottle,bottle"
159,1778952355.22,11.09,89.43,58.3,5,"bottle,microwave,bowl,bottle,bottle"
160,1778952355.32,11.04,89.78,58.3,5,"bottle,bowl,microwave,bottle,bottle"
161,1778952355.41,11.06,89.69,60.5,5,"bottle,microwave,bowl,bottle,bottle"
162,1778952355.5,11.11,89.07,59.5,5,"bottle,bottle,bowl,bottle,microwave"
163,1778952355.59,11.13,89.02,59.5,5,"bottle,microwave,bottle,bottle,bowl"
164,1778952355.68,11.07,89.53,58.3,4,"bottle,bowl,bottle,bottle"
165,1778952355.77,11.06,89.69,58.3,5,"bottle,bowl,microwave,bottle,bottle"
166,1778952355.86,11.15,88.9,58.3,5,"bottle,bowl,microwave,bottle,bottle"
167,1778952355.95,11.08,89.55,54.5,4,"bottle,bowl,bottle,microwave"
168,1778952356.04,10.89,90.91,59.5,5,"bottle,bowl,bottle,bottle,microwave"
169,1778952356.13,11.14,88.98,60.5,5,"bottle,bowl,microwave,bottle,bottle"
