frame,fps,latency_ms,cpu_percent,raw_messages,filtered_messages,blocked_messages,messages
128,11.54,85.9,56.3,1,0,1,
129,11.46,86.49,62.2,1,0,1,
130,11.52,86.04,57.6,1,0,1,
131,11.65,85.13,56.3,1,0,1,
132,11.51,86.07,60.0,1,0,1,
133,11.52,86.1,61.1,1,0,1,
134,10.72,92.53,62.9,1,0,1,
135,11.59,85.57,60.0,1,0,1,
136,11.37,87.13,58.8,1,0,1,
137,11.48,86.4,57.6,1,0,1,
138,11.62,85.27,58.8,1,0,1,
139,11.51,86.15,58.8,1,0,1,
140,11.58,85.6,63.2,1,0,1,
141,11.59,85.51,58.8,1,0,1,
142,11.62,85.31,63.2,1,0,1,
143,11.61,85.37,54.8,1,0,1,
144,11.64,85.13,60.0,1,0,1,
145,11.46,86.49,63.2,1,0,1,
146,11.56,85.7,57.6,1,0,1,
147,11.75,84.42,60.6,1,0,1,
148,11.43,86.8,56.3,1,0,1,
149,11.47,86.45,58.8,1,0,1,
150,11.55,85.79,57.6,1,0,1,
151,11.59,85.54,58.8,1,0,1,
152,11.64,85.16,61.1,1,0,1,
153,11.59,85.58,61.1,1,0,1,
154,11.89,83.39,56.2,1,0,1,
155,11.67,84.99,62.2,1,0,1,
156,11.54,85.86,56.3,1,0,1,
157,11.57,85.67,60.0,1,0,1,
158,11.69,84.76,58.8,1,0,1,
159,11.71,84.67,58.1,1,0,1,
160,11.55,85.59,61.1,1,0,1,
161,11.85,83.69,57.6,1,0,1,
162,11.84,83.75,54.8,1,0,1,
163,11.62,85.37,61.1,1,0,1,
164,11.72,84.55,60.0,1,0,1,
165,11.76,84.36,59.4,1,0,1,
166,11.55,85.78,61.5,1,0,1,
167,11.59,85.58,57.6,1,0,1,
168,11.67,84.87,61.8,1,0,1,
169,11.86,83.59,56.3,1,0,1,
170,11.85,83.64,61.1,1,0,1,
171,11.64,85.26,60.0,1,0,1,
172,11.85,83.64,58.1,1,0,1,
173,11.82,83.96,54.8,1,0,1,
174,11.72,84.53,57.6,1,0,1,
175,11.65,85.16,57.6,1,0,1,
176,11.57,85.63,60.0,1,0,1,
177,11.88,83.47,56.7,1,0,1,
178,11.69,84.78,56.3,1,0,1,
179,11.8,84.08,62.2,2,1,1,microwave on your left
180,11.82,83.86,56.3,2,1,1,person ahead
181,11.78,84.18,59.4,3,1,2,tv on your left
182,11.83,83.79,56.3,3,0,3,
183,11.48,86.46,62.2,3,0,3,
184,11.62,85.3,63.2,2,0,2,
185,11.85,83.72,56.3,3,1,2,person on your right
186,11.69,84.83,54.8,2,0,2,
187,11.69,84.86,61.8,3,0,3,
188,11.71,84.61,56.3,3,0,3,
189,11.82,83.89,58.8,3,0,3,
190,11.69,84.86,62.2,2,0,2,
191,11.79,84.13,54.8,2,0,2,
192,11.13,89.14,64.7,2,0,2,
193,11.58,85.6,60.0,2,0,2,
194,11.62,85.34,60.0,2,0,2,
195,11.24,88.33,57.6,3,1,2,person on your right
