frame,fps,latency_ms,cpu_percent,raw_messages,filtered_messages,blocked_messages,messages
147,11.49,86.41,61.1,1,0,1,
148,11.7,84.83,58.8,1,0,1,
149,11.62,85.45,56.3,1,1,0,person on your right
150,11.59,85.63,58.8,1,0,1,
151,11.58,85.72,58.8,1,0,1,
152,11.71,84.78,61.1,1,0,1,
153,11.5,86.38,61.8,1,0,1,
154,11.67,85.08,58.8,1,0,1,
155,11.7,84.9,57.6,1,0,1,
156,11.69,84.95,61.1,1,1,0,person on your right
157,11.71,84.81,56.3,1,0,1,
158,11.71,84.79,61.1,1,0,1,
159,11.61,85.52,57.6,1,0,1,
160,11.7,84.85,61.1,1,0,1,
161,11.69,84.95,56.3,1,0,1,
162,11.7,84.89,61.1,1,0,1,
163,11.7,84.86,61.8,1,0,1,
164,11.75,84.49,54.8,1,0,1,
165,11.5,86.33,60.0,1,0,1,
166,11.67,85.08,61.1,1,0,1,
167,11.63,85.36,57.6,1,0,1,
168,11.68,85.0,60.0,1,0,1,
169,11.72,84.74,58.8,1,0,1,
170,11.65,85.23,57.6,1,0,1,
171,11.64,85.32,60.0,2,1,1,microwave on your right
172,11.69,84.94,56.3,2,0,2,
173,11.66,85.2,58.8,2,0,2,
174,11.65,85.22,56.2,3,1,2,tv on your right
175,11.7,84.88,60.0,2,0,2,
176,11.51,86.27,58.1,2,0,2,
177,11.66,85.14,57.6,2,0,2,
178,11.74,84.59,61.1,2,0,2,
179,11.59,85.7,57.6,2,0,2,
180,11.6,85.58,62.2,3,0,3,
181,11.61,85.52,56.3,3,0,3,
182,11.58,85.71,62.2,3,0,3,
183,11.62,85.43,61.1,3,0,3,
184,11.57,85.81,60.0,2,0,2,
185,11.63,85.41,60.0,2,0,2,
186,11.65,85.22,56.3,2,0,2,
187,11.66,85.13,64.1,2,0,2,
188,11.49,86.44,57.6,2,0,2,
189,11.58,85.76,58.8,2,0,2,
190,11.66,85.12,60.0,2,0,2,
191,11.56,85.91,57.6,2,0,2,
192,11.52,86.16,60.0,2,0,2,
193,10.89,91.26,65.7,2,0,2,
194,11.61,85.51,62.2,2,0,2,
195,11.59,85.66,56.2,2,0,2,
196,11.59,85.64,61.1,2,0,2,
197,11.66,85.16,62.2,1,0,1,
198,11.63,85.4,60.0,2,0,2,
199,11.54,86.05,61.1,1,0,1,
200,11.53,86.14,58.8,1,0,1,
201,11.63,85.42,57.6,1,0,1,
202,11.74,84.57,61.1,1,1,0,person on your right
203,11.53,86.13,58.8,1,0,1,
204,11.82,83.98,64.9,1,0,1,
205,10.77,92.28,55.6,1,0,1,
206,11.63,85.32,60.0,1,0,1,
207,11.7,84.79,62.2,1,1,0,person on your right
208,11.73,84.62,56.3,1,0,1,
209,11.68,85.05,58.1,1,0,1,
210,11.61,85.49,62.2,1,1,0,person on your right
211,11.52,86.17,57.6,1,0,1,
212,11.59,85.71,57.6,2,2,0,person on your right | microwave ahead
213,11.79,84.21,61.1,1,0,1,
214,11.61,85.51,57.6,2,1,1,microwave ahead
215,11.77,84.33,62.2,1,0,1,
216,11.75,84.5,58.8,1,0,1,
217,11.73,84.63,58.1,1,0,1,
218,11.76,84.41,60.0,1,0,1,
219,11.75,84.48,57.6,1,0,1,
220,11.72,84.71,56.3,1,0,1,
221,11.72,84.74,62.2,1,0,1,
222,11.64,85.27,57.6,1,0,1,
223,11.6,85.58,62.9,1,0,1,
224,11.69,84.9,58.8,1,0,1,
225,11.76,84.44,57.6,1,0,1,
226,11.67,85.05,58.8,1,0,1,
227,11.77,84.34,56.3,1,0,1,
228,11.67,85.11,58.8,2,1,1,surfboard on your left
229,11.71,84.78,56.3,1,0,1,
230,11.74,84.53,60.0,1,0,1,
231,11.66,85.15,60.0,1,0,1,
232,11.68,84.99,60.0,1,0,1,
233,11.64,85.3,54.8,1,0,1,
234,11.63,85.33,61.8,1,1,0,person ahead
235,11.64,85.3,60.0,1,0,1,
236,11.69,84.95,62.2,1,0,1,
237,11.77,84.34,56.3,1,0,1,
238,11.69,84.96,56.3,1,0,1,
239,11.75,84.5,61.1,1,0,1,
240,11.65,85.24,58.8,1,0,1,
241,11.7,84.86,62.9,1,1,0,person on your right
242,11.68,85.03,58.8,1,0,1,
243,11.71,84.77,60.0,1,0,1,
244,11.8,84.17,57.6,1,0,1,
245,11.67,85.09,57.6,1,0,1,
246,11.63,85.4,61.1,1,0,1,
247,11.68,85.02,57.6,1,0,1,
248,11.84,83.88,63.9,1,0,1,
249,11.75,84.53,61.1,1,0,1,
250,11.68,84.98,57.6,1,0,1,
251,10.96,90.67,65.8,1,0,1,
252,11.72,84.69,54.8,1,0,1,
253,11.78,84.31,60.6,1,0,1,
254,11.56,85.91,57.6,1,0,1,
255,11.8,84.13,62.2,1,0,1,
256,11.55,85.94,63.2,1,0,1,
257,11.65,85.25,62.2,1,0,1,
258,11.56,85.79,61.1,1,0,1,
259,11.61,85.53,58.8,1,0,1,
260,11.71,84.81,61.1,1,0,1,
261,11.63,85.39,57.6,1,0,1,
262,11.68,84.99,62.2,1,0,1,
263,11.37,87.35,62.9,1,0,1,
264,11.59,85.64,61.1,1,0,1,
265,11.64,85.35,60.0,1,0,1,
266,11.62,85.48,56.3,1,0,1,
267,11.54,86.07,61.1,1,0,1,
268,11.67,85.05,61.1,1,0,1,
269,11.45,86.78,60.0,1,0,1,
270,11.58,85.71,58.8,1,0,1,
271,11.63,85.39,62.2,1,0,1,
272,11.69,84.91,57.6,1,0,1,
273,11.7,84.85,63.9,1,0,1,
274,11.56,85.88,57.1,1,0,1,
275,11.61,85.5,62.9,1,0,1,
276,11.62,85.43,56.2,1,0,1,
277,11.67,85.1,62.2,1,1,0,person on your right
278,11.56,85.93,56.3,1,0,1,
279,11.61,85.54,57.6,1,0,1,
280,11.73,84.6,61.1,1,0,1,
281,11.43,86.93,60.0,1,1,0,person on your right
282,11.64,85.26,61.1,1,0,1,
283,11.62,85.48,54.8,1,0,1,
284,11.61,85.55,58.8,1,0,1,
285,11.67,85.05,63.2,1,1,0,person on your right
286,11.67,85.1,57.6,1,0,1,
287,11.69,84.95,61.1,1,0,1,
288,11.63,85.39,58.8,1,0,1,
289,11.62,85.46,57.6,1,0,1,
290,11.54,86.05,58.8,2,1,1,microwave on your right
291,11.66,85.16,62.2,2,0,2,
292,11.48,86.48,58.1,2,0,2,
293,11.67,85.05,54.8,2,0,2,
294,11.74,84.54,62.2,1,0,1,
295,11.67,85.12,58.8,1,1,0,person on your right
296,11.65,85.22,57.6,1,0,1,
297,11.67,85.08,60.0,1,0,1,
298,11.63,85.37,58.8,1,0,1,
299,11.69,84.97,60.0,1,0,1,
300,11.65,85.19,56.3,2,1,1,tv on your right
301,11.57,85.81,60.0,2,0,2,
302,11.67,85.05,61.1,2,0,2,
303,11.64,85.31,56.3,2,0,2,
304,11.52,86.2,62.9,2,0,2,
305,11.64,85.31,54.8,2,0,2,
306,11.75,84.54,61.1,2,0,2,
307,11.62,85.48,56.2,2,0,2,
308,11.61,85.52,62.2,2,1,1,person on your right
309,10.88,91.28,64.9,2,0,2,
310,11.61,85.55,57.6,2,0,2,
311,11.62,85.42,58.8,2,0,2,
312,11.66,85.11,61.1,2,0,2,
313,11.59,85.7,58.8,3,1,2,tv on your right
314,11.67,85.09,61.8,2,0,2,
315,11.39,87.2,57.6,2,0,2,
316,11.53,86.1,56.3,3,0,3,
317,11.67,85.09,58.8,2,0,2,
318,11.62,85.42,56.2,2,0,2,
319,11.6,85.58,57.6,2,0,2,
320,11.65,85.19,62.2,3,0,3,
321,11.42,86.97,62.2,2,0,2,
322,11.71,84.79,60.0,2,0,2,
323,11.63,85.35,57.6,1,0,1,
324,11.65,85.23,58.8,2,1,1,person on your right
325,11.63,85.36,61.1,2,0,2,
326,11.63,85.35,57.6,2,0,2,
327,11.47,86.59,62.9,2,0,2,
328,11.58,85.78,57.6,2,0,2,
329,11.64,85.33,58.8,2,0,2,
330,11.65,85.2,60.0,1,0,1,
331,11.55,85.98,57.6,2,0,2,
332,11.69,84.9,62.2,2,0,2,
333,11.68,85.0,56.3,1,0,1,
334,11.71,84.81,62.2,1,0,1,
335,11.67,85.09,57.6,1,0,1,
336,11.73,84.59,62.2,1,0,1,
337,11.71,84.79,60.0,1,0,1,
338,11.7,84.85,59.4,1,0,1,
339,11.41,87.04,60.0,2,0,2,
340,11.65,85.22,60.0,2,0,2,
341,11.62,85.51,53.3,4,3,1,couch on your right | chair on your right | tv on your right
342,11.72,84.68,62.2,3,0,3,
343,11.64,85.28,57.6,2,1,1,person on your right
344,11.67,85.05,63.2,2,0,2,
345,11.71,84.82,56.3,2,0,2,
346,11.72,84.7,61.1,2,0,2,
347,11.71,84.78,60.0,2,0,2,
348,11.6,85.63,61.1,2,1,1,microwave on your right
349,11.63,85.33,59.4,2,0,2,
350,11.61,85.48,61.1,2,0,2,
351,11.73,84.6,57.6,2,0,2,
352,11.69,84.93,61.1,2,0,2,
353,11.71,84.79,58.8,3,0,3,
354,11.68,85.04,56.3,1,0,1,
355,11.71,84.82,62.9,2,0,2,
356,11.74,84.6,56.3,2,0,2,
357,11.7,84.84,62.2,1,0,1,
358,11.64,85.33,58.8,2,0,2,
359,11.6,85.62,61.1,2,0,2,
360,11.56,85.85,57.6,2,1,1,person on your right
361,11.64,85.32,63.2,1,0,1,
362,11.49,86.39,57.6,1,0,1,
363,11.58,85.74,54.8,1,0,1,
364,11.57,85.8,62.2,1,0,1,
365,11.59,85.65,61.1,1,0,1,
366,11.63,85.34,56.3,1,1,0,person on your right
367,10.92,90.93,70.0,1,0,1,
368,11.59,85.68,62.2,1,0,1,
369,11.63,85.43,57.6,1,0,1,
370,11.59,85.67,62.2,1,0,1,
371,11.56,85.91,56.3,1,1,0,person on your right
372,11.58,85.74,58.8,1,0,1,
373,11.53,86.11,64.1,1,0,1,
374,11.63,85.34,61.1,1,1,0,person on your right
375,11.68,84.96,58.8,1,0,1,
376,11.57,85.81,58.8,1,0,1,
377,11.5,86.37,56.3,1,0,1,
378,11.64,85.32,57.6,1,0,1,
379,11.42,86.94,64.9,1,0,1,
380,11.65,85.23,61.1,1,0,1,
381,11.63,85.39,54.8,1,0,1,
382,11.63,85.36,61.1,1,0,1,
383,11.75,84.51,60.0,1,0,1,
384,11.58,85.76,56.3,1,0,1,
385,11.49,86.43,57.1,1,0,1,
386,11.64,85.33,61.1,1,0,1,
387,11.6,85.57,57.6,1,0,1,
388,11.67,85.09,60.0,1,0,1,
389,11.63,85.42,61.1,1,0,1,
390,11.67,85.09,60.6,1,0,1,
391,11.65,85.25,60.0,1,0,1,
392,11.69,84.91,57.6,1,1,0,person ahead
393,11.63,85.37,62.2,1,0,1,
394,11.66,85.14,56.3,1,0,1,
395,11.6,85.64,61.1,1,0,1,
396,11.74,84.55,60.0,1,0,1,
397,11.46,86.57,61.1,1,0,1,
398,11.57,85.81,60.0,1,0,1,
399,11.64,85.29,56.3,1,0,1,
400,11.67,85.05,63.9,1,0,1,
401,11.69,84.94,57.6,1,0,1,
402,11.62,85.43,58.8,1,0,1,
403,11.73,84.62,61.1,1,0,1,
404,11.6,85.63,57.6,1,0,1,
405,11.65,85.25,57.6,1,0,1,
406,11.63,85.35,62.2,1,0,1,
407,11.68,84.92,58.8,1,0,1,
408,11.47,86.6,56.3,1,1,0,person on your right
409,11.44,86.79,57.6,1,0,1,
410,11.62,85.44,56.3,1,0,1,
411,11.63,85.41,63.2,1,0,1,
412,11.55,85.97,57.6,1,0,1,
413,11.67,85.04,56.3,1,0,1,
414,11.61,85.52,60.0,1,0,1,
415,11.6,85.6,56.3,1,0,1,
416,11.68,85.03,62.2,1,0,1,
417,11.6,85.65,56.3,1,0,1,
418,11.61,85.54,62.2,1,0,1,
419,11.58,85.75,58.8,1,0,1,
420,11.47,86.57,59.4,1,0,1,
421,11.65,85.23,60.0,1,0,1,
422,11.62,85.43,56.3,1,0,1,
423,11.61,85.5,58.8,1,0,1,
424,11.65,85.19,57.6,1,0,1,
425,10.99,90.37,62.9,1,0,1,
426,11.63,85.4,58.8,1,0,1,
427,11.64,85.3,60.6,1,0,1,
428,11.63,85.38,58.8,1,0,1,
429,11.68,85.05,60.0,1,1,0,person on your right
430,11.65,85.23,56.3,1,0,1,
431,11.49,86.42,61.1,1,0,1,
432,11.57,85.82,56.3,1,1,0,person on your right
433,11.65,85.22,58.8,1,0,1,
434,11.72,84.71,58.8,1,0,1,
435,11.69,84.93,57.6,1,0,1,
436,11.57,85.75,58.8,1,0,1,
437,11.54,86.08,61.8,1,1,0,person on your right
438,11.69,84.92,63.2,1,0,1,
439,11.69,84.92,57.6,1,0,1,
440,11.62,85.47,61.1,1,0,1,
441,11.64,85.31,58.8,1,0,1,
442,11.62,85.46,62.2,1,0,1,
443,11.46,86.64,53.3,1,1,0,person on your right
444,11.61,85.47,58.8,1,0,1,
445,11.7,84.9,61.1,1,0,1,
446,11.67,85.09,59.4,1,0,1,
447,11.6,85.62,62.2,1,0,1,
448,11.6,85.56,54.8,1,0,1,
449,11.65,85.23,61.1,2,1,1,tv on your right
450,11.66,85.12,54.8,1,1,0,person ahead
451,11.68,84.99,61.1,2,0,2,
452,11.63,85.36,56.3,1,0,1,
453,11.62,85.44,60.0,2,0,2,
454,11.4,87.15,61.1,1,0,1,
455,11.56,85.93,60.0,2,0,2,
456,11.66,85.15,57.6,2,0,2,
457,11.64,85.31,61.1,2,0,2,
458,11.56,85.91,58.8,2,0,2,
459,11.63,85.42,60.0,2,0,2,
460,11.69,84.93,57.6,2,0,2,
461,11.84,83.88,63.9,2,0,2,
462,11.75,84.47,56.3,1,0,1,
463,11.67,85.09,56.3,2,0,2,
464,11.76,84.44,61.1,1,0,1,
465,11.72,84.69,58.8,1,0,1,
466,11.44,86.76,58.8,1,0,1,
467,11.61,85.54,58.8,2,1,1,microwave on your right
468,11.76,84.4,60.6,1,0,1,
469,11.69,84.96,54.8,1,1,0,person ahead
470,11.69,84.92,63.2,1,0,1,
471,11.75,84.54,54.8,1,0,1,
472,11.62,85.42,58.8,2,0,2,
473,11.72,84.7,57.6,1,0,1,
474,11.69,84.96,57.6,2,0,2,
475,11.74,84.62,60.0,1,0,1,
476,11.65,85.26,56.3,1,0,1,
477,11.72,84.69,60.0,2,0,2,
478,11.38,87.28,60.0,2,0,2,
479,11.75,84.52,56.3,2,0,2,
480,11.68,84.97,61.8,1,0,1,
481,11.75,84.54,60.0,1,0,1,
482,11.71,84.78,53.3,1,0,1,
483,10.6,93.77,64.1,1,0,1,
484,11.65,85.23,57.6,2,1,1,tv on your right
485,11.8,84.18,60.0,2,0,2,
486,11.67,85.08,60.0,2,0,2,
487,11.69,84.94,60.0,2,0,2,
488,11.62,85.43,58.8,2,0,2,
489,11.53,86.13,60.0,1,0,1,
490,11.61,85.55,60.0,2,1,1,person ahead
491,11.64,85.32,59.4,2,0,2,
492,11.66,85.19,58.8,2,0,2,
493,11.66,85.12,58.8,2,0,2,
494,11.66,85.12,61.1,2,0,2,
495,11.52,86.23,56.3,1,1,0,person ahead
496,11.73,84.59,62.2,1,0,1,
497,11.7,84.85,58.8,1,0,1,
498,11.61,85.5,61.1,1,0,1,
499,11.59,85.66,58.8,1,1,0,person on your right
500,11.64,85.29,64.9,1,0,1,
501,11.45,86.7,54.8,1,0,1,
502,11.68,85.0,60.0,1,1,0,person on your right
503,11.65,85.24,60.0,1,0,1,
504,11.66,85.13,60.0,1,0,1,
505,11.7,84.9,60.0,1,1,0,person on your right
506,11.68,84.99,58.8,1,0,1,
507,11.67,85.07,61.1,1,0,1,
508,11.65,85.22,60.6,1,1,0,person on your right
509,11.65,85.23,58.8,1,0,1,
510,11.66,85.15,57.6,1,0,1,
511,11.57,85.83,61.1,1,0,1,
512,11.54,86.04,54.8,1,0,1,
513,11.57,85.86,58.8,1,0,1,
514,11.6,85.61,62.2,1,0,1,
515,11.72,84.74,57.6,1,0,1,
516,11.6,85.62,63.2,1,0,1,
517,11.73,84.68,60.0,1,0,1,
518,11.61,85.5,61.1,1,0,1,
519,11.7,84.84,58.8,1,0,1,
520,11.59,85.64,60.0,1,0,1,
521,11.61,85.52,56.3,1,0,1,
522,11.64,85.29,62.2,1,0,1,
523,11.68,85.01,54.8,1,1,0,person ahead
524,11.44,86.75,63.9,1,0,1,
525,11.62,85.43,64.1,1,0,1,
526,11.75,84.53,57.6,1,0,1,
527,11.68,85.02,58.8,1,0,1,
528,11.64,85.28,58.8,1,0,1,
529,11.51,86.26,63.2,1,0,1,
530,11.63,85.34,54.8,1,0,1,
531,11.58,85.75,58.8,1,0,1,
532,11.61,85.54,58.8,1,0,1,
533,11.66,85.18,58.8,1,0,1,
534,11.65,85.2,62.2,1,1,0,person on your right
535,11.72,84.75,57.6,1,0,1,
536,11.67,85.05,62.9,1,0,1,
537,11.72,84.7,58.8,1,0,1,
538,11.77,84.33,56.3,1,0,1,
539,11.68,85.02,61.1,1,0,1,
540,11.69,84.94,56.3,1,0,1,
541,11.24,88.42,66.7,1,0,1,
542,11.67,85.07,58.8,1,0,1,
543,11.78,84.29,56.3,1,0,1,
544,11.67,85.11,60.6,1,0,1,
545,11.78,84.32,57.6,1,0,1,
546,11.65,85.26,60.0,1,0,1,
547,11.62,85.46,58.8,1,0,1,
548,11.58,85.74,56.3,1,0,1,
549,11.74,84.6,56.3,1,0,1,
550,11.67,85.05,60.0,1,0,1,
551,11.72,84.75,57.6,1,0,1,
552,11.68,84.99,57.6,1,0,1,
553,11.49,86.47,61.8,1,0,1,
554,11.68,84.99,61.1,1,0,1,
555,11.74,84.59,56.3,1,0,1,
556,11.66,85.18,57.6,1,0,1,
557,11.67,85.09,58.8,1,0,1,
558,11.61,85.51,61.1,1,0,1,
559,11.59,85.69,60.0,1,0,1,
560,11.68,85.04,62.9,1,1,0,person on your right
561,11.66,85.12,58.8,1,0,1,
562,11.74,84.56,61.1,2,1,1,microwave on your right
563,11.64,85.32,58.8,1,1,0,person on your right
564,11.62,85.45,64.1,1,0,1,
565,11.62,85.41,58.8,2,0,2,
566,11.61,85.53,62.2,2,0,2,
567,11.7,84.86,56.3,2,0,2,
568,11.65,85.26,60.0,2,1,1,person on your right
569,11.7,84.88,57.6,2,0,2,
570,11.58,85.76,62.9,2,0,2,
571,11.44,86.79,61.1,2,0,2,
572,11.66,85.14,58.8,2,0,2,
573,11.62,85.48,60.0,2,1,1,person on your right
574,11.65,85.26,58.8,3,2,1,tv on your right | chair on your right
575,11.62,85.44,63.2,1,0,1,
576,11.64,85.3,54.8,2,1,1,person on your right
577,11.6,85.57,58.8,1,0,1,
578,11.64,85.33,57.6,1,0,1,
579,11.66,85.16,58.8,1,0,1,
580,11.62,85.47,60.0,1,0,1,
581,11.67,85.1,60.0,1,0,1,
582,11.43,86.86,61.1,1,0,1,
583,11.63,85.36,60.0,1,0,1,
584,11.64,85.28,58.8,1,0,1,
585,11.56,85.92,61.1,1,0,1,
586,11.7,84.85,58.1,1,0,1,
587,11.56,85.94,63.2,1,0,1,
588,11.62,85.43,54.8,1,0,1,
589,11.83,83.9,61.1,1,0,1,
590,11.79,84.21,58.8,1,0,1,
591,11.73,84.67,56.3,1,0,1,
592,11.7,84.83,61.1,1,0,1,
593,11.72,84.71,61.8,1,0,1,
594,11.46,86.69,62.2,1,0,1,
595,11.74,84.57,54.8,1,0,1,
596,11.75,84.53,63.2,1,0,1,
597,11.69,84.93,54.8,1,0,1,
598,11.7,84.89,61.1,1,0,1,
599,10.98,90.48,66.7,1,0,1,
600,11.71,84.82,62.2,1,0,1,
601,11.75,84.56,57.6,1,0,1,
602,11.61,85.53,60.0,1,0,1,
603,11.71,84.81,60.0,1,0,1,
604,11.69,84.95,58.8,1,0,1,
605,11.61,85.55,57.6,1,0,1,
606,11.55,85.89,62.2,1,0,1,
607,11.77,84.36,56.7,1,0,1,
608,11.59,85.64,58.8,1,0,1,
609,11.68,85.05,58.8,1,0,1,
610,11.68,85.02,60.0,1,0,1,
611,11.4,87.14,57.6,1,0,1,
612,11.68,85.0,58.8,1,0,1,
613,11.71,84.81,60.0,1,0,1,
614,11.62,85.47,57.6,1,0,1,
615,11.65,85.26,60.0,1,0,1,
616,11.58,85.77,57.6,1,0,1,
617,11.42,86.98,61.1,1,0,1,
618,11.42,86.95,58.8,1,0,1,
619,11.59,85.66,62.2,1,0,1,
620,11.65,85.19,57.6,1,1,0,microwave on your right
621,11.57,85.9,63.2,1,0,1,
622,11.65,85.26,56.2,1,0,1,
623,11.65,85.25,56.3,1,0,1,
624,11.55,85.97,56.3,1,0,1,
625,11.59,85.67,57.6,1,0,1,
626,11.64,85.31,61.1,1,0,1,
627,11.7,84.92,54.8,1,0,1,
628,11.37,87.33,63.2,1,0,1,
629,11.6,85.62,62.2,1,0,1,
630,11.62,85.46,56.3,1,0,1,
631,11.69,84.96,59.4,1,0,1,
632,11.58,85.76,58.3,1,0,1,
633,11.63,85.4,59.4,1,0,1,
634,11.6,85.64,61.1,1,0,1,
635,11.69,85.01,56.3,1,0,1,
636,11.53,86.09,62.2,1,0,1,
637,11.63,85.41,57.6,1,0,1,
638,11.6,85.57,57.6,1,0,1,
639,11.7,84.92,61.1,1,0,1,
640,11.52,86.23,58.8,1,0,1,
641,11.66,85.2,62.2,1,0,1,
642,11.78,84.27,56.3,1,0,1,
643,11.7,84.9,54.8,2,1,1,person on your right
