frame,timestamp,fps,latency_ms,cpu_percent,detections_count,active_tracks,track_ids,labels,directions,proximities,risk_scores,missing_tracks
76,1778953255.62,11.83,83.92,61.1,1,1,4,person,center,0.41,0.45,0
77,1778953255.71,11.76,84.39,62.2,2,2,"4,7","person,person","center,center","0.41,0.19","0.46,0.0",0
78,1778953255.8,11.63,85.33,56.3,2,2,"4,7","person,person","center,center","0.42,0.19","0.47,0.32",0
79,1778953255.88,11.78,84.25,62.2,2,2,"4,7","person,person","center,center","0.42,0.21","0.49,0.36",0
80,1778953255.97,11.72,84.7,57.6,2,2,"4,7","person,person","center,center","0.43,0.22","0.49,0.37",0
81,1778953256.05,11.61,85.54,62.9,2,2,"4,7","person,person","center,center","0.43,0.21","0.48,0.36",0
82,1778953256.14,11.69,84.88,56.3,2,2,"4,7","person,person","center,center","0.42,0.21","0.47,0.35",0
83,1778953256.22,11.72,84.69,61.1,2,2,"4,7","person,person","center,center","0.42,0.21","0.46,0.35",0
84,1778953256.31,11.61,85.5,58.8,2,2,"4,7","person,person","center,center","0.42,0.2","0.45,0.33",0
85,1778953256.4,11.79,84.18,54.8,2,2,"4,7","person,person","left,center","0.41,0.2","0.44,0.34",0
86,1778953256.48,11.67,85.05,62.2,2,2,"4,7","person,person","left,left","0.4,0.18","0.44,0.33",0
87,1778953256.57,11.74,84.55,56.3,2,2,"4,8","person,tv","left,center","0.39,0.21","0.43,0.0",1
88,1778953256.65,11.69,84.89,62.2,2,2,"4,8","person,tv","left,center","0.39,0.21","0.42,0.17",1
89,1778953256.74,11.69,84.88,58.8,2,2,"4,8","person,tv","left,center","0.38,0.21","0.41,0.17",1
90,1778953256.82,11.77,84.36,61.1,2,2,"4,8","person,tv","left,center","0.38,0.21","0.41,0.18",1
91,1778953256.91,11.69,84.93,57.6,1,1,4,person,left,0.39,0.41,2
92,1778953257.0,11.41,87.01,57.6,1,1,4,person,left,0.39,0.42,2
93,1778953257.08,11.7,84.86,54.8,1,1,4,person,left,0.39,0.42,2
94,1778953257.17,11.74,84.53,57.6,1,1,4,person,left,0.4,0.42,2
95,1778953257.26,11.66,85.15,56.3,1,1,4,person,left,0.41,0.42,2
96,1778953257.34,11.75,84.47,62.9,1,1,4,person,left,0.41,0.42,2
97,1778953257.43,11.8,84.13,62.2,1,1,4,person,left,0.41,0.42,1
98,1778953257.51,11.8,84.08,57.6,1,1,4,person,left,0.4,0.42,1
99,1778953257.6,11.69,84.96,54.8,2,2,"4,9","person,remote","left,left","0.4,0.19","0.41,0.0",1
100,1778953257.68,11.71,84.8,61.1,2,2,"4,9","person,remote","left,left","0.41,0.18","0.41,0.15",1
101,1778953257.77,11.63,85.34,54.8,2,2,"4,9","person,remote","left,left","0.4,0.18","0.4,0.15",0
102,1778953257.85,11.74,84.55,63.2,1,1,4,person,left,0.4,0.4,1
103,1778953257.94,11.65,85.22,57.6,2,2,"4,9","person,remote","left,left","0.4,0.18","0.4,0.15",0
104,1778953258.03,11.4,87.11,61.1,2,2,"4,9","person,remote","left,left","0.4,0.18","0.4,0.15",0
105,1778953258.11,11.64,85.29,60.0,3,3,"4,9,10","person,remote,tv","left,left,center","0.4,0.18,0.22","0.4,0.15,0.0",0
106,1778953258.2,11.72,84.67,57.6,2,2,"4,9","person,remote","left,left","0.4,0.18","0.4,0.15",1
107,1778953258.28,11.77,84.34,62.9,2,2,"4,9","person,remote","left,left","0.4,0.18","0.4,0.15",1
108,1778953258.37,11.75,84.48,58.8,2,2,"4,9","person,remote","left,left","0.4,0.17","0.4,0.15",1
109,1778953258.46,11.64,85.26,54.8,2,2,"4,9","person,remote","left,left","0.39,0.18","0.4,0.15",1
110,1778953258.55,11.01,90.16,65.0,3,3,"4,9,10","person,remote,tv","left,left,center","0.39,0.18,0.22","0.4,0.15,0.17",0
111,1778953258.64,11.5,86.2,57.6,2,2,"4,9","person,remote","left,left","0.39,0.18","0.4,0.15",1
112,1778953258.72,11.66,85.13,62.9,3,3,"4,9,10","person,remote,tv","left,left,center","0.39,0.18,0.22","0.4,0.15,0.17",0
113,1778953258.81,11.62,85.43,57.1,4,4,"4,9,10,11","person,remote,tv,remote","left,left,center,left","0.39,0.18,0.22,0.08","0.39,0.15,0.17,0.0",0
114,1778953258.89,11.61,85.49,61.1,3,3,"4,9,10","person,remote,tv","left,left,center","0.38,0.18,0.22","0.39,0.15,0.17",1
115,1778953258.98,11.57,85.84,56.3,3,3,"4,9,10","person,remote,tv","left,left,center","0.38,0.18,0.22","0.39,0.16,0.17",1
116,1778953259.07,11.52,86.17,62.9,2,2,"4,10","person,tv","left,center","0.38,0.22","0.39,0.17",2
117,1778953259.15,11.73,84.63,62.2,1,1,4,person,left,0.38,0.39,3
118,1778953259.24,11.58,85.75,55.9,2,2,"4,10","person,tv","left,center","0.39,0.22","0.4,0.17",2
119,1778953259.33,11.71,84.75,63.9,2,2,"4,10","person,tv","left,center","0.38,0.22","0.39,0.17",2
120,1778953259.41,11.69,84.94,58.8,2,2,"4,10","person,tv","left,center","0.38,0.22","0.39,0.17",2
121,1778953259.5,11.65,85.21,61.1,3,3,"4,9,10","person,remote,tv","left,left,center","0.38,0.18,0.22","0.39,0.15,0.17",1
122,1778953259.59,11.26,88.16,60.0,2,2,"4,10","person,tv","left,center","0.38,0.22","0.39,0.17",2
123,1778953259.67,11.63,85.36,60.0,2,2,"4,10","person,tv","left,center","0.38,0.22","0.39,0.17",2
124,1778953259.76,11.7,84.85,58.8,2,2,"4,10","person,tv","left,center","0.38,0.22","0.39,0.17",1
125,1778953259.84,11.7,84.86,56.3,2,2,"4,10","person,tv","left,center","0.38,0.22","0.39,0.17",1
126,1778953259.93,11.66,85.15,60.0,3,3,"4,9,10","person,remote,tv","left,left,center","0.38,0.18,0.22","0.39,0.15,0.17",0
127,1778953260.02,11.55,85.93,61.1,2,2,"4,10","person,tv","left,center","0.38,0.22","0.39,0.17",1
128,1778953260.1,11.7,84.88,58.8,3,3,"4,9,10","person,remote,tv","left,left,center","0.38,0.18,0.22","0.39,0.15,0.17",0
129,1778953260.19,11.74,84.57,57.6,3,3,"4,9,10","person,remote,tv","left,left,center","0.38,0.17,0.22","0.39,0.15,0.17",0
130,1778953260.27,11.72,84.7,61.1,2,2,"4,10","person,tv","left,center","0.38,0.22","0.39,0.17",1
131,1778953260.36,11.66,85.13,56.3,2,2,"4,10","person,tv","left,center","0.38,0.22","0.39,0.17",1
132,1778953260.45,11.69,84.9,61.1,2,2,"4,10","person,tv","left,center","0.38,0.22","0.39,0.17",1
133,1778953260.53,11.6,85.61,56.3,3,3,"4,9,10","person,remote,tv","left,left,center","0.38,0.17,0.22","0.39,0.15,0.17",0
134,1778953260.62,11.67,85.11,61.1,3,3,"4,9,10","person,remote,tv","left,left,center","0.38,0.17,0.22","0.39,0.15,0.17",0
135,1778953260.71,11.51,86.24,58.8,3,3,"4,9,10","person,remote,tv","left,left,center","0.38,0.16,0.22","0.39,0.14,0.17",0
136,1778953260.79,11.74,84.53,56.2,2,2,"4,10","person,tv","left,center","0.38,0.22","0.39,0.17",1
137,1778953260.88,11.59,85.66,61.1,3,3,"4,9,10","person,remote,tv","left,left,center","0.38,0.15,0.22","0.39,0.14,0.17",0
138,1778953260.96,11.65,85.24,60.0,2,2,"4,10","person,tv","left,center","0.39,0.22","0.4,0.17",1
139,1778953261.05,11.57,85.81,61.1,2,2,"4,10","person,tv","left,center","0.38,0.22","0.39,0.17",1
140,1778953261.14,11.64,85.28,53.3,2,2,"4,10","person,tv","left,center","0.38,0.22","0.39,0.17",1
141,1778953261.22,11.68,84.97,62.9,2,2,"4,10","person,tv","left,center","0.38,0.22","0.39,0.17",1
142,1778953261.31,11.67,85.1,55.9,2,2,"4,10","person,tv","left,center","0.38,0.21","0.39,0.17",1
