frame,timestamp,fps,latency_ms,cpu_percent,detections_count,active_tracks,track_ids,labels,directions,proximities,risk_scores,missing_tracks
73,1778953510.06,10.9,90.87,59.5,1,1,3,microwave,right,0.29,0.21,0
74,1778953510.15,10.83,91.45,58.3,1,1,3,microwave,right,0.29,0.21,0
75,1778953510.24,11.08,89.4,58.3,1,1,3,microwave,right,0.29,0.2,0
76,1778953510.33,11.15,88.88,58.3,1,1,3,microwave,right,0.29,0.21,0
77,1778953510.42,11.0,90.15,53.1,1,1,3,microwave,right,0.29,0.21,0
78,1778953510.51,11.05,89.58,58.3,1,1,3,microwave,right,0.29,0.21,0
79,1778953510.6,11.11,89.31,57.1,1,1,3,microwave,right,0.29,0.21,0
80,1778953510.69,11.0,90.06,54.5,1,1,3,microwave,right,0.29,0.21,0
81,1778953510.78,11.06,89.53,57.1,1,1,3,microwave,right,0.29,0.2,0
82,1778953510.87,11.06,89.65,60.5,1,1,3,microwave,right,0.29,0.21,0
83,1778953510.96,11.05,89.76,58.3,1,1,3,microwave,right,0.29,0.2,0
84,1778953511.06,10.85,91.25,58.3,1,1,3,microwave,right,0.29,0.21,0
85,1778953511.15,11.0,90.1,52.9,1,1,3,microwave,right,0.29,0.21,0
86,1778953511.24,10.99,90.12,57.1,1,1,3,microwave,right,0.29,0.21,0
87,1778953511.33,10.99,90.23,61.5,1,1,3,microwave,right,0.29,0.21,0
88,1778953511.42,11.01,90.05,59.5,1,1,3,microwave,right,0.29,0.2,0
89,1778953511.51,11.02,90.02,58.3,1,1,3,microwave,right,0.29,0.21,0
90,1778953511.6,11.03,89.8,57.1,1,1,3,microwave,right,0.29,0.2,0
91,1778953511.7,10.96,90.54,60.5,1,1,3,microwave,right,0.29,0.21,0
92,1778953511.79,10.97,90.41,61.5,1,1,3,microwave,right,0.29,0.21,0
93,1778953511.88,10.95,90.6,61.5,1,1,3,microwave,right,0.3,0.21,0
94,1778953511.97,10.98,90.29,60.5,1,1,3,microwave,right,0.3,0.21,0
95,1778953512.06,10.9,91.01,58.3,0,0,,,,,,1
96,1778953512.15,11.02,89.93,57.1,0,0,,,,,,1
97,1778953512.24,11.04,89.71,54.5,0,0,,,,,,1
98,1778953512.33,11.1,89.27,59.5,0,0,,,,,,1
99,1778953512.42,11.06,89.68,58.3,1,1,3,microwave,right,0.3,0.21,0
100,1778953512.52,11.07,89.44,57.1,0,0,,,,,,1
101,1778953512.6,11.2,88.58,59.5,1,1,3,microwave,right,0.29,0.21,0
102,1778953512.69,11.15,88.81,58.3,1,1,3,microwave,right,0.29,0.21,0
103,1778953512.78,11.16,88.91,59.5,2,2,"3,5","microwave,person","right,center","0.29,0.48","0.21,0.0",0
104,1778953512.87,11.11,89.13,57.1,2,2,"3,5","microwave,person","right,center","0.29,0.48","0.2,0.45",0
105,1778953512.97,11.1,89.4,59.5,2,2,"3,5","microwave,person","right,center","0.28,0.49","0.2,0.46",0
106,1778953513.06,10.98,90.23,59.5,1,1,5,person,center,0.5,0.48,1
107,1778953513.15,11.05,89.61,58.3,2,2,"3,5","microwave,person","right,center","0.26,0.52","0.19,0.49",0
108,1778953513.24,11.06,89.6,59.5,1,1,5,person,center,0.53,0.5,1
109,1778953513.33,11.12,89.22,57.1,1,1,5,person,center,0.54,0.5,1
110,1778953513.42,11.16,88.85,57.1,1,1,5,person,center,0.54,0.51,1
111,1778953513.51,11.13,89.15,57.1,1,1,5,person,center,0.55,0.5,1
112,1778953513.6,11.12,89.12,60.5,1,1,5,person,center,0.55,0.51,1
113,1778953513.69,11.13,89.16,59.5,2,2,"5,6","person,tv","center,right","0.55,0.23","0.54,0.0",1
114,1778953513.78,11.08,89.32,58.3,1,1,5,person,right,0.56,0.55,2
115,1778953513.87,11.12,89.14,55.9,1,1,5,person,right,0.56,0.55,2
116,1778953513.96,11.09,89.33,55.9,1,1,5,person,right,0.57,0.55,2
117,1778953514.05,10.93,90.72,59.5,1,1,5,person,right,0.58,0.55,2
118,1778953514.17,8.64,114.88,57.8,1,1,5,person,right,0.59,0.54,1
119,1778953514.26,11.15,88.99,55.9,1,1,5,person,right,0.6,0.54,1
120,1778953514.35,11.07,89.48,55.9,1,1,5,person,right,0.61,0.53,1
121,1778953514.44,11.1,89.35,58.3,1,1,5,person,right,0.62,0.54,1
122,1778953514.53,11.14,88.97,57.1,1,1,5,person,right,0.62,0.53,1
123,1778953514.62,11.18,88.69,58.3,1,1,5,person,right,0.62,0.55,1
124,1778953514.71,11.14,88.98,53.1,1,1,5,person,right,0.62,0.55,0
125,1778953514.8,11.11,89.32,60.5,1,1,5,person,right,0.61,0.54,0
126,1778953514.89,11.12,89.12,59.5,1,1,5,person,right,0.61,0.54,0
127,1778953514.98,11.17,88.7,58.3,1,1,5,person,right,0.61,0.53,0
128,1778953515.07,10.91,90.83,57.1,1,1,5,person,right,0.6,0.52,0
129,1778953515.16,10.8,91.86,61.5,1,1,5,person,right,0.6,0.51,0
130,1778953515.25,11.04,89.81,58.3,1,1,5,person,right,0.59,0.5,0
131,1778953515.34,11.08,89.52,55.9,1,1,5,person,right,0.59,0.5,0
132,1778953515.44,11.01,90.07,58.3,1,1,5,person,right,0.58,0.5,0
133,1778953515.53,11.01,90.1,60.5,1,1,5,person,right,0.57,0.49,0
134,1778953515.62,11.07,89.53,61.5,1,1,5,person,right,0.57,0.49,0
135,1778953515.71,11.03,89.77,53.1,1,1,5,person,right,0.57,0.49,0
136,1778953515.8,11.03,89.89,61.5,1,1,5,person,right,0.57,0.49,0
137,1778953515.89,11.12,89.17,58.3,1,1,5,person,right,0.57,0.49,0
138,1778953515.98,11.01,89.88,53.1,1,1,5,person,right,0.57,0.49,0
139,1778953516.07,10.89,91.11,56.8,1,1,5,person,right,0.57,0.49,0
140,1778953516.16,11.01,90.09,60.5,1,1,5,person,right,0.57,0.49,0
141,1778953516.25,11.07,89.62,57.1,1,1,5,person,right,0.57,0.48,0
142,1778953516.34,11.07,89.55,55.9,1,1,5,person,right,0.57,0.49,0
143,1778953516.43,11.09,89.46,57.1,1,1,5,person,right,0.57,0.49,0
144,1778953516.53,11.11,89.21,59.5,1,1,5,person,right,0.57,0.49,0
145,1778953516.62,11.03,89.81,50.0,1,1,5,person,right,0.57,0.49,0
146,1778953516.71,11.1,89.31,62.5,1,1,5,person,right,0.57,0.49,0
147,1778953516.8,11.08,89.5,57.1,1,1,5,person,right,0.57,0.49,0
148,1778953516.89,11.05,89.63,57.1,1,1,5,person,right,0.57,0.49,0
149,1778953516.98,11.03,89.96,60.5,1,1,5,person,right,0.57,0.49,0
