frame,fps,latency_ms,cpu_percent,raw_messages,context_messages,decision_messages,audio_accepted,audio_spoken_total,audio_dropped_total,audio_repeated_blocked_total,final_messages
92,10.1,98.36,69.2,2,0,0,0,3,0,0,
93,9.26,107.4,74.4,2,0,0,0,3,0,0,
94,11.4,87.11,60.0,2,0,0,0,3,0,0,
95,11.53,86.17,57.6,2,0,0,0,3,0,0,
96,11.39,87.19,60.0,2,0,0,0,3,0,0,
97,11.43,86.89,60.0,2,0,0,0,3,0,0,
98,11.44,86.8,62.9,2,0,0,0,3,0,0,
99,11.48,86.51,62.2,2,0,0,0,3,0,0,
100,11.47,86.56,57.6,2,1,0,0,3,0,0,
101,11.46,86.72,54.8,2,0,0,0,3,0,0,
102,11.48,86.53,54.8,1,0,0,0,3,0,0,
103,11.37,87.38,62.2,1,1,0,0,3,0,0,
104,11.57,85.84,57.6,1,0,0,0,3,0,0,
105,11.56,85.98,64.9,2,0,0,0,3,0,0,
106,11.65,85.28,56.3,2,0,0,0,3,0,0,
107,11.63,85.43,61.1,1,0,0,0,3,0,0,
108,11.45,86.74,64.9,2,0,0,0,3,0,0,
109,11.56,85.91,58.8,2,0,0,0,3,0,0,
110,10.75,92.4,67.5,2,0,0,0,3,0,0,
111,11.5,86.38,60.6,2,0,0,0,3,0,0,
112,11.54,86.03,58.8,2,0,0,0,3,0,0,
113,11.59,85.71,60.6,2,0,0,0,3,0,0,
114,11.34,87.55,64.1,2,0,0,0,3,0,0,
115,11.64,85.34,58.8,2,0,0,0,3,0,0,
116,11.54,86.05,60.6,1,0,0,0,3,0,0,
117,11.59,85.69,60.0,2,0,0,0,3,0,0,
118,11.57,85.84,60.0,2,0,0,0,3,0,0,
119,10.19,97.55,55.6,2,0,0,0,3,0,0,
120,11.57,85.87,62.2,2,0,0,0,3,0,0,
121,9.25,107.57,71.4,2,0,0,0,3,0,0,
122,11.45,86.73,61.1,2,0,0,0,3,0,0,
123,11.64,85.35,59.4,2,0,0,0,3,0,0,
124,11.67,85.07,57.6,2,0,0,0,4,0,0,
125,11.45,86.79,61.1,2,0,0,0,4,0,0,
126,11.55,86.01,60.0,2,0,0,0,4,0,0,
127,11.81,84.11,59.4,2,0,0,0,4,0,0,
128,11.53,86.16,57.6,3,1,0,0,4,0,0,
129,11.66,85.21,57.6,2,0,0,0,4,0,0,
130,11.65,85.27,61.1,2,0,0,0,4,0,0,
131,11.65,85.28,58.1,2,0,0,0,4,0,0,
132,11.63,85.37,60.0,1,0,0,0,4,0,0,
133,11.49,86.45,58.8,1,0,0,0,4,0,0,
134,11.67,85.1,61.8,2,0,0,0,4,0,0,
135,11.58,85.8,58.8,2,0,0,0,4,0,0,
136,11.6,85.58,60.0,2,0,0,0,4,0,0,
137,11.41,87.07,61.1,2,0,0,0,4,0,0,
138,11.6,85.62,63.9,2,0,0,0,4,0,0,
139,11.63,85.46,56.2,2,0,0,0,4,0,0,
140,11.64,85.31,61.1,2,0,0,0,4,0,0,
141,11.62,85.48,57.6,1,0,0,0,4,0,0,
142,11.55,85.99,60.6,2,0,0,0,4,0,0,
143,11.59,85.71,62.2,2,0,0,0,4,0,0,
144,11.6,85.57,54.8,2,0,0,0,4,0,0,
145,11.64,85.36,62.2,2,0,0,0,4,0,0,
146,11.65,85.2,58.1,2,0,0,0,4,0,0,
147,11.6,85.61,58.8,1,0,0,0,4,0,0,
148,11.57,85.79,58.8,2,0,0,0,4,0,0,
149,11.5,86.37,60.6,2,0,0,0,4,0,0,
150,11.64,85.29,58.8,2,0,0,0,4,0,0,
151,11.58,85.8,61.1,2,0,0,0,4,0,0,
152,11.72,84.67,57.6,2,0,0,0,4,0,0,
153,11.72,84.74,62.9,2,0,0,0,4,0,0,
154,11.62,85.47,58.8,2,0,0,0,4,0,0,
155,11.53,86.16,60.0,1,0,0,0,4,0,0,
156,11.67,85.11,56.3,2,0,0,0,4,0,0,
157,11.64,85.31,63.9,1,0,0,0,4,0,0,
158,11.6,85.59,51.7,2,1,0,0,4,0,0,
159,11.56,85.94,57.6,2,0,0,0,4,0,0,
160,11.35,87.5,61.1,2,0,0,0,4,0,0,
161,11.53,86.18,62.2,2,1,0,0,4,0,0,
162,11.59,85.65,58.8,2,0,0,0,4,0,0,
163,11.61,85.54,59.4,2,0,0,0,4,0,0,
164,11.52,86.19,62.2,2,0,0,0,4,0,0,
165,11.62,85.5,56.3,2,0,0,0,4,0,0,
166,11.59,85.71,58.8,2,0,0,0,4,0,0,
167,10.81,91.98,64.9,2,1,0,0,4,0,0,
168,11.56,85.86,64.9,2,1,0,0,4,0,0,
169,11.58,85.82,60.0,2,0,0,0,4,0,0,
170,11.57,85.82,60.0,2,0,0,0,4,0,0,
171,11.61,85.57,61.8,1,0,0,0,4,0,0,
172,11.5,86.33,62.2,2,0,0,0,4,0,0,
173,11.53,86.12,54.8,2,0,0,0,4,0,0,
174,11.58,85.75,61.1,1,0,0,0,4,0,0,
175,11.6,85.62,57.6,2,0,0,0,4,0,0,
176,11.59,85.62,58.8,1,0,0,0,4,0,0,
177,11.54,86.08,61.8,2,1,0,0,4,0,0,
178,11.63,85.35,58.8,2,1,1,1,4,0,0,Person very close on your right
179,8.24,120.71,79.2,3,0,0,0,4,0,0,
180,11.31,87.85,60.0,2,0,0,0,4,0,0,
181,11.48,86.57,61.1,2,0,0,0,4,0,0,
182,11.45,86.73,59.4,1,0,0,0,4,0,0,
183,11.26,88.27,62.2,2,1,0,0,4,0,0,
184,11.54,86.02,62.2,1,0,0,0,4,0,0,
185,11.55,86.01,58.1,1,1,1,1,4,0,0,Person on your right
186,11.56,85.92,57.6,2,1,0,0,4,0,0,
187,11.53,86.16,61.1,2,0,0,0,4,0,0,
188,11.5,86.37,59.4,2,0,0,0,4,0,0,
189,11.56,85.95,56.3,3,1,1,1,4,0,0,Person ahead
190,11.39,87.1,60.6,3,1,1,1,4,0,0,Person on your right
191,11.54,86.1,54.5,2,0,0,0,4,0,0,
192,11.48,86.48,62.9,3,0,0,0,4,0,0,
193,11.49,86.47,58.8,2,1,0,0,4,0,0,
194,11.28,88.07,57.6,5,3,0,0,4,0,0,
195,11.39,87.2,61.1,4,1,0,0,4,0,0,
196,11.49,86.43,62.9,2,0,0,0,4,0,0,
197,11.52,86.22,57.6,1,0,0,0,4,0,0,
198,11.55,85.93,58.8,2,0,0,0,4,0,0,
199,11.55,85.96,61.8,1,0,0,0,4,0,0,
200,11.54,86.01,57.6,1,0,0,0,4,0,0,
201,11.53,86.16,57.6,2,0,0,0,4,0,0,
202,11.57,85.8,61.8,1,1,0,0,4,0,0,
203,11.52,86.25,61.1,1,0,0,0,4,0,0,
204,11.63,85.37,58.8,2,0,0,0,4,0,0,
205,11.52,86.21,58.1,2,1,0,0,4,0,0,
206,11.32,87.74,61.1,2,0,0,0,4,0,0,
207,11.5,86.37,60.0,3,0,0,0,4,0,0,
208,9.49,104.72,76.2,2,0,0,0,4,0,0,
209,11.64,85.31,56.3,2,0,0,0,4,0,0,
210,8.32,119.54,63.0,1,0,0,0,5,0,0,
211,8.35,119.07,57.8,2,0,0,0,5,0,0,
212,11.44,86.83,63.2,2,0,0,0,5,0,0,
213,11.41,87.01,62.2,2,0,0,0,5,0,0,
214,11.43,86.83,58.8,3,0,0,0,5,0,0,
215,11.44,86.86,57.6,2,0,0,0,5,0,0,
216,11.05,89.89,57.6,2,1,0,0,5,0,0,
217,11.52,86.21,58.8,1,1,0,0,5,0,0,
218,11.46,86.67,58.8,2,1,0,0,5,0,0,
219,11.45,86.76,62.2,2,0,0,0,5,0,0,
220,11.52,86.23,61.1,3,0,0,0,5,0,0,
221,11.46,86.73,56.3,2,0,0,0,5,0,0,
222,11.34,87.55,58.1,3,1,0,0,5,0,0,
223,10.63,93.54,63.9,1,0,0,0,5,0,0,
224,11.48,86.5,62.2,1,0,0,0,5,0,0,
225,11.56,85.96,61.1,2,0,0,0,5,0,0,
226,11.52,86.22,56.7,2,0,0,0,5,0,0,
227,11.33,87.68,62.2,2,0,0,0,5,0,0,
228,11.4,87.07,58.8,1,0,0,0,5,0,0,
229,11.47,86.6,57.6,2,0,0,0,5,0,0,
230,9.1,109.3,68.9,1,0,0,0,5,0,0,
231,11.65,85.3,61.8,2,0,0,0,5,0,0,
232,9.12,109.09,68.2,1,0,0,0,6,0,0,
233,9.64,103.13,65.0,2,0,0,0,6,0,0,
234,10.43,95.31,56.8,2,0,0,0,6,0,0,
235,11.55,86.04,63.2,2,0,0,0,6,0,0,
236,11.51,86.26,59.4,4,0,0,0,6,0,0,
237,11.61,85.58,57.6,2,0,0,0,6,0,0,
238,11.42,86.92,62.2,1,0,0,0,6,0,0,
239,11.63,85.45,61.1,1,0,0,0,6,0,0,
240,11.55,85.99,58.1,2,0,0,0,6,0,0,
241,11.55,85.99,58.8,2,1,0,0,6,0,0,
242,11.6,85.6,62.2,3,0,0,0,6,0,0,
243,11.55,86.01,57.6,3,0,0,0,6,0,0,
244,11.5,86.38,61.8,4,1,0,0,6,0,0,
245,11.71,84.79,61.1,1,0,0,0,6,0,0,
246,11.66,85.18,59.4,1,0,0,0,6,0,0,
247,11.61,85.57,60.0,2,1,0,0,6,0,0,
248,9.16,108.62,67.5,1,0,0,0,6,0,0,
249,11.53,86.16,65.8,3,0,0,0,6,0,0,
250,11.69,84.93,56.3,1,0,0,0,6,0,0,
251,8.09,122.99,71.7,2,0,0,0,7,0,0,
252,11.59,85.7,64.9,3,0,0,0,7,0,0,
253,11.58,85.79,57.6,2,0,0,0,7,0,0,
254,11.68,84.98,60.6,1,0,0,0,7,0,0,
255,11.73,84.68,57.6,1,0,0,0,7,0,0,
256,11.64,85.28,60.0,2,0,0,0,7,0,0,
257,11.63,85.43,59.4,2,1,0,0,7,0,0,
258,11.48,86.39,58.8,3,1,0,0,7,0,0,
259,11.54,86.12,63.2,3,0,0,0,7,0,0,
260,11.33,87.67,62.2,3,1,0,0,7,0,0,
261,11.35,87.43,61.1,2,0,0,0,7,0,0,
262,11.59,85.65,62.2,2,0,0,0,7,0,0,
263,11.41,87.11,59.4,1,0,0,0,7,0,0,
264,11.56,85.87,57.6,1,0,0,0,7,0,0,
265,11.66,85.2,56.2,2,0,0,0,7,0,0,
266,11.48,86.46,62.2,2,0,0,0,7,0,0,
267,11.53,86.14,58.1,4,2,0,0,7,0,0,
268,11.67,85.05,60.0,2,0,0,0,7,0,0,
269,11.59,85.75,64.9,2,0,0,0,7,0,0,
270,11.59,85.61,56.2,2,0,0,0,7,0,0,
271,7.61,130.83,62.3,2,0,0,0,7,0,0,
272,11.41,87.01,56.3,1,0,0,0,7,0,0,
273,11.56,85.94,62.2,2,1,0,0,8,0,0,
274,11.52,86.21,57.6,3,1,0,0,8,0,0,
275,11.58,85.8,58.8,2,1,0,0,8,0,0,
276,11.61,85.54,61.1,1,0,0,0,8,0,0,
277,11.45,86.77,63.2,1,0,0,0,8,0,0,
278,11.59,85.69,56.3,2,0,0,0,8,0,0,
279,10.82,91.84,64.7,2,1,0,0,8,0,0,
280,11.64,85.31,58.8,3,0,0,0,8,0,0,
281,11.8,84.15,59.4,2,0,0,0,8,0,0,
282,11.59,85.66,63.2,3,0,0,0,8,0,0,
283,11.44,86.83,57.6,2,0,0,0,8,0,0,
284,11.63,85.37,54.8,2,1,0,0,8,0,0,
285,11.75,84.52,62.9,2,1,0,0,8,0,0,
286,11.77,84.35,57.6,1,0,0,0,8,0,0,
287,11.71,84.86,61.1,2,1,0,0,8,0,0,
288,11.7,84.89,63.9,2,0,0,0,8,0,0,
289,11.76,84.47,54.8,1,0,0,0,8,0,0,
290,11.67,85.07,62.9,2,0,0,0,8,0,0,
291,11.63,85.37,56.3,2,0,0,0,8,0,0,
292,11.79,84.19,62.9,1,0,0,0,8,0,0,
293,11.77,84.43,58.8,1,0,0,0,8,0,0,
294,11.79,84.22,54.8,1,0,0,0,8,0,0,
295,11.45,86.77,57.6,2,0,0,0,8,0,0,
296,11.78,84.31,56.7,0,0,0,0,8,0,0,
297,11.77,84.42,62.2,1,0,0,0,8,0,0,
298,11.83,83.88,59.4,0,0,0,0,8,0,0,
299,11.75,84.53,56.3,1,0,0,0,8,0,0,
300,11.75,84.48,58.8,1,0,0,0,8,0,0,
301,11.67,85.12,61.8,2,0,0,0,8,0,0,
302,11.76,84.45,56.3,2,0,0,0,8,0,0,
303,11.75,84.56,63.9,2,0,0,0,8,0,0,
304,11.82,83.97,60.0,2,0,0,0,8,0,0,
305,11.73,84.71,57.6,2,0,0,0,8,0,0,
306,11.51,86.29,60.0,2,1,0,0,8,0,0,
307,11.62,85.52,61.8,3,0,0,0,8,0,0,
308,11.7,84.86,58.8,2,0,0,0,8,0,0,
309,11.64,85.36,61.1,2,0,0,0,8,0,0,
310,11.66,85.12,59.4,2,1,0,0,8,0,0,
311,11.68,85.03,57.6,2,0,0,0,8,0,0,
312,11.72,84.7,57.6,1,0,0,0,8,0,0,
313,11.65,85.25,58.1,2,0,0,0,8,0,0,
314,11.61,85.55,60.0,3,1,0,0,8,0,0,
315,11.67,85.15,57.6,1,0,0,0,8,0,0,
316,11.73,84.63,61.8,1,0,0,0,8,0,0,
317,11.72,84.73,54.8,3,2,2,2,8,0,0,Person ahead | Person on your right
318,7.84,126.9,71.2,2,0,0,0,8,0,0,
319,11.64,85.32,63.9,2,1,0,0,8,0,0,
320,11.61,85.52,56.3,1,1,1,1,8,0,0,Person on your right
321,11.66,85.22,62.2,1,0,0,0,8,0,0,
322,11.62,85.47,55.2,1,0,0,0,8,0,0,
323,11.62,85.52,57.6,2,1,0,0,8,0,0,
324,11.52,86.16,59.4,1,0,0,0,8,0,0,
325,11.61,85.53,58.8,2,0,0,0,8,0,0,
326,11.54,86.05,63.9,1,0,0,0,8,0,0,
327,11.53,86.18,61.1,1,1,1,1,8,0,0,Person on your right
328,11.54,86.05,56.2,1,0,0,0,8,0,0,
329,11.2,88.74,58.8,1,0,0,0,8,0,0,
330,11.47,86.55,54.8,1,0,0,0,8,0,0,
331,11.6,85.67,59.4,1,0,0,0,8,0,0,
332,11.8,84.17,62.2,1,1,1,1,8,1,0,Person very close on your right
333,9.54,104.18,72.1,1,0,0,0,8,1,0,
334,11.24,88.34,58.8,1,0,0,0,8,1,0,
335,11.72,84.74,58.8,1,0,0,0,8,1,0,
336,7.12,139.83,73.2,1,1,1,1,9,1,0,Person very close on your right
337,11.56,85.98,56.3,1,0,0,0,9,1,0,
338,11.42,86.99,60.6,1,0,0,0,9,1,0,
339,11.54,86.07,61.1,1,0,0,0,9,1,0,
340,11.31,87.79,61.8,1,0,0,0,9,1,0,
341,11.58,85.76,63.2,1,0,0,0,9,1,0,
342,11.63,85.42,58.8,1,0,0,0,9,1,0,
343,11.59,85.7,59.4,1,0,0,0,9,1,0,
344,11.67,85.08,61.1,1,0,0,0,9,1,0,
345,11.55,85.98,60.0,1,0,0,0,9,1,0,
346,11.53,86.14,63.9,1,0,0,0,9,1,0,
347,11.41,87.09,57.6,1,0,0,0,9,1,0,
348,11.53,86.17,62.2,1,0,0,0,9,1,0,
349,11.69,85.02,59.4,1,0,0,0,9,1,0,
350,11.59,85.69,61.1,1,0,0,0,9,1,0,
351,11.4,87.19,58.8,1,0,0,0,9,1,0,
352,11.57,85.85,54.8,1,0,0,0,9,1,0,
353,11.64,85.31,60.6,1,0,0,0,9,1,0,
354,11.66,85.19,56.3,1,0,0,0,9,1,0,
355,11.64,85.35,61.8,1,0,0,0,9,1,0,
356,9.45,105.19,72.7,1,1,1,1,9,2,0,Person very close ahead
357,11.69,84.97,58.8,1,0,0,0,9,2,0,
358,9.82,101.27,69.2,1,0,0,0,10,2,0,
359,8.63,115.1,63.0,1,0,0,0,10,2,0,
360,11.36,87.38,58.8,1,0,0,0,10,2,0,
361,11.5,86.37,56.3,1,0,0,0,10,2,0,
362,11.23,88.43,60.0,1,0,0,0,10,2,0,
363,11.42,87.02,61.1,1,1,1,1,10,2,0,Person very close on your left
364,11.37,87.36,60.0,1,1,0,0,10,2,0,
365,11.51,86.33,57.6,2,2,0,0,10,2,0,
366,11.54,86.03,58.8,2,0,0,0,10,2,0,
367,11.42,87.03,62.2,2,1,0,0,10,2,0,
368,11.54,86.06,61.1,2,0,0,0,10,2,0,
369,11.47,86.61,64.1,2,0,0,0,10,2,0,
370,11.41,87.07,57.6,2,0,0,0,10,2,0,
371,11.53,86.19,58.8,2,0,0,0,10,2,0,
372,11.52,86.17,58.8,1,0,0,0,10,2,0,
373,11.37,87.4,64.9,2,0,0,0,10,2,0,
374,11.5,86.36,57.6,2,0,0,0,10,2,0,
375,11.47,86.59,65.0,2,0,0,0,10,2,0,
376,11.57,85.85,60.0,1,0,0,0,10,2,0,
377,11.61,85.56,57.6,1,0,0,0,10,2,0,
378,11.55,85.98,63.2,1,0,0,0,10,2,0,
379,11.46,86.62,66.7,2,0,0,0,10,2,0,
380,11.5,86.37,58.8,2,0,0,0,10,2,0,
381,11.59,85.71,60.0,2,0,0,0,10,2,0,
382,11.51,86.27,60.0,2,0,0,0,10,2,0,
383,11.63,85.41,60.0,1,0,0,0,10,2,0,
384,11.44,86.76,58.8,2,0,0,0,10,2,0,
385,11.37,87.37,65.8,2,0,0,0,10,2,0,
386,11.39,87.13,61.1,1,0,0,0,10,2,0,
387,9.46,105.12,76.1,1,0,0,0,10,2,0,
388,11.45,86.72,64.1,2,0,0,0,10,2,0,
389,10.42,95.4,70.7,1,0,0,0,11,2,0,
390,8.98,110.71,78.7,2,0,0,0,11,2,0,
391,10.57,94.0,69.2,2,0,0,0,11,2,0,
392,11.37,87.35,60.0,1,0,0,0,11,2,0,
393,11.37,87.37,60.0,2,0,0,0,11,2,0,
394,11.35,87.53,57.1,2,0,0,0,11,2,0,
395,11.34,87.62,58.8,1,0,0,0,11,2,0,
396,11.0,90.27,60.0,2,0,0,0,11,2,0,
397,11.39,87.24,60.0,1,0,0,0,11,2,0,
398,11.36,87.39,57.6,2,0,0,0,11,2,0,
399,11.49,86.45,58.8,2,0,0,0,11,2,0,
400,11.41,87.03,60.0,2,0,0,0,11,2,0,
401,11.35,87.56,57.1,2,0,0,0,11,2,0,
